,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Aaron Ramsdale,G,1,May 28,ARS,WOL,W 5-0,12.0,90,1
1,Aaron Ramsdale,G,1,May 20,ARS,@NOT,L 0-1,5.0,90,1
2,Aaron Ramsdale,G,1,May 14,ARS,BHA,L 0-3,7.0,90,1
3,Aaron Ramsdale,G,1,May 7,ARS,@NEW,W 2-0,21.0,90,1
4,Aaron Ramsdale,G,1,May 2,ARS,CHE,W 3-1,7.5,90,1
5,Aaron Ramsdale,G,1,Apr 26,ARS,@MCI,L 1-4,10.0,90,1
6,Aaron Ramsdale,G,1,Apr 21,ARS,SOU,T 3-3,8.0,90,1
7,Aaron Ramsdale,G,1,Apr 16,ARS,@WHU,T 2-2,4.5,90,1
8,Aaron Ramsdale,G,1,Apr 9,ARS,@LIV,T 2-2,7.0,90,1
9,Aaron Ramsdale,G,1,Apr 1,ARS,LEE,W 4-1,9.0,90,1
10,Aaron Ramsdale,G,1,Mar 19,ARS,CRY,W 4-1,9.0,90,1
11,Aaron Ramsdale,G,1,Mar 12,ARS,@FUL,W 3-0,17.5,90,1
12,Aaron Ramsdale,G,1,Mar 4,ARS,BOU,W 3-2,5.5,90,1
13,Aaron Ramsdale,G,1,Mar 1,ARS,EVE,W 4-0,20.0,90,1
14,Aaron Ramsdale,G,1,Feb 25,ARS,@LEI,W 1-0,12.0,90,1
15,Aaron Ramsdale,G,1,Feb 18,ARS,@AVL,W 4-2,7.0,90,1
16,Aaron Ramsdale,G,1,Feb 15,ARS,MCI,L 1-3,6.0,90,1
17,Aaron Ramsdale,G,1,Feb 11,ARS,BRF,T 1-1,4.5,90,1
18,Aaron Ramsdale,G,1,Feb 4,ARS,@EVE,L 0-1,8.0,90,1
19,Aaron Ramsdale,G,1,Jan 22,ARS,MUN,W 3-2,5.5,90,1
20,Aaron Ramsdale,G,1,Jan 15,ARS,@TOT,W 2-0,23.5,90,1
21,Aaron Ramsdale,G,1,Jan 3,ARS,NEW,T 0-0,14.0,90,1
22,Aaron Ramsdale,G,1,Dec 31,ARS,@BHA,W 4-2,9.0,90,1
23,Aaron Ramsdale,G,1,Dec 26,ARS,WHU,W 3-1,8.5,90,1
24,Aaron Ramsdale,G,1,Nov 12,ARS,@WOL,W 2-0,15.0,90,1
25,Aaron Ramsdale,G,1,Nov 6,ARS,@CHE,W 1-0,14.0,90,1
26,Aaron Ramsdale,G,1,Oct 30,ARS,NOT,W 5-0,15.5,90,1
27,Aaron Ramsdale,G,1,Oct 23,ARS,@SOU,T 1-1,6.0,90,1
28,Aaron Ramsdale,G,1,Oct 16,ARS,@LEE,W 1-0,19.0,90,1
29,Aaron Ramsdale,G,1,Oct 9,ARS,LIV,W 3-2,6.5,90,1
30,Aaron Ramsdale,G,1,Oct 1,ARS,TOT,W 3-1,7.5,90,1
