,player,position,position_id,date,team,opp,score,fpts,min,starts
0,David Raya,G,1,May 28,BRF,MCI,W 1-0,15.0,90,1
1,David Raya,G,1,May 20,BRF,@TOT,W 3-1,12.0,90,1
2,David Raya,G,1,May 14,BRF,WHU,W 2-0,18.0,90,1
3,David Raya,G,1,May 6,BRF,@LIV,L 0-1,9.0,90,1
4,David Raya,G,1,Apr 29,BRF,NOT,W 2-1,6.0,90,1
5,David Raya,G,1,Apr 26,BRF,@CHE,W 2-0,18.0,90,1
6,David Raya,G,1,Apr 22,BRF,AVL,T 1-1,4.5,90,1
7,David Raya,G,1,Apr 15,BRF,@WOL,L 0-2,13.5,90,1
8,David Raya,G,1,Apr 8,BRF,NEW,L 1-2,7.0,90,1
9,David Raya,G,1,Apr 5,BRF,@MUN,L 0-1,6.0,90,1
10,David Raya,G,1,Apr 1,BRF,@BHA,T 3-3,21.0,90,1
11,David Raya,G,1,Mar 18,BRF,LEI,T 1-1,4.5,90,1
12,David Raya,G,1,Mar 15,BRF,@SOU,W 2-0,13.0,90,1
13,David Raya,G,1,Mar 11,BRF,@EVE,L 0-1,11.5,90,1
14,David Raya,G,1,Mar 6,BRF,FUL,W 3-2,7.5,90,1
15,David Raya,G,1,Feb 18,BRF,CRY,T 1-1,7.5,90,1
16,David Raya,G,1,Feb 11,BRF,@ARS,T 1-1,12.0,90,1
17,David Raya,G,1,Feb 4,BRF,SOU,W 3-0,20.5,90,1
18,David Raya,G,1,Jan 22,BRF,@LEE,T 0-0,22.5,90,1
19,David Raya,G,1,Jan 14,BRF,BOU,W 2-0,13.0,90,1
20,David Raya,G,1,Jan 2,BRF,LIV,W 3-1,9.0,90,1
21,David Raya,G,1,Dec 30,BRF,@WHU,W 2-0,21.5,90,1
22,David Raya,G,1,Dec 26,BRF,TOT,T 2-2,12.5,90,1
23,David Raya,G,1,Nov 12,BRF,@MCI,W 2-1,11.5,90,1
24,David Raya,G,1,Nov 5,BRF,@NOT,T 2-2,11.5,90,1
25,David Raya,G,1,Oct 29,BRF,WOL,T 1-1,8.5,90,1
26,David Raya,G,1,Oct 23,BRF,@AVL,L 0-4,12.5,90,1
27,David Raya,G,1,Oct 19,BRF,CHE,T 0-0,21.5,90,1
28,David Raya,G,1,Oct 14,BRF,BHA,W 2-0,24.5,90,1
29,David Raya,G,1,Oct 8,BRF,@NEW,L 1-5,4.0,90,1
30,David Raya,G,1,Oct 1,BRF,@BOU,T 0-0,12.0,90,1
31,David Raya,G,1,Sep 18,BRF,ARS,L 0-3,8.0,90,1
32,David Raya,G,1,Sep 3,BRF,LEE,W 5-2,10.5,90,1
33,David Raya,G,1,Aug 30,BRF,@CRY,T 1-1,7.5,90,1
34,David Raya,G,1,Aug 27,BRF,EVE,T 1-1,12.0,90,1
35,David Raya,G,1,Aug 20,BRF,@FUL,L 2-3,12.5,90,1
36,David Raya,G,1,Aug 13,BRF,MUN,W 4-0,20.5,90,1
37,David Raya,G,1,Aug 7,BRF,@LEI,T 2-2,7.0,90,1
