,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jordan Pickford,G,1,May 28,EVE,BOU,W 1-0,11.5,90,1
1,Jordan Pickford,G,1,May 20,EVE,@WOL,T 1-1,9.0,90,1
2,Jordan Pickford,G,1,May 14,EVE,MCI,L 0-3,3.5,90,1
3,Jordan Pickford,G,1,May 8,EVE,@BHA,W 5-1,10.5,90,1
4,Jordan Pickford,G,1,May 1,EVE,@LEI,T 2-2,13.0,90,1
5,Jordan Pickford,G,1,Apr 27,EVE,NEW,L 1-4,6.0,90,1
6,Jordan Pickford,G,1,Apr 22,EVE,@CRY,T 0-0,15.0,90,1
7,Jordan Pickford,G,1,Apr 15,EVE,FUL,L 1-3,8.0,90,1
8,Jordan Pickford,G,1,Apr 8,EVE,@MUN,L 0-2,17.5,90,1
9,Jordan Pickford,G,1,Apr 3,EVE,TOT,T 1-1,4.0,90,1
10,Jordan Pickford,G,1,Mar 18,EVE,@CHE,T 2-2,10.5,90,1
11,Jordan Pickford,G,1,Mar 11,EVE,BRF,W 1-0,17.0,90,1
12,Jordan Pickford,G,1,Mar 5,EVE,@NOT,T 2-2,7.5,90,1
13,Jordan Pickford,G,1,Mar 1,EVE,@ARS,L 0-4,3.5,90,1
14,Jordan Pickford,G,1,Feb 25,EVE,AVL,L 0-2,7.0,90,1
15,Jordan Pickford,G,1,Feb 18,EVE,LEE,W 1-0,13.5,90,1
16,Jordan Pickford,G,1,Feb 13,EVE,@LIV,L 0-2,7.0,90,1
17,Jordan Pickford,G,1,Feb 4,EVE,ARS,W 1-0,13.0,90,1
18,Jordan Pickford,G,1,Jan 21,EVE,@WHU,L 0-2,5.5,90,1
19,Jordan Pickford,G,1,Jan 14,EVE,SOU,L 1-2,7.0,90,1
20,Jordan Pickford,G,1,Jan 3,EVE,BHA,L 1-4,7.5,90,1
21,Jordan Pickford,G,1,Dec 31,EVE,@MCI,T 1-1,8.5,90,1
22,Jordan Pickford,G,1,Dec 26,EVE,WOL,L 1-2,6.0,90,1
23,Jordan Pickford,G,1,Nov 12,EVE,@BOU,L 0-3,9.5,90,1
24,Jordan Pickford,G,1,Nov 5,EVE,LEI,L 0-2,12.5,90,1
25,Jordan Pickford,G,1,Oct 29,EVE,@FUL,T 0-0,25.0,90,1
26,Jordan Pickford,G,1,Oct 22,EVE,CRY,W 3-0,15.0,90,1
27,Jordan Pickford,G,1,Oct 19,EVE,@NEW,L 0-1,7.5,90,1
