,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Illan Meslier,G,1,Apr 30,LEE,@BOU,L 1-4,6.5,90,1
1,Illan Meslier,G,1,Apr 25,LEE,LEI,T 1-1,6.5,90,1
2,Illan Meslier,G,1,Apr 22,LEE,@FUL,L 1-2,9.5,90,1
3,Illan Meslier,G,1,Apr 17,LEE,LIV,L 1-6,3.0,90,1
4,Illan Meslier,G,1,Apr 9,LEE,CRY,L 1-5,5.5,90,1
5,Illan Meslier,G,1,Apr 4,LEE,NOT,W 2-1,4.5,90,1
6,Illan Meslier,G,1,Apr 1,LEE,@ARS,L 1-4,3.5,90,1
7,Illan Meslier,G,1,Mar 18,LEE,@WOL,W 4-2,10.5,90,1
8,Illan Meslier,G,1,Mar 11,LEE,BHA,T 2-2,6.0,90,1
9,Illan Meslier,G,1,Mar 4,LEE,@CHE,L 0-1,6.5,90,1
10,Illan Meslier,G,1,Feb 25,LEE,SOU,W 1-0,15.5,90,1
11,Illan Meslier,G,1,Feb 18,LEE,@EVE,L 0-1,11.0,90,1
12,Illan Meslier,G,1,Feb 12,LEE,MUN,L 0-2,8.0,90,1
13,Illan Meslier,G,1,Feb 8,LEE,@MUN,T 2-2,11.0,90,1
14,Illan Meslier,G,1,Feb 5,LEE,@NOT,L 0-1,5.0,90,1
15,Illan Meslier,G,1,Jan 22,LEE,BRF,T 0-0,13.5,90,1
16,Illan Meslier,G,1,Jan 13,LEE,@AVL,L 1-2,5.5,90,1
17,Illan Meslier,G,1,Jan 4,LEE,WHU,T 2-2,4.5,90,1
18,Illan Meslier,G,1,Dec 31,LEE,@NEW,T 0-0,19.5,90,1
19,Illan Meslier,G,1,Dec 28,LEE,MCI,L 1-3,11.5,90,1
20,Illan Meslier,G,1,Nov 12,LEE,@TOT,L 3-4,9.5,90,1
21,Illan Meslier,G,1,Nov 5,LEE,BOU,W 4-3,7.5,90,1
22,Illan Meslier,G,1,Oct 29,LEE,@LIV,W 2-1,18.5,90,1
23,Illan Meslier,G,1,Oct 23,LEE,FUL,L 2-3,3.5,90,1
24,Illan Meslier,G,1,Oct 20,LEE,@LEI,L 0-2,3.0,90,1
25,Illan Meslier,G,1,Oct 16,LEE,ARS,L 0-1,8.0,90,1
26,Illan Meslier,G,1,Oct 9,LEE,@CRY,L 1-2,7.0,90,1
27,Illan Meslier,G,1,Oct 2,LEE,AVL,T 0-0,21.5,90,1
28,Illan Meslier,G,1,Sep 3,LEE,@BRF,L 2-5,6.5,90,1
29,Illan Meslier,G,1,Aug 30,LEE,EVE,T 1-1,5.5,90,1
30,Illan Meslier,G,1,Aug 27,LEE,@BHA,L 0-1,9.5,90,1
31,Illan Meslier,G,1,Aug 21,LEE,CHE,W 3-0,16.5,90,1
32,Illan Meslier,G,1,Aug 13,LEE,@SOU,T 2-2,6.0,90,1
33,Illan Meslier,G,1,Aug 6,LEE,WOL,W 2-1,10.5,90,1
34,Joel Robles,G,1,May 28,LEE,TOT,L 1-4,6.0,90,1
35,Joel Robles,G,1,May 21,LEE,@WHU,L 1-3,14.0,90,1
36,Joel Robles,G,1,May 13,LEE,NEW,T 2-2,7.5,90,1
37,Joel Robles,G,1,May 6,LEE,@MCI,L 1-2,10.0,90,1
38,Rasmus Kristensen,D,2,May 28,LEE,TOT,L 1-4,9.25,90,1
39,Rasmus Kristensen,D,2,May 21,LEE,@WHU,L 1-3,11.65,90,1
40,Rasmus Kristensen,D,2,May 13,LEE,NEW,T 2-2,17.0,90,1
41,Rasmus Kristensen,D,2,May 6,LEE,@MCI,L 1-2,4.85,90,1
