,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Danny Ward,G,1,Mar 11,LEI,CHE,L 1-3,7.0,90,1
1,Danny Ward,G,1,Mar 4,LEI,@SOU,L 0-1,14.0,90,1
2,Danny Ward,G,1,Feb 25,LEI,ARS,L 0-1,4.5,90,1
3,Danny Ward,G,1,Feb 19,LEI,@MUN,L 0-3,9.5,90,1
4,Danny Ward,G,1,Feb 11,LEI,TOT,W 4-1,7.5,90,1
5,Danny Ward,G,1,Feb 4,LEI,@AVL,W 4-2,8.0,90,1
6,Danny Ward,G,1,Jan 21,LEI,BHA,T 2-2,5.5,90,1
7,Danny Ward,G,1,Jan 14,LEI,@NOT,L 0-2,7.0,90,1
8,Danny Ward,G,1,Jan 3,LEI,FUL,L 0-1,5.0,90,1
9,Danny Ward,G,1,Dec 30,LEI,@LIV,L 1-2,10.0,90,1
10,Danny Ward,G,1,Dec 26,LEI,NEW,L 0-3,5.0,90,1
11,Danny Ward,G,1,Nov 12,LEI,@WHU,W 2-0,22.5,90,1
12,Danny Ward,G,1,Nov 5,LEI,@EVE,W 2-0,17.5,90,1
13,Danny Ward,G,1,Oct 29,LEI,MCI,L 0-1,10.0,90,1
14,Danny Ward,G,1,Oct 23,LEI,@WOL,W 4-0,20.0,90,1
15,Danny Ward,G,1,Oct 20,LEI,LEE,W 2-0,15.5,90,1
16,Danny Ward,G,1,Oct 15,LEI,CRY,T 0-0,13.5,90,1
17,Danny Ward,G,1,Oct 8,LEI,@BOU,L 1-2,5.5,90,1
18,Danny Ward,G,1,Oct 3,LEI,NOT,W 4-0,18.5,90,1
19,Danny Ward,G,1,Sep 17,LEI,@TOT,L 2-6,9.0,90,1
20,Danny Ward,G,1,Sep 4,LEI,@BHA,L 2-5,13.0,90,1
21,Danny Ward,G,1,Sep 1,LEI,MUN,L 0-1,5.0,90,1
22,Danny Ward,G,1,Aug 27,LEI,@CHE,L 1-2,5.5,90,1
23,Danny Ward,G,1,Aug 20,LEI,SOU,L 1-2,4.0,90,1
24,Danny Ward,G,1,Aug 13,LEI,@ARS,L 2-4,8.0,90,1
25,Danny Ward,G,1,Aug 7,LEI,BRF,T 2-2,4.0,90,1
26,Daniel Iversen,G,1,May 28,LEI,WHU,W 2-1,6.0,90,1
27,Daniel Iversen,G,1,May 22,LEI,@NEW,T 0-0,18.0,90,1
28,Daniel Iversen,G,1,May 15,LEI,LIV,L 0-3,5.0,90,1
29,Daniel Iversen,G,1,May 8,LEI,@FUL,L 3-5,4.0,90,1
30,Daniel Iversen,G,1,May 1,LEI,EVE,T 2-2,13.5,90,1
31,Daniel Iversen,G,1,Apr 25,LEI,@LEE,T 1-1,6.5,90,1
32,Daniel Iversen,G,1,Apr 22,LEI,WOL,W 2-1,7.0,90,1
33,Daniel Iversen,G,1,Apr 15,LEI,@MCI,L 1-3,4.0,90,1
34,Daniel Iversen,G,1,Apr 8,LEI,BOU,L 0-1,13.0,90,1
35,Daniel Iversen,G,1,Apr 4,LEI,AVL,L 1-2,7.0,90,1
