,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Alisson,G,1,May 20,LIV,AVL,T 1-1,7.5,90,1
1,Alisson,G,1,May 15,LIV,@LEI,W 3-0,19.0,90,1
2,Alisson,G,1,May 6,LIV,BRF,W 1-0,16.5,90,1
3,Alisson,G,1,May 3,LIV,FUL,W 1-0,16.5,90,1
4,Alisson,G,1,Apr 30,LIV,TOT,W 4-3,8.5,90,1
5,Alisson,G,1,Apr 26,LIV,@WHU,W 2-1,5.5,90,1
6,Alisson,G,1,Apr 22,LIV,NOT,W 3-2,8.5,90,1
7,Alisson,G,1,Apr 17,LIV,@LEE,W 6-1,6.5,90,1
8,Alisson,G,1,Apr 9,LIV,ARS,T 2-2,9.5,90,1
9,Alisson,G,1,Apr 4,LIV,@CHE,T 0-0,16.0,90,1
10,Alisson,G,1,Apr 1,LIV,@MCI,L 1-4,8.0,90,1
11,Alisson,G,1,Mar 11,LIV,@BOU,L 0-1,4.5,90,1
12,Alisson,G,1,Mar 5,LIV,MUN,W 7-0,18.0,90,1
13,Alisson,G,1,Mar 1,LIV,WOL,W 2-0,13.5,90,1
14,Alisson,G,1,Feb 25,LIV,@CRY,T 0-0,12.5,90,1
15,Alisson,G,1,Feb 18,LIV,@NEW,W 2-0,18.0,90,1
16,Alisson,G,1,Feb 13,LIV,EVE,W 2-0,13.5,90,1
17,Alisson,G,1,Feb 4,LIV,@WOL,L 0-3,6.5,90,1
18,Alisson,G,1,Jan 21,LIV,CHE,T 0-0,16.5,90,1
19,Alisson,G,1,Jan 14,LIV,@BHA,L 0-3,10.5,90,1
20,Alisson,G,1,Jan 2,LIV,@BRF,L 1-3,11.0,90,1
21,Alisson,G,1,Dec 30,LIV,LEI,W 2-1,5.0,90,1
22,Alisson,G,1,Dec 26,LIV,@AVL,W 3-1,10.5,90,1
23,Alisson,G,1,Nov 12,LIV,SOU,W 3-1,9.5,90,1
24,Alisson,G,1,Nov 6,LIV,@TOT,W 2-1,12.0,90,1
25,Alisson,G,1,Oct 29,LIV,LEE,L 1-2,8.5,90,1
26,Alisson,G,1,Oct 22,LIV,@NOT,L 0-1,12.0,90,1
27,Alisson,G,1,Oct 19,LIV,WHU,W 1-0,21.5,90,1
28,Alisson,G,1,Oct 16,LIV,MCI,W 1-0,23.0,90,1
29,Alisson,G,1,Oct 9,LIV,@ARS,L 2-3,11.0,90,1
30,Alisson,G,1,Oct 1,LIV,BHA,T 3-3,6.5,90,1
31,Alisson,G,1,Sep 3,LIV,@EVE,T 0-0,20.0,90,1
32,Alisson,G,1,Aug 31,LIV,NEW,W 2-1,4.5,90,1
33,Alisson,G,1,Aug 27,LIV,BOU,W 9-0,15.5,90,1
34,Alisson,G,1,Aug 22,LIV,@MUN,L 1-2,7.5,90,1
35,Alisson,G,1,Aug 15,LIV,CRY,T 1-1,6.0,90,1
36,Alisson,G,1,Aug 6,LIV,@FUL,T 2-2,4.0,90,1
37,Caoimhin Kelleher,G,1,May 28,LIV,@SOU,T 4-4,10.5,90,1
38,Trent Alexander-Arnold,D,2,May 28,LIV,@SOU,T 4-4,19.5,90,1
39,Trent Alexander-Arnold,D,2,May 20,LIV,AVL,T 1-1,9.35,90,1
40,Trent Alexander-Arnold,D,2,May 15,LIV,@LEI,W 3-0,27.75,90,1
41,Trent Alexander-Arnold,D,2,May 6,LIV,BRF,W 1-0,18.55,90,1
42,Trent Alexander-Arnold,D,2,May 3,LIV,FUL,W 1-0,22.7,90,1
43,Trent Alexander-Arnold,D,2,Apr 30,LIV,TOT,W 4-3,12.75,90,1
44,Trent Alexander-Arnold,D,2,Apr 26,LIV,@WHU,W 2-1,17.95,90,1
45,Trent Alexander-Arnold,D,2,Apr 22,LIV,NOT,W 3-2,18.6,90,1
46,Trent Alexander-Arnold,D,2,Apr 17,LIV,@LEE,W 6-1,22.45,90,1
47,Trent Alexander-Arnold,D,2,Apr 9,LIV,ARS,T 2-2,18.6,90,1
48,Trent Alexander-Arnold,D,2,Apr 1,LIV,@MCI,L 1-4,8.95,90,1
49,Trent Alexander-Arnold,D,2,Mar 11,LIV,@BOU,L 0-1,14.1,64,1
50,Trent Alexander-Arnold,D,2,Mar 5,LIV,MUN,W 7-0,20.7,90,1
51,Trent Alexander-Arnold,D,2,Mar 1,LIV,WOL,W 2-0,19.75,88,1
52,Trent Alexander-Arnold,D,2,Feb 25,LIV,@CRY,T 0-0,15.0,70,1
53,Trent Alexander-Arnold,D,2,Feb 18,LIV,@NEW,W 2-0,25.8,90,1
54,Trent Alexander-Arnold,D,2,Feb 13,LIV,EVE,W 2-0,19.0,90,1
55,Trent Alexander-Arnold,D,2,Feb 4,LIV,@WOL,L 0-3,8.0,90,1
56,Trent Alexander-Arnold,D,2,Jan 21,LIV,CHE,T 0-0,1.75,17,0
