,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Ederson,G,1,May 28,MCI,@BRF,L 0-1,7.5,90,1
1,Ederson,G,1,May 14,MCI,@EVE,W 3-0,17.0,90,1
2,Ederson,G,1,May 6,MCI,LEE,W 2-1,5.0,90,1
3,Ederson,G,1,Apr 30,MCI,@FUL,W 2-1,1.0,90,1
4,Ederson,G,1,Apr 26,MCI,ARS,W 4-1,5.0,90,1
5,Ederson,G,1,Apr 15,MCI,LEI,W 3-1,7.5,90,1
6,Ederson,G,1,Apr 8,MCI,@SOU,W 4-1,3.0,90,1
7,Ederson,G,1,Apr 1,MCI,LIV,W 4-1,3.0,90,1
8,Ederson,G,1,Mar 11,MCI,@CRY,W 1-0,12.0,90,1
9,Ederson,G,1,Mar 4,MCI,NEW,W 2-0,18.0,90,1
10,Ederson,G,1,Feb 25,MCI,@BOU,W 4-1,5.5,90,1
11,Ederson,G,1,Feb 18,MCI,@NOT,T 1-1,3.0,90,1
12,Ederson,G,1,Feb 15,MCI,@ARS,W 3-1,1.0,90,1
13,Ederson,G,1,Feb 12,MCI,AVL,W 3-1,6.0,90,1
14,Ederson,G,1,Feb 5,MCI,@TOT,L 0-1,6.0,90,1
15,Ederson,G,1,Jan 22,MCI,WOL,W 3-0,13.5,90,1
16,Ederson,G,1,Jan 19,MCI,TOT,W 4-2,5.0,90,1
17,Ederson,G,1,Jan 14,MCI,@MUN,L 1-2,4.0,90,1
18,Ederson,G,1,Jan 5,MCI,@CHE,W 1-0,15.0,90,1
19,Ederson,G,1,Dec 31,MCI,EVE,T 1-1,3.0,90,1
20,Ederson,G,1,Dec 28,MCI,@LEE,W 3-1,3.5,90,1
21,Ederson,G,1,Nov 12,MCI,BRF,L 1-2,10.5,90,1
22,Ederson,G,1,Nov 5,MCI,FUL,W 2-1,4.5,90,1
23,Ederson,G,1,Oct 29,MCI,@LEI,W 1-0,19.5,90,1
24,Ederson,G,1,Oct 22,MCI,BHA,W 3-1,6.5,90,1
25,Ederson,G,1,Oct 16,MCI,@LIV,L 0-1,5.0,90,1
26,Ederson,G,1,Oct 8,MCI,SOU,W 4-0,12.0,90,1
27,Ederson,G,1,Oct 2,MCI,MUN,W 6-3,11.0,90,1
28,Ederson,G,1,Sep 17,MCI,@WOL,W 3-0,15.5,90,1
29,Ederson,G,1,Sep 3,MCI,@AVL,T 1-1,4.5,90,1
30,Ederson,G,1,Aug 31,MCI,NOT,W 6-0,13.5,90,1
31,Ederson,G,1,Aug 27,MCI,CRY,W 4-2,4.0,90,1
