,player,position,position_id,date,team,opp,score,fpts,min,starts
0,David de Gea,G,1,May 28,MUN,FUL,W 2-1,11.0,90,1
1,David de Gea,G,1,May 25,MUN,CHE,W 4-1,9.0,90,1
2,David de Gea,G,1,May 20,MUN,@BOU,W 1-0,19.0,90,1
3,David de Gea,G,1,May 13,MUN,WOL,W 2-0,12.0,90,1
4,David de Gea,G,1,May 7,MUN,@WHU,L 0-1,9.5,90,1
5,David de Gea,G,1,May 4,MUN,@BHA,L 0-1,10.5,90,1
6,David de Gea,G,1,Apr 30,MUN,AVL,W 1-0,15.0,90,1
7,David de Gea,G,1,Apr 27,MUN,@TOT,T 2-2,10.0,90,1
8,David de Gea,G,1,Apr 16,MUN,@NOT,W 2-0,14.0,90,1
9,David de Gea,G,1,Apr 8,MUN,EVE,W 2-0,13.5,90,1
10,David de Gea,G,1,Apr 5,MUN,BRF,W 1-0,13.5,90,1
11,David de Gea,G,1,Apr 2,MUN,@NEW,L 0-2,9.0,90,1
12,David de Gea,G,1,Mar 12,MUN,SOU,T 0-0,18.0,90,1
13,David de Gea,G,1,Mar 5,MUN,@LIV,L 0-7,2.0,90,1
14,David de Gea,G,1,Feb 19,MUN,LEI,W 3-0,17.0,90,1
15,David de Gea,G,1,Feb 12,MUN,@LEE,W 2-0,21.5,90,1
16,David de Gea,G,1,Feb 8,MUN,LEE,T 2-2,4.5,90,1
17,David de Gea,G,1,Feb 4,MUN,CRY,W 2-1,6.5,90,1
18,David de Gea,G,1,Jan 22,MUN,@ARS,L 2-3,7.0,90,1
19,David de Gea,G,1,Jan 18,MUN,@CRY,T 1-1,9.0,90,1
20,David de Gea,G,1,Jan 14,MUN,MCI,W 2-1,3.0,90,1
21,David de Gea,G,1,Jan 3,MUN,BOU,W 3-0,18.5,90,1
22,David de Gea,G,1,Dec 31,MUN,@WOL,W 1-0,16.5,90,1
23,David de Gea,G,1,Dec 27,MUN,NOT,W 3-0,16.5,90,1
