,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Nick Pope,G,1,May 22,NEW,LEI,T 0-0,13.5,90,1
1,Nick Pope,G,1,May 18,NEW,BHA,W 4-1,5.5,90,1
2,Nick Pope,G,1,May 13,NEW,@LEE,T 2-2,12.0,90,1
3,Nick Pope,G,1,May 7,NEW,ARS,L 0-2,12.0,90,1
4,Nick Pope,G,1,Apr 30,NEW,SOU,W 3-1,8.5,90,1
5,Nick Pope,G,1,Apr 27,NEW,@EVE,W 4-1,9.0,90,1
6,Nick Pope,G,1,Apr 23,NEW,TOT,W 6-1,6.0,90,1
7,Nick Pope,G,1,Apr 15,NEW,@AVL,L 0-3,8.0,90,1
8,Nick Pope,G,1,Apr 8,NEW,@BRF,W 2-1,16.5,90,1
9,Nick Pope,G,1,Apr 5,NEW,@WHU,W 5-1,8.5,90,1
10,Nick Pope,G,1,Apr 2,NEW,MUN,W 2-0,13.5,90,1
11,Nick Pope,G,1,Mar 17,NEW,@NOT,W 2-1,6.0,90,1
12,Nick Pope,G,1,Mar 12,NEW,WOL,W 2-1,8.5,90,1
13,Nick Pope,G,1,Mar 4,NEW,@MCI,L 0-2,4.0,90,1
14,Nick Pope,G,1,Feb 18,NEW,LIV,L 0-2,-4.0,21,1
15,Nick Pope,G,1,Feb 11,NEW,@BOU,T 1-1,9.0,90,1
16,Nick Pope,G,1,Feb 4,NEW,WHU,T 1-1,4.0,90,1
17,Nick Pope,G,1,Jan 21,NEW,@CRY,T 0-0,13.5,90,1
18,Nick Pope,G,1,Jan 15,NEW,FUL,W 1-0,11.0,90,1
19,Nick Pope,G,1,Jan 3,NEW,@ARS,T 0-0,19.5,90,1
20,Nick Pope,G,1,Dec 31,NEW,LEE,T 0-0,14.5,90,1
21,Nick Pope,G,1,Dec 26,NEW,@LEI,W 3-0,15.0,90,1
22,Nick Pope,G,1,Nov 12,NEW,CHE,W 1-0,14.0,90,1
23,Nick Pope,G,1,Nov 6,NEW,@SOU,W 4-1,9.5,90,1
24,Nick Pope,G,1,Oct 29,NEW,AVL,W 4-0,12.0,90,1
25,Nick Pope,G,1,Oct 23,NEW,@TOT,W 2-1,6.5,90,1
26,Nick Pope,G,1,Oct 19,NEW,EVE,W 1-0,12.5,90,1
27,Nick Pope,G,1,Oct 16,NEW,@MUN,T 0-0,15.0,90,1
28,Nick Pope,G,1,Oct 8,NEW,BRF,W 5-1,7.0,90,1
29,Nick Pope,G,1,Oct 1,NEW,@FUL,W 4-1,3.0,90,1
30,Nick Pope,G,1,Sep 17,NEW,BOU,T 1-1,6.0,90,1
31,Nick Pope,G,1,Sep 3,NEW,CRY,T 0-0,27.0,90,1
32,Nick Pope,G,1,Aug 31,NEW,@LIV,L 1-2,10.5,90,1
33,Nick Pope,G,1,Aug 28,NEW,@WOL,T 1-1,8.5,90,1
34,Nick Pope,G,1,Aug 21,NEW,MCI,T 3-3,13.0,90,1
35,Nick Pope,G,1,Aug 13,NEW,@BHA,T 0-0,20.0,90,1
36,Nick Pope,G,1,Aug 6,NEW,NOT,W 2-0,12.5,90,1
37,Martin Dubravka,G,1,May 28,NEW,@CHE,T 1-1,11.0,90,1
38,Martin Dubravka,G,1,Feb 18,NEW,LIV,L 0-2,10.0,65,0
39,Kieran Trippier,D,2,May 28,NEW,@CHE,T 1-1,1.95,90,1
40,Kieran Trippier,D,2,May 22,NEW,LEI,T 0-0,19.1,90,1
41,Kieran Trippier,D,2,May 18,NEW,BHA,W 4-1,20.1,88,1
42,Kieran Trippier,D,2,May 13,NEW,@LEE,T 2-2,9.65,90,1
43,Kieran Trippier,D,2,May 7,NEW,ARS,L 0-2,11.95,90,1
44,Kieran Trippier,D,2,Apr 30,NEW,SOU,W 3-1,13.25,90,1
45,Kieran Trippier,D,2,Apr 27,NEW,@EVE,W 4-1,8.3,90,1
46,Kieran Trippier,D,2,Apr 23,NEW,TOT,W 6-1,10.1,69,1
47,Kieran Trippier,D,2,Apr 15,NEW,@AVL,L 0-3,13.45,90,1
48,Kieran Trippier,D,2,Apr 8,NEW,@BRF,W 2-1,10.45,90,1
49,Kieran Trippier,D,2,Apr 5,NEW,@WHU,W 5-1,13.5,86,1
50,Kieran Trippier,D,2,Apr 2,NEW,MUN,W 2-0,27.5,90,1
51,Kieran Trippier,D,2,Mar 17,NEW,@NOT,W 2-1,12.35,90,1
52,Kieran Trippier,D,2,Mar 12,NEW,WOL,W 2-1,13.65,90,1
53,Kieran Trippier,D,2,Mar 4,NEW,@MCI,L 0-2,11.6,90,1
54,Kieran Trippier,D,2,Feb 18,NEW,LIV,L 0-2,13.95,63,1
55,Kieran Trippier,D,2,Feb 11,NEW,@BOU,T 1-1,9.3,90,1
56,Kieran Trippier,D,2,Feb 4,NEW,WHU,T 1-1,11.3,90,1
57,Kieran Trippier,D,2,Jan 21,NEW,@CRY,T 0-0,25.95,90,1
58,Kieran Trippier,D,2,Jan 15,NEW,FUL,W 1-0,19.35,90,1
59,Kieran Trippier,D,2,Jan 3,NEW,@ARS,T 0-0,19.0,90,1
60,Kieran Trippier,D,2,Dec 31,NEW,LEE,T 0-0,21.25,90,1
61,Kieran Trippier,D,2,Dec 26,NEW,@LEI,W 3-0,33.25,90,1
62,Kieran Trippier,D,2,Nov 12,NEW,CHE,W 1-0,20.6,90,1
63,Kieran Trippier,D,2,Nov 6,NEW,@SOU,W 4-1,23.3,79,1
64,Kieran Trippier,D,2,Oct 29,NEW,AVL,W 4-0,26.7,90,1
65,Kieran Trippier,D,2,Oct 23,NEW,@TOT,W 2-1,12.7,90,1
66,Kieran Trippier,D,2,Oct 19,NEW,EVE,W 1-0,22.85,90,1
67,Kieran Trippier,D,2,Oct 16,NEW,@MUN,T 0-0,21.45,90,1
68,Kieran Trippier,D,2,Oct 8,NEW,BRF,W 5-1,15.0,83,1
69,Kieran Trippier,D,2,Oct 1,NEW,@FUL,W 4-1,18.3,82,1
