,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Gavin Bazunu,G,1,Apr 21,SOU,@ARS,T 3-3,5.5,90,1
1,Gavin Bazunu,G,1,Apr 15,SOU,CRY,L 0-2,3.0,90,1
2,Gavin Bazunu,G,1,Apr 8,SOU,MCI,L 1-4,9.0,90,1
3,Gavin Bazunu,G,1,Apr 2,SOU,@WHU,L 0-1,8.0,90,1
4,Gavin Bazunu,G,1,Mar 18,SOU,TOT,T 3-3,2.0,90,1
5,Gavin Bazunu,G,1,Mar 15,SOU,BRF,L 0-2,6.0,90,1
6,Gavin Bazunu,G,1,Mar 12,SOU,@MUN,T 0-0,18.5,90,1
7,Gavin Bazunu,G,1,Mar 4,SOU,LEI,W 1-0,12.5,90,1
8,Gavin Bazunu,G,1,Feb 25,SOU,@LEE,L 0-1,9.0,90,1
9,Gavin Bazunu,G,1,Feb 18,SOU,@CHE,W 1-0,18.0,90,1
10,Gavin Bazunu,G,1,Feb 11,SOU,WOL,L 1-2,2.5,90,1
11,Gavin Bazunu,G,1,Feb 4,SOU,@BRF,L 0-3,4.0,90,1
12,Gavin Bazunu,G,1,Jan 21,SOU,AVL,L 0-1,9.5,90,1
13,Gavin Bazunu,G,1,Jan 14,SOU,@EVE,W 2-1,9.5,90,1
14,Gavin Bazunu,G,1,Jan 4,SOU,NOT,L 0-1,4.0,90,1
15,Gavin Bazunu,G,1,Dec 31,SOU,@FUL,L 1-2,10.5,90,1
16,Gavin Bazunu,G,1,Dec 26,SOU,BHA,L 1-3,5.5,90,1
17,Gavin Bazunu,G,1,Nov 12,SOU,@LIV,L 1-3,8.0,90,1
18,Gavin Bazunu,G,1,Nov 6,SOU,NEW,L 1-4,2.0,90,1
19,Gavin Bazunu,G,1,Oct 29,SOU,@CRY,L 0-1,9.0,90,1
20,Gavin Bazunu,G,1,Oct 23,SOU,ARS,T 1-1,8.0,90,1
21,Gavin Bazunu,G,1,Oct 19,SOU,@BOU,W 1-0,18.0,90,1
22,Gavin Bazunu,G,1,Oct 16,SOU,WHU,T 1-1,10.5,90,1
23,Gavin Bazunu,G,1,Oct 8,SOU,@MCI,L 0-4,8.5,90,1
24,Gavin Bazunu,G,1,Oct 1,SOU,EVE,L 1-2,8.0,90,1
25,Gavin Bazunu,G,1,Sep 16,SOU,@AVL,L 0-1,6.5,90,1
26,Gavin Bazunu,G,1,Sep 3,SOU,@WOL,L 0-1,5.5,90,1
27,Gavin Bazunu,G,1,Aug 30,SOU,CHE,W 2-1,9.5,90,1
28,Gavin Bazunu,G,1,Aug 27,SOU,MUN,L 0-1,10.5,90,1
29,Gavin Bazunu,G,1,Aug 20,SOU,@LEI,W 2-1,4.5,90,1
30,Gavin Bazunu,G,1,Aug 13,SOU,LEE,T 2-2,7.5,90,1
31,Gavin Bazunu,G,1,Aug 6,SOU,@TOT,L 1-4,9.0,90,1
32,Alex McCarthy,G,1,May 28,SOU,LIV,T 4-4,10.5,90,1
33,Alex McCarthy,G,1,May 21,SOU,@BHA,L 1-3,9.5,90,1
34,Alex McCarthy,G,1,May 13,SOU,FUL,L 0-2,4.0,90,1
35,Alex McCarthy,G,1,May 8,SOU,@NOT,L 3-4,2.5,90,1
36,Alex McCarthy,G,1,Apr 30,SOU,@NEW,L 1-3,7.5,90,1
37,Alex McCarthy,G,1,Apr 27,SOU,BOU,L 0-1,5.0,90,1
38,Kyle Walker-Peters,D,2,May 28,SOU,LIV,T 4-4,12.95,90,1
39,Kyle Walker-Peters,D,2,May 21,SOU,@BHA,L 1-3,4.75,90,1
40,Kyle Walker-Peters,D,2,May 13,SOU,FUL,L 0-2,8.45,90,1
41,Kyle Walker-Peters,D,2,May 8,SOU,@NOT,L 3-4,5.0,90,1
42,Kyle Walker-Peters,D,2,Apr 30,SOU,@NEW,L 1-3,6.7,90,1
43,Kyle Walker-Peters,D,2,Apr 27,SOU,BOU,L 0-1,8.85,90,1
44,Kyle Walker-Peters,D,2,Apr 21,SOU,@ARS,T 3-3,3.15,90,1
45,Kyle Walker-Peters,D,2,Apr 15,SOU,CRY,L 0-2,8.25,90,1
46,Kyle Walker-Peters,D,2,Apr 8,SOU,MCI,L 1-4,4.85,90,1
47,Kyle Walker-Peters,D,2,Apr 2,SOU,@WHU,L 0-1,9.85,90,1
48,Kyle Walker-Peters,D,2,Mar 18,SOU,TOT,T 3-3,7.5,90,1
49,Kyle Walker-Peters,D,2,Mar 15,SOU,BRF,L 0-2,7.1,58,1
50,Kyle Walker-Peters,D,2,Mar 12,SOU,@MUN,T 0-0,23.3,90,1
51,Kyle Walker-Peters,D,2,Mar 4,SOU,LEI,W 1-0,17.7,90,1
52,Kyle Walker-Peters,D,2,Feb 25,SOU,@LEE,L 0-1,5.75,18,0
53,Kyle Walker-Peters,D,2,Jan 21,SOU,AVL,L 0-1,8.45,90,1
54,Kyle Walker-Peters,D,2,Jan 14,SOU,@EVE,W 2-1,5.6,90,1
55,Kyle Walker-Peters,D,2,Jan 4,SOU,NOT,L 0-1,6.5,90,1
56,Kyle Walker-Peters,D,2,Dec 31,SOU,@FUL,L 1-2,7.25,90,1
57,Kyle Walker-Peters,D,2,Dec 26,SOU,BHA,L 1-3,5.1,90,1
58,Kyle Walker-Peters,D,2,Oct 19,SOU,@BOU,W 1-0,12.5,65,1
59,Kyle Walker-Peters,D,2,Oct 16,SOU,WHU,T 1-1,3.5,90,1
60,Kyle Walker-Peters,D,2,Oct 8,SOU,@MCI,L 0-4,5.2,78,1
61,Kyle Walker-Peters,D,2,Oct 1,SOU,EVE,L 1-2,9.55,90,1
62,Kyle Walker-Peters,D,2,Sep 16,SOU,@AVL,L 0-1,10.25,90,1
63,Kyle Walker-Peters,D,2,Sep 3,SOU,@WOL,L 0-1,8.35,90,1
64,Kyle Walker-Peters,D,2,Aug 30,SOU,CHE,W 2-1,6.2,90,1
65,Kyle Walker-Peters,D,2,Aug 27,SOU,MUN,L 0-1,9.25,90,1
66,Kyle Walker-Peters,D,2,Aug 20,SOU,@LEI,W 2-1,9.8,90,1
67,Kyle Walker-Peters,D,2,Aug 13,SOU,LEE,T 2-2,17.8,90,1
68,Kyle Walker-Peters,D,2,Aug 6,SOU,@TOT,L 1-4,5.65,88,1
69,James Bree,D,2,May 28,SOU,LIV,T 4-4,6.15,90,1
70,James Bree,D,2,May 21,SOU,@BHA,L 1-3,2.55,76,1
71,James Bree,D,2,Mar 15,SOU,BRF,L 0-2,4.7,30,0
72,James Bree,D,2,Feb 11,SOU,WOL,L 1-2,8.6,79,1
73,James Bree,D,2,Feb 4,SOU,@BRF,L 0-3,9.85,90,1
74,Tino Livramento,D,2,May 28,SOU,LIV,T 4-4,4.95,12,0
75,Tino Livramento,D,2,May 21,SOU,@BHA,L 1-3,3.35,12,0
76,Yan Valery,D,2,Aug 6,SOU,@TOT,L 1-4,0.55,45,1
77,Armel Bella Kotchap,D,2,May 8,SOU,@NOT,L 3-4,1.35,37,1
