,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Hugo Lloris,G,1,Apr 23,TOT,@NEW,L 1-6,1.0,45,1
1,Hugo Lloris,G,1,Apr 15,TOT,BOU,L 2-3,6.5,90,1
2,Hugo Lloris,G,1,Apr 8,TOT,BHA,W 2-1,8.0,90,1
3,Hugo Lloris,G,1,Apr 3,TOT,@EVE,T 1-1,14.5,90,1
4,Hugo Lloris,G,1,Feb 5,TOT,MCI,W 1-0,19.5,90,1
5,Hugo Lloris,G,1,Jan 23,TOT,@FUL,W 1-0,19.5,90,1
6,Hugo Lloris,G,1,Jan 19,TOT,@MCI,L 2-4,6.5,90,1
7,Hugo Lloris,G,1,Jan 15,TOT,ARS,L 0-2,9.5,90,1
8,Hugo Lloris,G,1,Jan 4,TOT,@CRY,W 4-0,20.0,90,1
9,Hugo Lloris,G,1,Jan 1,TOT,AVL,L 0-2,5.5,90,1
10,Hugo Lloris,G,1,Nov 12,TOT,LEE,W 4-3,6.0,90,1
11,Hugo Lloris,G,1,Nov 6,TOT,LIV,L 1-2,8.5,90,1
12,Hugo Lloris,G,1,Oct 29,TOT,@BOU,W 3-2,6.0,90,1
13,Hugo Lloris,G,1,Oct 23,TOT,NEW,L 1-2,7.0,90,1
14,Hugo Lloris,G,1,Oct 19,TOT,@MUN,L 0-2,15.0,90,1
15,Hugo Lloris,G,1,Oct 15,TOT,EVE,W 2-0,12.0,90,1
16,Hugo Lloris,G,1,Oct 8,TOT,@BHA,W 1-0,19.0,90,1
17,Hugo Lloris,G,1,Oct 1,TOT,@ARS,L 1-3,14.0,90,1
18,Hugo Lloris,G,1,Sep 17,TOT,LEI,W 6-2,11.0,90,1
19,Hugo Lloris,G,1,Sep 3,TOT,FUL,W 2-1,6.0,90,1
20,Hugo Lloris,G,1,Aug 31,TOT,@WHU,T 1-1,10.0,90,1
21,Hugo Lloris,G,1,Aug 28,TOT,@NOT,W 2-0,15.0,90,1
22,Hugo Lloris,G,1,Aug 20,TOT,WOL,W 1-0,16.5,90,1
23,Hugo Lloris,G,1,Aug 14,TOT,@CHE,T 2-2,4.5,90,1
24,Hugo Lloris,G,1,Aug 6,TOT,SOU,W 4-1,4.5,90,1
25,Fraser Forster,G,1,May 28,TOT,@LEE,W 4-1,4.5,90,1
26,Fraser Forster,G,1,May 20,TOT,BRF,L 1-3,3.5,90,1
27,Fraser Forster,G,1,May 13,TOT,@AVL,L 1-2,7.0,90,1
28,Fraser Forster,G,1,May 6,TOT,CRY,W 1-0,15.0,90,1
29,Fraser Forster,G,1,Apr 30,TOT,@LIV,L 3-4,1.5,90,1
30,Fraser Forster,G,1,Apr 27,TOT,MUN,T 2-2,11.0,90,1
31,Fraser Forster,G,1,Apr 23,TOT,@NEW,L 1-6,3.0,45,0
32,Fraser Forster,G,1,Mar 18,TOT,@SOU,T 3-3,8.5,90,1
33,Fraser Forster,G,1,Mar 11,TOT,NOT,W 3-1,15.0,90,1
34,Fraser Forster,G,1,Mar 4,TOT,@WOL,L 0-1,9.0,90,1
35,Fraser Forster,G,1,Feb 26,TOT,CHE,W 2-0,15.0,90,1
36,Fraser Forster,G,1,Feb 19,TOT,WHU,W 2-0,13.5,90,1
37,Fraser Forster,G,1,Feb 11,TOT,@LEI,L 1-4,5.0,90,1
38,Fraser Forster,G,1,Dec 26,TOT,@BRF,T 2-2,8.5,90,1
39,Pedro Porro,D,2,May 28,TOT,@LEE,W 4-1,25.85,88,1
40,Pedro Porro,D,2,May 20,TOT,BRF,L 1-3,5.5,14,0
41,Pedro Porro,D,2,May 13,TOT,@AVL,L 1-2,9.2,80,1
42,Pedro Porro,D,2,May 6,TOT,CRY,W 1-0,26.45,90,1
43,Pedro Porro,D,2,Apr 30,TOT,@LIV,L 3-4,13.1,88,1
44,Pedro Porro,D,2,Apr 27,TOT,MUN,T 2-2,19.3,76,1
45,Pedro Porro,D,2,Apr 23,TOT,@NEW,L 1-6,9.1,90,1
46,Pedro Porro,D,2,Apr 15,TOT,BOU,L 2-3,16.6,90,1
47,Pedro Porro,D,2,Apr 8,TOT,BHA,W 2-1,8.0,90,1
48,Pedro Porro,D,2,Apr 3,TOT,@EVE,T 1-1,8.1,90,1
49,Pedro Porro,D,2,Mar 18,TOT,@SOU,T 3-3,20.05,85,1
50,Pedro Porro,D,2,Mar 11,TOT,NOT,W 3-1,16.35,90,1
