,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Lukasz Fabianski,G,1,May 28,WHU,@LEI,L 1-2,6.0,90,1
1,Lukasz Fabianski,G,1,May 21,WHU,LEE,W 3-1,8.5,90,1
2,Lukasz Fabianski,G,1,May 14,WHU,@BRF,L 0-2,13.0,90,1
3,Lukasz Fabianski,G,1,May 7,WHU,MUN,W 1-0,18.5,90,1
4,Lukasz Fabianski,G,1,May 3,WHU,@MCI,L 0-3,8.0,90,1
5,Lukasz Fabianski,G,1,Apr 29,WHU,@CRY,L 3-4,4.5,90,1
6,Lukasz Fabianski,G,1,Apr 26,WHU,LIV,L 1-2,6.0,90,1
7,Lukasz Fabianski,G,1,Apr 23,WHU,@BOU,W 4-0,19.0,90,1
8,Lukasz Fabianski,G,1,Apr 16,WHU,ARS,T 2-2,7.0,90,1
9,Lukasz Fabianski,G,1,Apr 8,WHU,@FUL,W 1-0,18.0,90,1
10,Lukasz Fabianski,G,1,Apr 5,WHU,NEW,L 1-5,4.0,90,1
11,Lukasz Fabianski,G,1,Apr 2,WHU,SOU,W 1-0,17.0,90,1
12,Lukasz Fabianski,G,1,Feb 25,WHU,NOT,W 4-0,14.5,68,1
13,Lukasz Fabianski,G,1,Feb 19,WHU,@TOT,L 0-2,10.5,90,1
14,Lukasz Fabianski,G,1,Feb 11,WHU,CHE,T 1-1,8.0,90,1
15,Lukasz Fabianski,G,1,Feb 4,WHU,@NEW,T 1-1,4.5,90,1
16,Lukasz Fabianski,G,1,Jan 21,WHU,EVE,W 2-0,16.5,90,1
17,Lukasz Fabianski,G,1,Jan 14,WHU,@WOL,L 0-1,7.5,90,1
18,Lukasz Fabianski,G,1,Jan 4,WHU,@LEE,T 2-2,9.5,90,1
19,Lukasz Fabianski,G,1,Dec 30,WHU,BRF,L 0-2,8.5,90,1
20,Lukasz Fabianski,G,1,Dec 26,WHU,@ARS,L 1-3,10.5,90,1
21,Lukasz Fabianski,G,1,Nov 12,WHU,LEI,L 0-2,13.5,90,1
22,Lukasz Fabianski,G,1,Nov 6,WHU,CRY,L 1-2,11.5,90,1
23,Lukasz Fabianski,G,1,Oct 30,WHU,@MUN,L 0-1,5.0,45,1
24,Lukasz Fabianski,G,1,Oct 24,WHU,BOU,W 2-0,17.5,90,1
25,Lukasz Fabianski,G,1,Oct 19,WHU,@LIV,L 0-1,12.0,90,1
26,Lukasz Fabianski,G,1,Oct 16,WHU,@SOU,T 1-1,13.5,90,1
27,Lukasz Fabianski,G,1,Oct 9,WHU,FUL,W 3-1,4.5,90,1
28,Lukasz Fabianski,G,1,Oct 1,WHU,WOL,W 2-0,18.0,90,1
29,Lukasz Fabianski,G,1,Sep 18,WHU,@EVE,L 0-1,6.0,90,1
30,Lukasz Fabianski,G,1,Sep 3,WHU,@CHE,L 1-2,4.5,90,1
31,Lukasz Fabianski,G,1,Aug 31,WHU,TOT,T 1-1,7.5,90,1
32,Lukasz Fabianski,G,1,Aug 28,WHU,@AVL,W 1-0,16.5,90,1
33,Lukasz Fabianski,G,1,Aug 21,WHU,BHA,L 0-2,6.0,90,1
34,Lukasz Fabianski,G,1,Aug 14,WHU,@NOT,L 0-1,10.5,90,1
35,Lukasz Fabianski,G,1,Aug 7,WHU,MCI,L 0-2,2.0,28,1
36,Alphonse Areola,G,1,Mar 12,WHU,AVL,T 1-1,7.5,90,1
37,Alphonse Areola,G,1,Mar 4,WHU,@BHA,L 0-4,9.0,90,1
38,Alphonse Areola,G,1,Feb 25,WHU,NOT,W 4-0,2.5,20,0
39,Alphonse Areola,G,1,Oct 30,WHU,@MUN,L 0-1,2.0,45,0
40,Alphonse Areola,G,1,Aug 7,WHU,MCI,L 0-2,2.0,60,0
41,Vladimir Coufal,D,2,May 28,WHU,@LEI,L 1-2,12.05,90,1
42,Vladimir Coufal,D,2,May 21,WHU,LEE,W 3-1,7.2,90,1
43,Vladimir Coufal,D,2,May 3,WHU,@MCI,L 0-3,10.25,61,1
44,Vladimir Coufal,D,2,Apr 29,WHU,@CRY,L 3-4,4.6,90,1
45,Vladimir Coufal,D,2,Apr 26,WHU,LIV,L 1-2,9.0,90,1
46,Vladimir Coufal,D,2,Apr 23,WHU,@BOU,W 4-0,22.5,82,1
47,Vladimir Coufal,D,2,Apr 16,WHU,ARS,T 2-2,8.9,90,1
48,Vladimir Coufal,D,2,Apr 8,WHU,@FUL,W 1-0,17.5,90,1
49,Vladimir Coufal,D,2,Apr 5,WHU,NEW,L 1-5,3.75,26,0
50,Vladimir Coufal,D,2,Feb 25,WHU,NOT,W 4-0,5.25,45,1
51,Vladimir Coufal,D,2,Feb 19,WHU,@TOT,L 0-2,8.5,90,1
52,Vladimir Coufal,D,2,Feb 11,WHU,CHE,T 1-1,3.1,90,1
53,Vladimir Coufal,D,2,Feb 4,WHU,@NEW,T 1-1,13.3,88,1
54,Vladimir Coufal,D,2,Jan 21,WHU,EVE,W 2-0,15.3,90,1
55,Vladimir Coufal,D,2,Jan 14,WHU,@WOL,L 0-1,9.15,90,1
56,Vladimir Coufal,D,2,Jan 4,WHU,@LEE,T 2-2,9.45,67,1
57,Vladimir Coufal,D,2,Dec 30,WHU,BRF,L 0-2,10.1,90,1
58,Vladimir Coufal,D,2,Dec 26,WHU,@ARS,L 1-3,6.25,90,1
59,Vladimir Coufal,D,2,Oct 24,WHU,BOU,W 2-0,6.5,1,0
60,Vladimir Coufal,D,2,Oct 16,WHU,@SOU,T 1-1,10.4,90,1
61,Vladimir Coufal,D,2,Sep 18,WHU,@EVE,L 0-1,8.7,90,1
62,Vladimir Coufal,D,2,Sep 3,WHU,@CHE,L 1-2,10.35,90,1
63,Vladimir Coufal,D,2,Aug 31,WHU,TOT,T 1-1,8.6,90,1
64,Vladimir Coufal,D,2,Aug 28,WHU,@AVL,W 1-0,15.05,66,0
65,Vladimir Coufal,D,2,Aug 21,WHU,BHA,L 0-2,4.7,74,1
66,Vladimir Coufal,D,2,Aug 14,WHU,@NOT,L 0-1,7.25,90,1
67,Vladimir Coufal,D,2,Aug 7,WHU,MCI,L 0-2,9.1,90,1
68,Thilo Kehrer,D,2,May 28,WHU,@LEI,L 1-2,5.5,90,1
69,Thilo Kehrer,D,2,May 21,WHU,LEE,W 3-1,4.7,45,0
70,Thilo Kehrer,D,2,May 7,WHU,MUN,W 1-0,15.55,90,1
71,Thilo Kehrer,D,2,May 3,WHU,@MCI,L 0-3,6.55,90,1
72,Thilo Kehrer,D,2,Apr 23,WHU,@BOU,W 4-0,3.75,6,0
73,Thilo Kehrer,D,2,Apr 16,WHU,ARS,T 2-2,14.7,90,1
74,Thilo Kehrer,D,2,Apr 5,WHU,NEW,L 1-5,4.15,62,1
75,Thilo Kehrer,D,2,Apr 2,WHU,SOU,W 1-0,22.3,90,1
76,Thilo Kehrer,D,2,Mar 12,WHU,AVL,T 1-1,10.5,90,1
77,Thilo Kehrer,D,2,Feb 19,WHU,@TOT,L 0-2,11.05,90,1
78,Thilo Kehrer,D,2,Feb 11,WHU,CHE,T 1-1,9.25,90,1
79,Thilo Kehrer,D,2,Feb 4,WHU,@NEW,T 1-1,3.25,45,1
80,Thilo Kehrer,D,2,Jan 4,WHU,@LEE,T 2-2,7.05,90,1
81,Thilo Kehrer,D,2,Dec 26,WHU,@ARS,L 1-3,3.6,90,1
82,Thilo Kehrer,D,2,Nov 12,WHU,LEI,L 0-2,9.2,90,1
83,Thilo Kehrer,D,2,Nov 6,WHU,CRY,L 1-2,7.75,90,1
84,Thilo Kehrer,D,2,Oct 30,WHU,@MUN,L 0-1,8.45,90,1
85,Thilo Kehrer,D,2,Oct 24,WHU,BOU,W 2-0,13.35,90,1
86,Thilo Kehrer,D,2,Oct 19,WHU,@LIV,L 0-1,6.0,90,1
87,Thilo Kehrer,D,2,Oct 16,WHU,@SOU,T 1-1,11.7,90,1
88,Thilo Kehrer,D,2,Oct 9,WHU,FUL,W 3-1,5.5,90,1
89,Thilo Kehrer,D,2,Oct 1,WHU,WOL,W 2-0,23.15,90,1
90,Thilo Kehrer,D,2,Sep 18,WHU,@EVE,L 0-1,8.25,90,1
91,Thilo Kehrer,D,2,Sep 3,WHU,@CHE,L 1-2,2.05,90,1
92,Thilo Kehrer,D,2,Aug 31,WHU,TOT,T 1-1,1.2,90,1
93,Thilo Kehrer,D,2,Aug 28,WHU,@AVL,W 1-0,15.75,90,1
94,Thilo Kehrer,D,2,Aug 21,WHU,BHA,L 0-2,4.3,90,1
95,Ben Johnson,D,2,May 21,WHU,LEE,W 3-1,0.5,1,0
96,Ben Johnson,D,2,May 14,WHU,@BRF,L 0-2,9.05,90,1
97,Ben Johnson,D,2,May 7,WHU,MUN,W 1-0,0.75,1,0
98,Ben Johnson,D,2,May 3,WHU,@MCI,L 0-3,1.0,27,0
99,Ben Johnson,D,2,Mar 4,WHU,@BHA,L 0-4,9.35,90,1
