,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Emiliano Martinez,G,1,May 13,AVL,LIV,T 3-3,10.0,90,1
1,Emiliano Martinez,G,1,Apr 27,AVL,CHE,T 2-2,3.0,45,1
2,Emiliano Martinez,G,1,Apr 21,AVL,BOU,W 3-1,9.0,90,1
3,Emiliano Martinez,G,1,Apr 14,AVL,@ARS,W 2-0,18.0,90,1
4,Emiliano Martinez,G,1,Apr 6,AVL,BRF,T 3-3,2.5,90,1
5,Emiliano Martinez,G,1,Mar 30,AVL,WOL,W 2-0,16.5,90,1
6,Emiliano Martinez,G,1,Mar 17,AVL,@WHU,T 1-1,9.5,90,1
7,Emiliano Martinez,G,1,Mar 10,AVL,TOT,L 0-4,3.0,90,1
8,Emiliano Martinez,G,1,Mar 2,AVL,@LUT,W 3-2,5.5,90,1
9,Emiliano Martinez,G,1,Feb 24,AVL,NOT,W 4-2,4.0,90,1
10,Emiliano Martinez,G,1,Feb 17,AVL,@FUL,W 2-1,7.5,90,1
11,Emiliano Martinez,G,1,Feb 11,AVL,MUN,L 1-2,8.0,90,1
12,Emiliano Martinez,G,1,Feb 3,AVL,@SHU,W 5-0,18.0,90,1
13,Emiliano Martinez,G,1,Jan 30,AVL,NEW,L 1-3,6.5,90,1
14,Emiliano Martinez,G,1,Jan 14,AVL,@EVE,T 0-0,17.0,90,1
15,Emiliano Martinez,G,1,Dec 30,AVL,BUR,W 3-2,5.5,90,1
16,Emiliano Martinez,G,1,Dec 26,AVL,@MUN,L 2-3,8.5,90,1
17,Emiliano Martinez,G,1,Dec 22,AVL,SHU,T 1-1,4.5,90,1
18,Emiliano Martinez,G,1,Dec 17,AVL,@BRF,W 2-1,5.5,90,1
19,Emiliano Martinez,G,1,Dec 9,AVL,ARS,W 1-0,19.5,90,1
20,Emiliano Martinez,G,1,Dec 6,AVL,MCI,W 1-0,15.0,90,1
21,Emiliano Martinez,G,1,Dec 3,AVL,@BOU,T 2-2,10.0,90,1
22,Emiliano Martinez,G,1,Nov 26,AVL,@TOT,W 2-1,12.5,90,1
23,Emiliano Martinez,G,1,Nov 12,AVL,FUL,W 3-1,9.5,90,1
24,Emiliano Martinez,G,1,Nov 5,AVL,@NOT,L 0-2,4.0,90,1
25,Emiliano Martinez,G,1,Oct 29,AVL,LUT,W 3-1,4.5,90,1
26,Emiliano Martinez,G,1,Oct 22,AVL,WHU,W 4-1,9.0,90,1
27,Emiliano Martinez,G,1,Oct 8,AVL,@WOL,T 1-1,6.5,90,1
28,Emiliano Martinez,G,1,Sep 30,AVL,BHA,W 6-1,6.0,90,1
29,Emiliano Martinez,G,1,Sep 24,AVL,@CHE,W 1-0,16.5,90,1
30,Emiliano Martinez,G,1,Sep 16,AVL,CRY,W 3-1,6.0,90,1
31,Emiliano Martinez,G,1,Sep 3,AVL,@LIV,L 0-3,5.5,90,1
32,Emiliano Martinez,G,1,Aug 20,AVL,EVE,W 4-0,16.0,90,1
33,Emiliano Martinez,G,1,Aug 12,AVL,@NEW,L 1-5,10.0,90,1
34,Robin Olsen,G,1,May 19,AVL,@CRY,L 0-5,8.0,90,1
35,Robin Olsen,G,1,May 5,AVL,@BHA,L 0-1,18.5,90,1
36,Robin Olsen,G,1,Apr 27,AVL,CHE,T 2-2,6.5,45,0
37,Robin Olsen,G,1,Apr 3,AVL,@MCI,L 1-4,12.5,90,1
38,Robin Olsen,G,1,Aug 27,AVL,@BUR,W 3-1,4.5,90,1
39,Matty Cash,D,2,May 5,AVL,@BHA,L 0-1,4.05,63,0
40,Matty Cash,D,2,Apr 27,AVL,CHE,T 2-2,14.85,90,1
41,Matty Cash,D,2,Apr 21,AVL,BOU,W 3-1,3.1,88,1
42,Matty Cash,D,2,Mar 17,AVL,@WHU,T 1-1,4.75,45,0
43,Matty Cash,D,2,Mar 10,AVL,TOT,L 0-4,5.7,90,1
44,Matty Cash,D,2,Mar 2,AVL,@LUT,W 3-2,7.3,90,1
45,Matty Cash,D,2,Feb 24,AVL,NOT,W 4-2,5.1,90,1
46,Matty Cash,D,2,Feb 17,AVL,@FUL,W 2-1,4.6,90,1
47,Matty Cash,D,2,Feb 11,AVL,MUN,L 1-2,11.05,90,1
48,Matty Cash,D,2,Feb 3,AVL,@SHU,W 5-0,1.55,30,0
49,Matty Cash,D,2,Jan 30,AVL,NEW,L 1-3,5.85,90,1
50,Matty Cash,D,2,Jan 14,AVL,@EVE,T 0-0,3.75,15,0
51,Matty Cash,D,2,Dec 22,AVL,SHU,T 1-1,9.1,90,1
52,Matty Cash,D,2,Dec 17,AVL,@BRF,W 2-1,5.6,64,1
53,Matty Cash,D,2,Dec 9,AVL,ARS,W 1-0,3.7,23,0
54,Matty Cash,D,2,Dec 3,AVL,@BOU,T 2-2,3.7,15,0
55,Matty Cash,D,2,Nov 26,AVL,@TOT,W 2-1,2.35,45,1
56,Matty Cash,D,2,Nov 12,AVL,FUL,W 3-1,8.2,90,1
