,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Bart Verbruggen,G,1,May 15,BHA,CHE,L 1-2,8.0,90,1
1,Bart Verbruggen,G,1,May 11,BHA,@NEW,T 1-1,15.0,90,1
2,Bart Verbruggen,G,1,May 5,BHA,AVL,W 1-0,16.0,90,1
3,Bart Verbruggen,G,1,Apr 28,BHA,@BOU,L 0-3,7.0,90,1
4,Bart Verbruggen,G,1,Apr 13,BHA,@BUR,T 1-1,6.0,90,1
5,Bart Verbruggen,G,1,Apr 6,BHA,ARS,L 0-3,9.0,90,1
6,Bart Verbruggen,G,1,Apr 3,BHA,@BRF,T 0-0,15.0,90,1
7,Bart Verbruggen,G,1,Mar 31,BHA,@LIV,L 1-2,13.0,90,1
8,Bart Verbruggen,G,1,Mar 10,BHA,NOT,W 1-0,19.5,90,1
9,Bart Verbruggen,G,1,Feb 24,BHA,EVE,T 1-1,5.0,90,1
10,Bart Verbruggen,G,1,Feb 18,BHA,@SHU,W 5-0,11.5,90,1
11,Bart Verbruggen,G,1,Feb 3,BHA,CRY,W 4-1,9.0,90,1
12,Bart Verbruggen,G,1,Dec 21,BHA,@CRY,T 1-1,6.0,90,1
13,Bart Verbruggen,G,1,Dec 17,BHA,@ARS,L 0-2,12.0,90,1
14,Bart Verbruggen,G,1,Dec 9,BHA,BUR,T 1-1,7.5,90,1
15,Bart Verbruggen,G,1,Nov 25,BHA,@NOT,W 3-2,5.0,90,1
16,Bart Verbruggen,G,1,Nov 4,BHA,@EVE,T 1-1,7.5,90,1
17,Bart Verbruggen,G,1,Oct 8,BHA,LIV,T 2-2,5.5,90,1
18,Bart Verbruggen,G,1,Sep 24,BHA,BOU,W 3-1,6.0,90,1
19,Bart Verbruggen,G,1,Sep 2,BHA,NEW,W 3-1,7.5,90,1
20,Bart Verbruggen,G,1,Aug 26,BHA,WHU,L 1-3,8.5,90,1
21,Jason Steele,G,1,May 19,BHA,MUN,L 0-2,5.5,90,1
22,Jason Steele,G,1,Apr 25,BHA,MCI,L 0-4,5.0,90,1
23,Jason Steele,G,1,Mar 2,BHA,@FUL,L 0-3,6.0,90,1
24,Jason Steele,G,1,Feb 10,BHA,@TOT,L 1-2,9.0,90,1
25,Jason Steele,G,1,Jan 30,BHA,@LUT,L 0-4,7.5,90,1
26,Jason Steele,G,1,Jan 22,BHA,WOL,T 0-0,17.0,90,1
27,Jason Steele,G,1,Jan 2,BHA,@WHU,T 0-0,15.0,90,1
28,Jason Steele,G,1,Dec 28,BHA,TOT,W 4-2,4.5,90,1
29,Jason Steele,G,1,Dec 6,BHA,BRF,W 2-1,3.5,90,1
30,Jason Steele,G,1,Dec 3,BHA,@CHE,L 2-3,5.0,90,1
31,Jason Steele,G,1,Nov 12,BHA,SHU,T 1-1,4.5,90,1
32,Jason Steele,G,1,Oct 29,BHA,FUL,T 1-1,9.0,90,1
33,Jason Steele,G,1,Oct 21,BHA,@MCI,L 1-2,7.5,90,1
34,Jason Steele,G,1,Sep 30,BHA,@AVL,L 1-6,6.5,90,1
35,Jason Steele,G,1,Sep 16,BHA,@MUN,W 3-1,7.5,90,1
36,Jason Steele,G,1,Aug 19,BHA,@WOL,W 4-1,11.0,90,1
37,Jason Steele,G,1,Aug 12,BHA,LUT,W 4-1,6.0,90,1
38,Tariq Lamptey,D,2,May 19,BHA,MUN,L 0-2,1.0,8,0
39,Tariq Lamptey,D,2,May 15,BHA,CHE,L 1-2,8.35,84,1
40,Tariq Lamptey,D,2,May 11,BHA,@NEW,T 1-1,7.35,49,0
41,Tariq Lamptey,D,2,Apr 6,BHA,ARS,L 0-3,7.1,90,1
42,Tariq Lamptey,D,2,Apr 3,BHA,@BRF,T 0-0,2.0,15,0
43,Tariq Lamptey,D,2,Mar 31,BHA,@LIV,L 1-2,3.5,69,1
44,Tariq Lamptey,D,2,Mar 10,BHA,NOT,W 1-0,1.35,29,0
45,Tariq Lamptey,D,2,Mar 2,BHA,@FUL,L 0-3,3.25,45,1
46,Tariq Lamptey,D,2,Feb 24,BHA,EVE,T 1-1,14.5,60,1
47,Tariq Lamptey,D,2,Feb 18,BHA,@SHU,W 5-0,1.25,45,1
48,Tariq Lamptey,D,2,Feb 10,BHA,@TOT,L 1-2,7.85,88,1
49,Tariq Lamptey,D,2,Feb 3,BHA,CRY,W 4-1,13.75,79,1
50,Tariq Lamptey,D,2,Jan 30,BHA,@LUT,L 0-4,2.0,45,0
51,Tariq Lamptey,D,2,Jan 22,BHA,WOL,T 0-0,1.25,24,0
52,Tariq Lamptey,D,2,Nov 25,BHA,@NOT,W 3-2,1.5,33,1
