,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Neto,G,1,May 19,BOU,@CHE,L 1-2,8.5,90,1
1,Neto,G,1,Apr 21,BOU,@AVL,L 1-3,7.0,90,1
2,Neto,G,1,Apr 13,BOU,MUN,T 2-2,1.0,90,1
3,Neto,G,1,Apr 6,BOU,@LUT,L 1-2,15.0,90,1
4,Neto,G,1,Apr 2,BOU,CRY,W 1-0,15.0,90,1
5,Neto,G,1,Mar 30,BOU,EVE,W 2-1,7.5,90,1
6,Neto,G,1,Mar 13,BOU,LUT,W 4-3,5.5,90,1
7,Neto,G,1,Mar 9,BOU,SHU,T 2-2,14.0,90,1
8,Neto,G,1,Mar 3,BOU,@BUR,W 2-0,20.0,90,1
9,Neto,G,1,Feb 24,BOU,MCI,L 0-1,13.0,90,1
10,Neto,G,1,Feb 17,BOU,@NEW,T 2-2,9.0,90,1
11,Neto,G,1,Feb 10,BOU,@FUL,L 1-3,8.5,90,1
12,Neto,G,1,Feb 4,BOU,NOT,T 1-1,8.5,90,1
13,Neto,G,1,Feb 1,BOU,@WHU,T 1-1,6.0,90,1
14,Neto,G,1,Jan 21,BOU,LIV,L 0-4,6.0,90,1
15,Neto,G,1,Dec 31,BOU,@TOT,L 1-3,8.0,90,1
16,Neto,G,1,Dec 26,BOU,FUL,W 3-0,16.5,90,1
17,Neto,G,1,Dec 23,BOU,@NOT,W 3-2,7.5,90,1
18,Neto,G,1,Dec 9,BOU,@MUN,W 3-0,18.0,90,1
19,Neto,G,1,Dec 6,BOU,@CRY,W 2-0,16.5,90,1
20,Neto,G,1,Dec 3,BOU,AVL,T 2-2,5.5,90,1
21,Neto,G,1,Nov 25,BOU,@SHU,W 3-1,4.5,90,1
22,Neto,G,1,Nov 11,BOU,NEW,W 2-0,20.0,90,1
23,Neto,G,1,Oct 21,BOU,WOL,L 1-2,11.5,90,1
24,Neto,G,1,Oct 7,BOU,@EVE,L 0-3,10.0,90,1
25,Neto,G,1,Sep 30,BOU,ARS,L 0-4,8.5,90,1
26,Neto,G,1,Sep 24,BOU,@BHA,L 1-3,5.5,90,1
27,Neto,G,1,Sep 17,BOU,CHE,T 0-0,21.5,90,1
28,Neto,G,1,Sep 2,BOU,@BRF,T 2-2,9.5,90,1
29,Neto,G,1,Aug 26,BOU,TOT,L 0-2,8.5,90,1
30,Neto,G,1,Aug 19,BOU,@LIV,L 1-3,18.5,90,1
