,player,position,position_id,date,team,opp,score,fpts,min,starts
0,James Trafford,G,1,Mar 10,BUR,@WHU,T 2-2,6.0,90,1
1,James Trafford,G,1,Mar 3,BUR,BOU,L 0-2,4.0,90,1
2,James Trafford,G,1,Feb 24,BUR,@CRY,L 0-3,7.0,90,1
3,James Trafford,G,1,Feb 17,BUR,ARS,L 0-5,4.0,90,1
4,James Trafford,G,1,Feb 10,BUR,@LIV,L 1-3,13.5,90,1
5,James Trafford,G,1,Feb 3,BUR,FUL,T 2-2,13.0,90,1
6,James Trafford,G,1,Jan 31,BUR,@MCI,L 1-3,4.0,90,1
7,James Trafford,G,1,Jan 12,BUR,LUT,T 1-1,11.0,90,1
8,James Trafford,G,1,Dec 30,BUR,@AVL,L 2-3,9.5,90,1
9,James Trafford,G,1,Dec 26,BUR,LIV,L 0-2,15.5,90,1
10,James Trafford,G,1,Dec 23,BUR,@FUL,W 2-0,21.5,90,1
11,James Trafford,G,1,Dec 16,BUR,EVE,L 0-2,11.0,90,1
12,James Trafford,G,1,Dec 9,BUR,@BHA,T 1-1,18.5,90,1
13,James Trafford,G,1,Dec 5,BUR,@WOL,L 0-1,8.0,90,1
14,James Trafford,G,1,Dec 2,BUR,SHU,W 5-0,17.0,90,1
15,James Trafford,G,1,Nov 25,BUR,WHU,L 1-2,8.0,90,1
16,James Trafford,G,1,Nov 11,BUR,@ARS,L 1-3,8.5,90,1
17,James Trafford,G,1,Nov 4,BUR,CRY,L 0-2,4.0,90,1
18,James Trafford,G,1,Oct 28,BUR,@BOU,L 1-2,13.5,90,1
19,James Trafford,G,1,Oct 21,BUR,@BRF,L 0-3,14.5,90,1
20,James Trafford,G,1,Oct 7,BUR,CHE,L 1-4,4.5,90,1
21,James Trafford,G,1,Oct 3,BUR,@LUT,W 2-1,5.0,90,1
22,James Trafford,G,1,Sep 30,BUR,@NEW,L 0-2,11.5,90,1
23,James Trafford,G,1,Sep 23,BUR,MUN,L 0-1,8.5,90,1
24,James Trafford,G,1,Sep 18,BUR,@NOT,T 1-1,6.5,90,1
25,James Trafford,G,1,Sep 2,BUR,TOT,L 2-5,10.5,90,1
26,James Trafford,G,1,Aug 27,BUR,AVL,L 1-3,9.0,90,1
27,James Trafford,G,1,Aug 11,BUR,MCI,L 0-3,10.0,90,1
28,Arijanet Muric,G,1,May 19,BUR,NOT,L 1-2,10.0,90,1
29,Arijanet Muric,G,1,May 11,BUR,@TOT,L 1-2,15.0,90,1
30,Arijanet Muric,G,1,May 4,BUR,NEW,L 1-4,21.0,90,1
31,Arijanet Muric,G,1,Apr 27,BUR,@MUN,T 1-1,19.0,90,1
32,Arijanet Muric,G,1,Apr 20,BUR,@SHU,W 4-1,18.5,90,1
33,Arijanet Muric,G,1,Apr 13,BUR,BHA,T 1-1,17.5,90,1
34,Arijanet Muric,G,1,Apr 6,BUR,@EVE,L 0-1,6.5,90,1
35,Arijanet Muric,G,1,Apr 2,BUR,WOL,T 1-1,5.0,90,1
36,Arijanet Muric,G,1,Mar 30,BUR,@CHE,T 2-2,21.0,90,1
37,Arijanet Muric,G,1,Mar 16,BUR,BRF,W 2-1,13.5,90,1
38,Connor Roberts,D,2,Jan 31,BUR,@MCI,L 1-3,-1.0,30,0
39,Connor Roberts,D,2,Jan 12,BUR,LUT,T 1-1,2.6,15,0
40,Connor Roberts,D,2,Dec 30,BUR,@AVL,L 2-3,1.25,15,0
41,Connor Roberts,D,2,Dec 23,BUR,@FUL,W 2-0,1.0,9,0
42,Connor Roberts,D,2,Dec 9,BUR,@BHA,T 1-1,3.1,10,0
43,Connor Roberts,D,2,Oct 21,BUR,@BRF,L 0-3,2.7,77,1
44,Connor Roberts,D,2,Oct 7,BUR,CHE,L 1-4,5.25,28,0
45,Connor Roberts,D,2,Oct 3,BUR,@LUT,W 2-1,12.6,90,1
46,Connor Roberts,D,2,Sep 30,BUR,@NEW,L 0-2,3.85,87,1
47,Connor Roberts,D,2,Sep 23,BUR,MUN,L 0-1,4.8,90,1
48,Connor Roberts,D,2,Sep 18,BUR,@NOT,T 1-1,3.95,90,1
49,Connor Roberts,D,2,Sep 2,BUR,TOT,L 2-5,4.25,90,1
50,Connor Roberts,D,2,Aug 27,BUR,AVL,L 1-3,6.35,90,1
51,Connor Roberts,D,2,Aug 11,BUR,MCI,L 0-3,4.1,90,1
52,Hjalmar Ekdal,D,2,May 4,BUR,NEW,L 1-4,3.55,45,0
53,Hjalmar Ekdal,D,2,Apr 13,BUR,BHA,T 1-1,18.85,66,1
54,Hjalmar Ekdal,D,2,Feb 3,BUR,FUL,T 2-2,1.45,45,1
55,Hjalmar Ekdal,D,2,Jan 31,BUR,@MCI,L 1-3,4.4,85,1
56,Hjalmar Ekdal,D,2,Jan 12,BUR,LUT,T 1-1,5.75,88,1
57,Hjalmar Ekdal,D,2,Dec 9,BUR,@BHA,T 1-1,1.4,7,0
58,Hjalmar Ekdal,D,2,Dec 5,BUR,@WOL,L 0-1,5.45,88,1
59,Hjalmar Ekdal,D,2,Dec 2,BUR,SHU,W 5-0,1.5,6,0
60,Maxime Esteve,D,2,May 19,BUR,NOT,L 1-2,6.65,90,1
61,Maxime Esteve,D,2,May 11,BUR,@TOT,L 1-2,7.7,90,1
62,Maxime Esteve,D,2,May 4,BUR,NEW,L 1-4,1.2,45,1
63,Maxime Esteve,D,2,Apr 27,BUR,@MUN,T 1-1,5.75,90,1
64,Maxime Esteve,D,2,Apr 20,BUR,@SHU,W 4-1,7.6,90,1
65,Maxime Esteve,D,2,Apr 13,BUR,BHA,T 1-1,6.6,90,1
66,Maxime Esteve,D,2,Apr 6,BUR,@EVE,L 0-1,7.65,90,1
67,Maxime Esteve,D,2,Apr 2,BUR,WOL,T 1-1,7.95,90,1
68,Maxime Esteve,D,2,Mar 30,BUR,@CHE,T 2-2,5.8,90,1
69,Maxime Esteve,D,2,Mar 16,BUR,BRF,W 2-1,7.2,90,1
70,Maxime Esteve,D,2,Mar 10,BUR,@WHU,T 2-2,7.55,90,1
71,Maxime Esteve,D,2,Mar 3,BUR,BOU,L 0-2,9.2,90,1
72,Maxime Esteve,D,2,Feb 24,BUR,@CRY,L 0-3,1.95,90,1
73,Maxime Esteve,D,2,Feb 17,BUR,ARS,L 0-5,4.3,61,1
74,Maxime Esteve,D,2,Feb 10,BUR,@LIV,L 1-3,6.2,79,1
75,Maxime Esteve,D,2,Feb 3,BUR,FUL,T 2-2,5.45,45,0
76,Jordan Beyer,D,2,Dec 30,BUR,@AVL,L 2-3,1.0,16,1
77,Jordan Beyer,D,2,Dec 26,BUR,LIV,L 0-2,11.15,90,1
78,Jordan Beyer,D,2,Dec 23,BUR,@FUL,W 2-0,15.9,90,1
79,Jordan Beyer,D,2,Dec 16,BUR,EVE,L 0-2,6.9,90,1
80,Jordan Beyer,D,2,Dec 9,BUR,@BHA,T 1-1,9.4,90,1
81,Jordan Beyer,D,2,Dec 2,BUR,SHU,W 5-0,20.5,90,1
82,Jordan Beyer,D,2,Nov 25,BUR,WHU,L 1-2,3.0,90,1
83,Jordan Beyer,D,2,Nov 11,BUR,@ARS,L 1-3,9.05,90,1
84,Jordan Beyer,D,2,Nov 4,BUR,CRY,L 0-2,4.55,85,1
85,Jordan Beyer,D,2,Oct 3,BUR,@LUT,W 2-1,10.05,90,1
86,Jordan Beyer,D,2,Sep 30,BUR,@NEW,L 0-2,7.55,90,1
87,Jordan Beyer,D,2,Sep 23,BUR,MUN,L 0-1,5.45,90,1
88,Jordan Beyer,D,2,Sep 18,BUR,@NOT,T 1-1,4.15,86,1
89,Jordan Beyer,D,2,Sep 2,BUR,TOT,L 2-5,7.75,73,1
90,Jordan Beyer,D,2,Aug 11,BUR,MCI,L 0-3,11.15,73,1
91,Ameen Al Dakhil,D,2,Jan 31,BUR,@MCI,L 1-3,14.9,90,1
92,Ameen Al Dakhil,D,2,Jan 12,BUR,LUT,T 1-1,11.95,90,1
93,Ameen Al Dakhil,D,2,Dec 16,BUR,EVE,L 0-2,1.25,19,0
94,Ameen Al Dakhil,D,2,Oct 28,BUR,@BOU,L 1-2,4.3,90,1
95,Ameen Al Dakhil,D,2,Oct 21,BUR,@BRF,L 0-3,4.05,90,1
96,Ameen Al Dakhil,D,2,Oct 7,BUR,CHE,L 1-4,-0.5,45,1
97,Ameen Al Dakhil,D,2,Oct 3,BUR,@LUT,W 2-1,4.5,90,1
98,Ameen Al Dakhil,D,2,Sep 30,BUR,@NEW,L 0-2,5.8,90,1
99,Ameen Al Dakhil,D,2,Sep 23,BUR,MUN,L 0-1,9.3,90,1
100,Ameen Al Dakhil,D,2,Sep 18,BUR,@NOT,T 1-1,4.85,90,1
101,Ameen Al Dakhil,D,2,Sep 2,BUR,TOT,L 2-5,6.35,90,1
102,Ameen Al Dakhil,D,2,Aug 27,BUR,AVL,L 1-3,5.0,90,1
103,Ameen Al Dakhil,D,2,Aug 11,BUR,MCI,L 0-3,6.15,90,1
104,Dara O'Shea,D,2,May 19,BUR,NOT,L 1-2,9.6,90,1
105,Dara O'Shea,D,2,May 11,BUR,@TOT,L 1-2,9.35,90,1
106,Dara O'Shea,D,2,May 4,BUR,NEW,L 1-4,19.6,90,1
107,Dara O'Shea,D,2,Apr 27,BUR,@MUN,T 1-1,11.0,90,1
108,Dara O'Shea,D,2,Apr 20,BUR,@SHU,W 4-1,5.35,90,1
109,Dara O'Shea,D,2,Apr 6,BUR,@EVE,L 0-1,0.35,66,1
110,Dara O'Shea,D,2,Apr 2,BUR,WOL,T 1-1,13.95,90,1
111,Dara O'Shea,D,2,Mar 30,BUR,@CHE,T 2-2,20.15,90,1
112,Dara O'Shea,D,2,Mar 16,BUR,BRF,W 2-1,8.85,90,1
113,Dara O'Shea,D,2,Mar 10,BUR,@WHU,T 2-2,7.45,90,1
114,Dara O'Shea,D,2,Mar 3,BUR,BOU,L 0-2,3.65,88,1
115,Dara O'Shea,D,2,Feb 24,BUR,@CRY,L 0-3,4.15,90,1
116,Dara O'Shea,D,2,Feb 17,BUR,ARS,L 0-5,4.85,90,1
117,Dara O'Shea,D,2,Feb 10,BUR,@LIV,L 1-3,16.35,90,1
118,Dara O'Shea,D,2,Feb 3,BUR,FUL,T 2-2,7.4,90,1
119,Dara O'Shea,D,2,Jan 31,BUR,@MCI,L 1-3,6.4,90,1
120,Dara O'Shea,D,2,Jan 12,BUR,LUT,T 1-1,8.45,90,1
121,Dara O'Shea,D,2,Dec 30,BUR,@AVL,L 2-3,10.15,90,1
122,Dara O'Shea,D,2,Dec 26,BUR,LIV,L 0-2,6.45,90,1
123,Dara O'Shea,D,2,Dec 23,BUR,@FUL,W 2-0,14.2,90,1
124,Dara O'Shea,D,2,Dec 16,BUR,EVE,L 0-2,6.3,90,1
125,Dara O'Shea,D,2,Dec 9,BUR,@BHA,T 1-1,8.15,90,1
126,Dara O'Shea,D,2,Dec 5,BUR,@WOL,L 0-1,7.4,90,1
127,Dara O'Shea,D,2,Dec 2,BUR,SHU,W 5-0,18.8,82,1
128,Dara O'Shea,D,2,Nov 25,BUR,WHU,L 1-2,6.85,90,1
129,Dara O'Shea,D,2,Nov 11,BUR,@ARS,L 1-3,4.65,90,1
130,Dara O'Shea,D,2,Nov 4,BUR,CRY,L 0-2,9.95,90,1
131,Dara O'Shea,D,2,Oct 28,BUR,@BOU,L 1-2,15.75,90,1
132,Dara O'Shea,D,2,Oct 21,BUR,@BRF,L 0-3,9.45,90,1
133,Dara O'Shea,D,2,Oct 7,BUR,CHE,L 1-4,2.6,45,0
134,Dara O'Shea,D,2,Sep 2,BUR,TOT,L 2-5,9.45,90,1
135,Dara O'Shea,D,2,Aug 27,BUR,AVL,L 1-3,10.65,90,1
136,Dara O'Shea,D,2,Aug 11,BUR,MCI,L 0-3,6.6,90,1
137,Lorenz Assignon,D,2,May 19,BUR,NOT,L 1-2,2.8,45,1
138,Lorenz Assignon,D,2,May 11,BUR,@TOT,L 1-2,5.8,90,1
139,Lorenz Assignon,D,2,May 4,BUR,NEW,L 1-4,13.35,90,1
140,Lorenz Assignon,D,2,Apr 27,BUR,@MUN,T 1-1,9.85,90,1
141,Lorenz Assignon,D,2,Apr 20,BUR,@SHU,W 4-1,27.25,90,1
142,Lorenz Assignon,D,2,Apr 13,BUR,BHA,T 1-1,9.3,90,1
143,Lorenz Assignon,D,2,Apr 6,BUR,@EVE,L 0-1,6.0,83,1
144,Lorenz Assignon,D,2,Mar 30,BUR,@CHE,T 2-2,0.1,39,1
145,Lorenz Assignon,D,2,Mar 16,BUR,BRF,W 2-1,11.85,90,1
146,Lorenz Assignon,D,2,Mar 10,BUR,@WHU,T 2-2,6.6,90,1
147,Lorenz Assignon,D,2,Mar 3,BUR,BOU,L 0-2,8.85,90,1
148,Lorenz Assignon,D,2,Feb 24,BUR,@CRY,L 0-3,6.95,90,1
149,Lorenz Assignon,D,2,Feb 17,BUR,ARS,L 0-5,2.55,78,1
150,Lorenz Assignon,D,2,Feb 10,BUR,@LIV,L 1-3,10.05,90,1
151,Lorenz Assignon,D,2,Feb 3,BUR,FUL,T 2-2,14.05,88,1
152,Vitinho,D,2,May 19,BUR,NOT,L 1-2,10.0,45,0
153,Vitinho,D,2,May 11,BUR,@TOT,L 1-2,6.45,71,1
154,Vitinho,D,2,May 4,BUR,NEW,L 1-4,5.95,90,1
155,Vitinho,D,2,Apr 27,BUR,@MUN,T 1-1,4.95,90,1
156,Vitinho,D,2,Apr 20,BUR,@SHU,W 4-1,13.55,69,1
