,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Robert Sanchez,G,1,Dec 10,CHE,@EVE,L 0-2,8.5,83,1
1,Robert Sanchez,G,1,Dec 6,CHE,@MUN,L 1-2,18.0,90,1
2,Robert Sanchez,G,1,Dec 3,CHE,BHA,W 3-2,11.0,90,1
3,Robert Sanchez,G,1,Nov 25,CHE,@NEW,L 1-4,3.0,90,1
4,Robert Sanchez,G,1,Nov 12,CHE,MCI,T 4-4,11.0,90,1
5,Robert Sanchez,G,1,Nov 6,CHE,@TOT,W 4-1,9.0,90,1
6,Robert Sanchez,G,1,Oct 28,CHE,BRF,L 0-2,7.5,90,1
7,Robert Sanchez,G,1,Oct 21,CHE,ARS,T 2-2,5.0,90,1
8,Robert Sanchez,G,1,Oct 7,CHE,@BUR,W 4-1,6.0,90,1
9,Robert Sanchez,G,1,Oct 2,CHE,@FUL,W 2-0,15.5,90,1
10,Robert Sanchez,G,1,Sep 24,CHE,AVL,L 0-1,13.5,90,1
11,Robert Sanchez,G,1,Sep 17,CHE,@BOU,T 0-0,19.0,90,1
12,Robert Sanchez,G,1,Sep 2,CHE,NOT,L 0-1,7.5,90,1
13,Robert Sanchez,G,1,Aug 25,CHE,LUT,W 3-0,14.0,90,1
14,Robert Sanchez,G,1,Aug 20,CHE,@WHU,L 1-3,6.5,90,1
15,Robert Sanchez,G,1,Aug 13,CHE,LIV,T 1-1,3.5,90,1
16,Djordje Petrovic,G,1,May 19,CHE,BOU,W 2-1,10.5,90,1
17,Djordje Petrovic,G,1,May 15,CHE,@BHA,W 2-1,6.0,90,1
18,Djordje Petrovic,G,1,May 11,CHE,@NOT,W 3-2,7.0,90,1
19,Djordje Petrovic,G,1,May 5,CHE,WHU,W 5-0,17.0,90,1
20,Djordje Petrovic,G,1,May 2,CHE,TOT,W 2-0,19.0,90,1
21,Djordje Petrovic,G,1,Apr 27,CHE,@AVL,T 2-2,7.5,90,1
22,Djordje Petrovic,G,1,Apr 23,CHE,@ARS,L 0-5,10.0,90,1
23,Djordje Petrovic,G,1,Apr 15,CHE,EVE,W 6-0,16.5,90,1
24,Djordje Petrovic,G,1,Apr 7,CHE,@SHU,T 2-2,8.5,90,1
25,Djordje Petrovic,G,1,Apr 4,CHE,MUN,W 4-3,5.0,90,1
26,Djordje Petrovic,G,1,Mar 30,CHE,BUR,T 2-2,8.5,90,1
27,Djordje Petrovic,G,1,Mar 11,CHE,NEW,W 3-2,2.0,90,1
28,Djordje Petrovic,G,1,Mar 2,CHE,@BRF,T 2-2,7.0,90,1
29,Djordje Petrovic,G,1,Feb 17,CHE,@MCI,T 1-1,8.0,90,1
30,Djordje Petrovic,G,1,Feb 12,CHE,@CRY,W 3-1,8.0,90,1
31,Djordje Petrovic,G,1,Feb 4,CHE,WOL,L 2-4,8.0,90,1
32,Djordje Petrovic,G,1,Jan 31,CHE,@LIV,L 1-4,15.5,90,1
33,Djordje Petrovic,G,1,Jan 13,CHE,FUL,W 1-0,19.0,90,1
34,Djordje Petrovic,G,1,Dec 30,CHE,@LUT,W 3-2,9.0,90,1
35,Djordje Petrovic,G,1,Dec 27,CHE,CRY,W 2-1,9.5,90,1
36,Djordje Petrovic,G,1,Dec 24,CHE,@WOL,L 1-2,9.0,90,1
37,Djordje Petrovic,G,1,Dec 16,CHE,SHU,W 2-0,13.5,90,1
38,Djordje Petrovic,G,1,Dec 10,CHE,@EVE,L 0-2,2.5,5,0
39,Reece James,D,2,May 15,CHE,@BHA,W 2-1,-3.75,18,0
40,Reece James,D,2,May 11,CHE,@NOT,W 3-2,9.25,10,0
41,Reece James,D,2,Dec 10,CHE,@EVE,L 0-2,1.75,26,1
42,Reece James,D,2,Dec 6,CHE,@MUN,L 1-2,12.2,45,0
43,Reece James,D,2,Nov 25,CHE,@NEW,L 1-4,7.6,72,1
44,Reece James,D,2,Nov 12,CHE,MCI,T 4-4,13.6,63,1
45,Reece James,D,2,Nov 6,CHE,@TOT,W 4-1,11.95,76,1
46,Reece James,D,2,Oct 28,CHE,BRF,L 0-2,3.75,22,0
47,Reece James,D,2,Oct 21,CHE,ARS,T 2-2,1.35,5,0
48,Reece James,D,2,Aug 13,CHE,LIV,T 1-1,8.0,75,1
49,Malo Gusto,D,2,May 19,CHE,BOU,W 2-1,0.5,25,0
50,Malo Gusto,D,2,May 15,CHE,@BHA,W 2-1,23.05,68,1
51,Malo Gusto,D,2,May 11,CHE,@NOT,W 3-2,2.25,31,0
52,Malo Gusto,D,2,May 5,CHE,WHU,W 5-0,3.6,6,0
53,Malo Gusto,D,2,Apr 15,CHE,EVE,W 6-0,13.25,87,1
54,Malo Gusto,D,2,Apr 4,CHE,MUN,W 4-3,6.0,74,1
55,Malo Gusto,D,2,Mar 30,CHE,BUR,T 2-2,17.25,86,1
56,Malo Gusto,D,2,Mar 11,CHE,NEW,W 3-2,10.4,90,1
57,Malo Gusto,D,2,Mar 2,CHE,@BRF,T 2-2,18.25,90,1
58,Malo Gusto,D,2,Feb 17,CHE,@MCI,T 1-1,12.5,90,1
59,Malo Gusto,D,2,Feb 12,CHE,@CRY,W 3-1,19.6,83,1
60,Malo Gusto,D,2,Feb 4,CHE,WOL,L 2-4,3.1,80,1
61,Malo Gusto,D,2,Jan 31,CHE,@LIV,L 1-4,7.25,45,0
62,Malo Gusto,D,2,Jan 13,CHE,FUL,W 1-0,12.7,88,1
63,Malo Gusto,D,2,Dec 30,CHE,@LUT,W 3-2,4.2,90,1
64,Malo Gusto,D,2,Dec 27,CHE,CRY,W 2-1,20.8,90,1
65,Malo Gusto,D,2,Dec 24,CHE,@WOL,L 1-2,5.2,79,1
66,Malo Gusto,D,2,Dec 16,CHE,SHU,W 2-0,0.75,1,0
67,Malo Gusto,D,2,Nov 12,CHE,MCI,T 4-4,1.35,25,0
68,Malo Gusto,D,2,Nov 6,CHE,@TOT,W 4-1,-0.9,12,0
69,Malo Gusto,D,2,Oct 21,CHE,ARS,T 2-2,6.45,90,1
70,Malo Gusto,D,2,Sep 24,CHE,AVL,L 0-1,0.0,57,1
71,Malo Gusto,D,2,Sep 17,CHE,@BOU,T 0-0,17.45,90,1
72,Malo Gusto,D,2,Sep 2,CHE,NOT,L 0-1,8.0,76,1
73,Malo Gusto,D,2,Aug 25,CHE,LUT,W 3-0,29.5,90,1
74,Malo Gusto,D,2,Aug 20,CHE,@WHU,L 1-3,8.95,82,1
75,Malo Gusto,D,2,Aug 13,CHE,LIV,T 1-1,1.25,13,0
76,Alfie Gilchrist,D,2,May 5,CHE,WHU,W 5-0,0.5,1,0
77,Alfie Gilchrist,D,2,May 2,CHE,TOT,W 2-0,13.25,84,1
78,Alfie Gilchrist,D,2,Apr 23,CHE,@ARS,L 0-5,2.1,77,1
79,Alfie Gilchrist,D,2,Apr 15,CHE,EVE,W 6-0,10.6,1,0
80,Alfie Gilchrist,D,2,Apr 4,CHE,MUN,W 4-3,1.25,14,0
81,Alfie Gilchrist,D,2,Mar 30,CHE,BUR,T 2-2,1.0,2,0
82,Alfie Gilchrist,D,2,Feb 12,CHE,@CRY,W 3-1,2.0,5,0
83,Alfie Gilchrist,D,2,Feb 4,CHE,WOL,L 2-4,0.75,8,0
84,Alfie Gilchrist,D,2,Jan 13,CHE,FUL,W 1-0,0.7,1,0
85,Alfie Gilchrist,D,2,Dec 30,CHE,@LUT,W 3-2,0.75,1,0
86,Alfie Gilchrist,D,2,Dec 27,CHE,CRY,W 2-1,1.5,1,0
87,Axel Disasi,D,2,May 5,CHE,WHU,W 5-0,1.0,7,0
88,Axel Disasi,D,2,Apr 27,CHE,@AVL,T 2-2,0.5,1,0
89,Axel Disasi,D,2,Apr 23,CHE,@ARS,L 0-5,6.0,90,1
90,Axel Disasi,D,2,Apr 7,CHE,@SHU,T 2-2,4.2,90,1
91,Axel Disasi,D,2,Apr 4,CHE,MUN,W 4-3,7.85,74,1
