,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Dean Henderson,G,1,May 19,CRY,AVL,W 5-0,16.5,90,1
1,Dean Henderson,G,1,May 11,CRY,@WOL,W 3-1,12.0,90,1
2,Dean Henderson,G,1,May 6,CRY,MUN,W 4-0,16.0,90,1
3,Dean Henderson,G,1,Apr 27,CRY,@FUL,T 1-1,6.0,90,1
4,Dean Henderson,G,1,Apr 24,CRY,NEW,W 2-0,15.5,90,1
5,Dean Henderson,G,1,Apr 21,CRY,WHU,W 5-2,2.5,90,1
6,Dean Henderson,G,1,Apr 14,CRY,@LIV,W 1-0,20.5,90,1
7,Dean Henderson,G,1,Apr 6,CRY,MCI,L 2-4,8.5,90,1
8,Dean Henderson,G,1,Apr 2,CRY,@BOU,L 0-1,11.5,90,1
9,Dean Henderson,G,1,Mar 30,CRY,@NOT,T 1-1,12.0,90,1
10,Dean Henderson,G,1,Feb 12,CRY,CHE,L 1-3,5.0,90,1
11,Dean Henderson,G,1,Feb 3,CRY,@BHA,L 1-4,5.0,90,1
12,Dean Henderson,G,1,Jan 30,CRY,SHU,W 3-2,7.5,90,1
13,Dean Henderson,G,1,Jan 20,CRY,@ARS,L 0-5,4.5,90,1
14,Dean Henderson,G,1,Dec 30,CRY,BRF,W 3-1,9.5,90,1
15,Dean Henderson,G,1,Dec 27,CRY,@CHE,L 1-2,4.5,90,1
16,Dean Henderson,G,1,Dec 21,CRY,BHA,T 1-1,10.0,90,1
17,Dean Henderson,G,1,Dec 16,CRY,@MCI,T 2-2,14.0,90,1
18,Sam Johnstone,G,1,May 19,CRY,AVL,W 5-0,16.5,90,1
19,Sam Johnstone,G,1,May 11,CRY,@WOL,W 3-1,12.0,90,1
20,Sam Johnstone,G,1,May 6,CRY,MUN,W 4-0,16.0,90,1
21,Sam Johnstone,G,1,Apr 27,CRY,@FUL,T 1-1,6.0,90,1
22,Sam Johnstone,G,1,Apr 24,CRY,NEW,W 2-0,15.5,90,1
23,Sam Johnstone,G,1,Apr 21,CRY,WHU,W 5-2,2.5,90,1
24,Sam Johnstone,G,1,Apr 14,CRY,@LIV,W 1-0,20.5,90,1
25,Sam Johnstone,G,1,Apr 6,CRY,MCI,L 2-4,8.5,90,1
26,Sam Johnstone,G,1,Apr 2,CRY,@BOU,L 0-1,11.5,90,1
27,Sam Johnstone,G,1,Mar 30,CRY,@NOT,T 1-1,12.0,90,1
28,Sam Johnstone,G,1,Feb 12,CRY,CHE,L 1-3,5.0,90,1
29,Sam Johnstone,G,1,Feb 3,CRY,@BHA,L 1-4,5.0,90,1
30,Sam Johnstone,G,1,Jan 30,CRY,SHU,W 3-2,7.5,90,1
31,Sam Johnstone,G,1,Jan 20,CRY,@ARS,L 0-5,4.5,90,1
32,Sam Johnstone,G,1,Dec 30,CRY,BRF,W 3-1,9.5,90,1
33,Sam Johnstone,G,1,Dec 27,CRY,@CHE,L 1-2,4.5,90,1
34,Sam Johnstone,G,1,Dec 21,CRY,BHA,T 1-1,10.0,90,1
35,Sam Johnstone,G,1,Dec 16,CRY,@MCI,T 2-2,14.0,90,1
36,Remi Matthews,G,1,Dec 9,CRY,LIV,L 1-2,2.5,2,0
37,Nathaniel Clyne,D,2,May 19,CRY,AVL,W 5-0,13.7,90,1
38,Nathaniel Clyne,D,2,May 11,CRY,@WOL,W 3-1,12.2,90,1
39,Nathaniel Clyne,D,2,May 6,CRY,MUN,W 4-0,15.0,77,1
40,Nathaniel Clyne,D,2,Apr 27,CRY,@FUL,T 1-1,9.45,90,1
41,Nathaniel Clyne,D,2,Apr 24,CRY,NEW,W 2-0,14.25,90,1
42,Nathaniel Clyne,D,2,Apr 21,CRY,WHU,W 5-2,8.35,90,1
43,Nathaniel Clyne,D,2,Apr 14,CRY,@LIV,W 1-0,12.8,76,1
44,Nathaniel Clyne,D,2,Apr 6,CRY,MCI,L 2-4,2.0,14,0
45,Nathaniel Clyne,D,2,Mar 30,CRY,@NOT,T 1-1,0.5,1,0
46,Nathaniel Clyne,D,2,Jan 20,CRY,@ARS,L 0-5,6.2,75,1
47,Nathaniel Clyne,D,2,Dec 30,CRY,BRF,W 3-1,8.95,90,1
48,Nathaniel Clyne,D,2,Dec 27,CRY,@CHE,L 1-2,9.5,90,1
49,Nathaniel Clyne,D,2,Dec 21,CRY,BHA,T 1-1,6.2,90,1
50,Nathaniel Clyne,D,2,Dec 16,CRY,@MCI,T 2-2,3.65,88,1
51,Nathaniel Clyne,D,2,Dec 9,CRY,LIV,L 1-2,4.55,90,1
52,Nathaniel Clyne,D,2,Dec 6,CRY,BOU,L 0-2,6.6,60,0
53,Nathaniel Clyne,D,2,Nov 4,CRY,@BUR,W 2-0,1.6,19,0
54,Nathaniel Clyne,D,2,Oct 27,CRY,TOT,L 1-2,1.5,19,0
55,Nathaniel Clyne,D,2,Oct 7,CRY,NOT,T 0-0,13.05,90,1
56,Joel Ward,D,2,May 11,CRY,@WOL,W 3-1,0.85,1,0
57,Joel Ward,D,2,Apr 24,CRY,NEW,W 2-0,0.5,1,0
58,Joel Ward,D,2,Apr 14,CRY,@LIV,W 1-0,1.45,12,0
59,Joel Ward,D,2,Apr 6,CRY,MCI,L 2-4,8.25,90,1
60,Joel Ward,D,2,Apr 2,CRY,@BOU,L 0-1,9.7,90,1
61,Joel Ward,D,2,Mar 30,CRY,@NOT,T 1-1,8.9,90,1
62,Joel Ward,D,2,Mar 9,CRY,LUT,T 1-1,7.45,90,1
63,Joel Ward,D,2,Mar 2,CRY,@TOT,L 1-3,6.05,90,1
64,Joel Ward,D,2,Feb 24,CRY,BUR,W 3-0,13.35,90,1
65,Joel Ward,D,2,Feb 19,CRY,@EVE,T 1-1,6.6,90,1
66,Joel Ward,D,2,Dec 16,CRY,@MCI,T 2-2,2.6,33,1
67,Joel Ward,D,2,Dec 9,CRY,LIV,L 1-2,5.45,90,1
68,Joel Ward,D,2,Dec 6,CRY,BOU,L 0-2,4.55,68,1
69,Joel Ward,D,2,Dec 3,CRY,@WHU,T 1-1,7.55,90,1
70,Joel Ward,D,2,Nov 25,CRY,@LUT,L 1-2,14.95,90,1
71,Joel Ward,D,2,Nov 11,CRY,EVE,L 2-3,9.15,90,1
72,Joel Ward,D,2,Nov 4,CRY,@BUR,W 2-0,13.65,69,1
73,Joel Ward,D,2,Oct 27,CRY,TOT,L 1-2,3.1,90,1
74,Joel Ward,D,2,Oct 21,CRY,@NEW,L 0-4,6.8,90,1
75,Joel Ward,D,2,Sep 30,CRY,@MUN,W 1-0,16.25,90,1
76,Joel Ward,D,2,Sep 23,CRY,FUL,T 0-0,12.1,90,1
77,Joel Ward,D,2,Sep 16,CRY,@AVL,L 1-3,4.45,90,1
78,Joel Ward,D,2,Sep 3,CRY,WOL,W 3-2,4.45,90,1
79,Joel Ward,D,2,Aug 26,CRY,@BRF,T 1-1,8.3,90,1
80,Joel Ward,D,2,Aug 21,CRY,ARS,L 0-1,7.0,82,1
81,Joel Ward,D,2,Aug 12,CRY,@SHU,W 1-0,13.95,90,1
82,James Tomkins,D,2,May 19,CRY,AVL,W 5-0,1.25,2,0
83,James Tomkins,D,2,Feb 24,CRY,BUR,W 3-0,0.5,1,0
84,James Tomkins,D,2,Jan 20,CRY,@ARS,L 0-5,2.25,2,0
85,James Tomkins,D,2,Aug 12,CRY,@SHU,W 1-0,0.5,1,0
86,Marc Guehi,D,2,May 19,CRY,AVL,W 5-0,13.6,75,1
87,Marc Guehi,D,2,May 11,CRY,@WOL,W 3-1,2.7,19,0
88,Marc Guehi,D,2,May 6,CRY,MUN,W 4-0,2.5,11,0
89,Marc Guehi,D,2,Feb 3,CRY,@BHA,L 1-4,2.0,27,1
90,Marc Guehi,D,2,Jan 30,CRY,SHU,W 3-2,9.1,90,1
91,Marc Guehi,D,2,Jan 20,CRY,@ARS,L 0-5,4.2,86,1
92,Marc Guehi,D,2,Dec 30,CRY,BRF,W 3-1,15.1,90,1
93,Marc Guehi,D,2,Dec 27,CRY,@CHE,L 1-2,5.6,90,1
94,Marc Guehi,D,2,Dec 21,CRY,BHA,T 1-1,4.6,90,1
95,Marc Guehi,D,2,Dec 16,CRY,@MCI,T 2-2,7.95,90,1
96,Marc Guehi,D,2,Dec 9,CRY,LIV,L 1-2,6.15,90,1
97,Marc Guehi,D,2,Dec 6,CRY,BOU,L 0-2,4.95,90,1
98,Marc Guehi,D,2,Dec 3,CRY,@WHU,T 1-1,7.8,90,1
99,Marc Guehi,D,2,Nov 25,CRY,@LUT,L 1-2,6.9,90,1
100,Marc Guehi,D,2,Nov 11,CRY,EVE,L 2-3,9.2,90,1
101,Marc Guehi,D,2,Nov 4,CRY,@BUR,W 2-0,12.1,90,1
102,Marc Guehi,D,2,Oct 27,CRY,TOT,L 1-2,8.7,90,1
103,Marc Guehi,D,2,Oct 21,CRY,@NEW,L 0-4,6.5,90,1
104,Marc Guehi,D,2,Oct 7,CRY,NOT,T 0-0,17.65,90,1
105,Marc Guehi,D,2,Sep 30,CRY,@MUN,W 1-0,17.3,90,1
106,Marc Guehi,D,2,Sep 23,CRY,FUL,T 0-0,16.1,90,1
107,Marc Guehi,D,2,Sep 3,CRY,WOL,W 3-2,6.1,90,1
108,Marc Guehi,D,2,Aug 26,CRY,@BRF,T 1-1,7.35,90,1
109,Marc Guehi,D,2,Aug 21,CRY,ARS,L 0-1,6.7,90,1
110,Marc Guehi,D,2,Aug 12,CRY,@SHU,W 1-0,17.95,88,1
111,Joachim Andersen,D,2,May 19,CRY,AVL,W 5-0,12.5,86,1
112,Joachim Andersen,D,2,May 11,CRY,@WOL,W 3-1,9.3,90,1
113,Joachim Andersen,D,2,May 6,CRY,MUN,W 4-0,13.7,90,1
114,Joachim Andersen,D,2,Apr 27,CRY,@FUL,T 1-1,10.55,90,1
115,Joachim Andersen,D,2,Apr 24,CRY,NEW,W 2-0,17.6,90,1
116,Joachim Andersen,D,2,Apr 21,CRY,WHU,W 5-2,17.9,90,1
117,Joachim Andersen,D,2,Apr 14,CRY,@LIV,W 1-0,15.55,90,1
118,Joachim Andersen,D,2,Apr 6,CRY,MCI,L 2-4,8.05,90,1
119,Joachim Andersen,D,2,Apr 2,CRY,@BOU,L 0-1,3.85,90,1
120,Joachim Andersen,D,2,Mar 30,CRY,@NOT,T 1-1,10.25,90,1
121,Joachim Andersen,D,2,Mar 9,CRY,LUT,T 1-1,12.0,90,1
122,Joachim Andersen,D,2,Mar 2,CRY,@TOT,L 1-3,3.9,90,1
123,Joachim Andersen,D,2,Feb 24,CRY,BUR,W 3-0,14.7,88,1
124,Joachim Andersen,D,2,Feb 19,CRY,@EVE,T 1-1,7.8,90,1
125,Joachim Andersen,D,2,Feb 12,CRY,CHE,L 1-3,8.6,90,1
126,Joachim Andersen,D,2,Feb 3,CRY,@BHA,L 1-4,11.2,90,1
127,Joachim Andersen,D,2,Jan 30,CRY,SHU,W 3-2,4.4,90,1
128,Joachim Andersen,D,2,Jan 20,CRY,@ARS,L 0-5,4.9,90,1
129,Joachim Andersen,D,2,Dec 30,CRY,BRF,W 3-1,7.5,90,1
130,Joachim Andersen,D,2,Dec 27,CRY,@CHE,L 1-2,9.05,90,1
131,Joachim Andersen,D,2,Dec 21,CRY,BHA,T 1-1,11.95,90,1
132,Joachim Andersen,D,2,Dec 16,CRY,@MCI,T 2-2,3.05,90,1
133,Joachim Andersen,D,2,Dec 9,CRY,LIV,L 1-2,4.55,90,1
134,Joachim Andersen,D,2,Dec 6,CRY,BOU,L 0-2,7.7,90,1
135,Joachim Andersen,D,2,Dec 3,CRY,@WHU,T 1-1,11.3,90,1
136,Joachim Andersen,D,2,Nov 25,CRY,@LUT,L 1-2,7.55,90,1
137,Joachim Andersen,D,2,Nov 11,CRY,EVE,L 2-3,7.45,90,1
138,Joachim Andersen,D,2,Nov 4,CRY,@BUR,W 2-0,18.3,90,1
139,Joachim Andersen,D,2,Oct 27,CRY,TOT,L 1-2,9.8,90,1
140,Joachim Andersen,D,2,Oct 21,CRY,@NEW,L 0-4,5.4,90,1
141,Joachim Andersen,D,2,Oct 7,CRY,NOT,T 0-0,17.8,90,1
142,Joachim Andersen,D,2,Sep 30,CRY,@MUN,W 1-0,29.25,90,1
143,Joachim Andersen,D,2,Sep 23,CRY,FUL,T 0-0,14.65,90,1
144,Joachim Andersen,D,2,Sep 16,CRY,@AVL,L 1-3,7.1,90,1
145,Joachim Andersen,D,2,Sep 3,CRY,WOL,W 3-2,8.2,90,1
146,Joachim Andersen,D,2,Aug 26,CRY,@BRF,T 1-1,27.2,90,1
147,Joachim Andersen,D,2,Aug 21,CRY,ARS,L 0-1,8.3,90,1
148,Joachim Andersen,D,2,Aug 12,CRY,@SHU,W 1-0,21.85,90,1
149,Daniel Munoz,"D,M",3,May 19,CRY,AVL,W 5-0,24.75,90,1
150,Daniel Munoz,"D,M",3,May 11,CRY,@WOL,W 3-1,9.8,90,1
151,Daniel Munoz,"D,M",3,May 6,CRY,MUN,W 4-0,31.0,90,1
152,Daniel Munoz,"D,M",3,Apr 27,CRY,@FUL,T 1-1,10.6,90,1
153,Daniel Munoz,"D,M",3,Apr 24,CRY,NEW,W 2-0,19.95,88,1
154,Daniel Munoz,"D,M",3,Apr 21,CRY,WHU,W 5-2,13.7,90,1
155,Daniel Munoz,"D,M",3,Apr 14,CRY,@LIV,W 1-0,19.3,90,1
156,Daniel Munoz,"D,M",3,Apr 6,CRY,MCI,L 2-4,8.85,90,1
157,Daniel Munoz,"D,M",3,Apr 2,CRY,@BOU,L 0-1,8.6,90,1
158,Daniel Munoz,"D,M",3,Mar 30,CRY,@NOT,T 1-1,9.75,90,1
159,Daniel Munoz,"D,M",3,Mar 9,CRY,LUT,T 1-1,13.05,90,1
160,Daniel Munoz,"D,M",3,Mar 2,CRY,@TOT,L 1-3,11.7,90,1
161,Daniel Munoz,"D,M",3,Feb 24,CRY,BUR,W 3-0,19.95,90,1
162,Daniel Munoz,"D,M",3,Feb 19,CRY,@EVE,T 1-1,6.9,90,1
163,Daniel Munoz,"D,M",3,Feb 12,CRY,CHE,L 1-3,8.75,90,1
164,Daniel Munoz,"D,M",3,Feb 3,CRY,@BHA,L 1-4,8.5,90,1
165,Chris Richards,"D,M",3,May 19,CRY,AVL,W 5-0,15.85,90,1
166,Chris Richards,"D,M",3,May 11,CRY,@WOL,W 3-1,7.8,90,1
167,Chris Richards,"D,M",3,May 6,CRY,MUN,W 4-0,26.4,90,1
168,Chris Richards,"D,M",3,Apr 27,CRY,@FUL,T 1-1,8.7,90,1
169,Chris Richards,"D,M",3,Apr 24,CRY,NEW,W 2-0,14.35,90,1
170,Chris Richards,"D,M",3,Apr 21,CRY,WHU,W 5-2,5.35,90,1
171,Chris Richards,"D,M",3,Mar 30,CRY,@NOT,T 1-1,7.1,90,1
172,Chris Richards,"D,M",3,Mar 9,CRY,LUT,T 1-1,7.7,90,1
173,Chris Richards,"D,M",3,Mar 2,CRY,@TOT,L 1-3,9.55,90,1
174,Chris Richards,"D,M",3,Feb 24,CRY,BUR,W 3-0,25.1,90,1
