,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Bernd Leno,G,1,May 19,FUL,@LUT,W 4-2,9.5,90,1
1,Bernd Leno,G,1,May 11,FUL,MCI,L 0-4,9.5,90,1
2,Bernd Leno,G,1,May 4,FUL,@BRF,T 0-0,15.0,90,1
3,Bernd Leno,G,1,Apr 27,FUL,CRY,T 1-1,10.0,90,1
4,Bernd Leno,G,1,Apr 21,FUL,LIV,L 1-3,8.0,90,1
5,Bernd Leno,G,1,Apr 14,FUL,@WHU,W 2-0,19.0,90,1
6,Bernd Leno,G,1,Apr 6,FUL,NEW,L 0-1,9.5,90,1
7,Bernd Leno,G,1,Apr 2,FUL,@NOT,L 1-3,3.5,90,1
8,Bernd Leno,G,1,Mar 30,FUL,@SHU,T 3-3,4.0,90,1
9,Bernd Leno,G,1,Mar 16,FUL,TOT,W 3-0,19.5,90,1
10,Bernd Leno,G,1,Mar 9,FUL,@WOL,L 1-2,5.5,90,1
11,Bernd Leno,G,1,Mar 2,FUL,BHA,W 3-0,21.5,90,1
12,Bernd Leno,G,1,Feb 24,FUL,@MUN,W 2-1,13.5,90,1
13,Bernd Leno,G,1,Feb 17,FUL,AVL,L 1-2,4.0,90,1
14,Bernd Leno,G,1,Feb 10,FUL,BOU,W 3-1,9.5,90,1
15,Bernd Leno,G,1,Feb 3,FUL,@BUR,T 2-2,5.5,90,1
16,Bernd Leno,G,1,Jan 30,FUL,EVE,T 0-0,16.0,90,1
17,Bernd Leno,G,1,Jan 13,FUL,@CHE,L 0-1,6.0,90,1
18,Bernd Leno,G,1,Dec 31,FUL,ARS,W 2-1,4.0,90,1
19,Bernd Leno,G,1,Dec 26,FUL,@BOU,L 0-3,4.0,90,1
20,Bernd Leno,G,1,Dec 23,FUL,BUR,L 0-2,4.0,90,1
21,Bernd Leno,G,1,Dec 16,FUL,@NEW,L 0-3,13.0,90,1
22,Bernd Leno,G,1,Dec 10,FUL,WHU,W 5-0,23.0,90,1
23,Bernd Leno,G,1,Dec 6,FUL,NOT,W 5-0,14.0,90,1
24,Bernd Leno,G,1,Dec 3,FUL,@LIV,L 3-4,16.0,90,1
25,Bernd Leno,G,1,Nov 27,FUL,WOL,W 3-2,10.0,90,1
26,Bernd Leno,G,1,Nov 12,FUL,@AVL,L 1-3,8.0,90,1
27,Bernd Leno,G,1,Nov 4,FUL,MUN,L 0-1,9.5,90,1
28,Bernd Leno,G,1,Oct 29,FUL,@BHA,T 1-1,10.5,90,1
29,Bernd Leno,G,1,Oct 23,FUL,@TOT,L 0-2,7.0,90,1
30,Bernd Leno,G,1,Oct 7,FUL,SHU,W 3-1,6.0,90,1
31,Bernd Leno,G,1,Oct 2,FUL,CHE,L 0-2,5.5,90,1
32,Bernd Leno,G,1,Sep 23,FUL,@CRY,T 0-0,17.0,90,1
33,Bernd Leno,G,1,Sep 16,FUL,LUT,W 1-0,16.0,90,1
