,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Matt Turner,G,1,Jan 30,NOT,ARS,L 1-2,6.0,90,1
1,Matt Turner,G,1,Jan 20,NOT,@BRF,L 2-3,7.0,90,1
2,Matt Turner,G,1,Dec 30,NOT,MUN,W 2-1,10.5,90,1
3,Matt Turner,G,1,Dec 26,NOT,@NEW,W 3-1,12.0,90,1
4,Matt Turner,G,1,Dec 23,NOT,BOU,L 2-3,7.0,90,1
5,Matt Turner,G,1,Dec 15,NOT,TOT,L 0-2,8.5,90,1
6,Matt Turner,G,1,Dec 9,NOT,@WOL,T 1-1,7.5,90,1
7,Matt Turner,G,1,Oct 29,NOT,@LIV,L 0-3,9.5,90,1
8,Matt Turner,G,1,Oct 21,NOT,LUT,T 2-2,6.5,90,1
9,Matt Turner,G,1,Oct 7,NOT,@CRY,T 0-0,17.0,90,1
10,Matt Turner,G,1,Oct 1,NOT,BRF,T 1-1,9.0,90,1
11,Matt Turner,G,1,Sep 23,NOT,@MCI,L 0-2,5.5,90,1
12,Matt Turner,G,1,Sep 18,NOT,BUR,T 1-1,6.0,90,1
13,Matt Turner,G,1,Sep 2,NOT,@CHE,W 1-0,13.5,90,1
14,Matt Turner,G,1,Aug 26,NOT,@MUN,L 2-3,12.5,90,1
15,Matt Turner,G,1,Aug 18,NOT,SHU,W 2-1,7.5,90,1
16,Matt Turner,G,1,Aug 12,NOT,@ARS,L 1-2,10.0,90,1
17,Odysseas Vlachodimos,G,1,Dec 6,NOT,@FUL,L 0-5,3.0,90,1
18,Odysseas Vlachodimos,G,1,Dec 2,NOT,EVE,L 0-1,5.0,90,1
19,Odysseas Vlachodimos,G,1,Nov 25,NOT,BHA,L 2-3,5.0,90,1
20,Odysseas Vlachodimos,G,1,Nov 12,NOT,@WHU,L 2-3,9.0,90,1
21,Odysseas Vlachodimos,G,1,Nov 5,NOT,AVL,W 2-0,17.5,90,1
22,Matz Sels,G,1,May 19,NOT,@BUR,W 2-1,9.5,90,1
23,Matz Sels,G,1,May 11,NOT,CHE,L 2-3,6.5,90,1
24,Matz Sels,G,1,May 4,NOT,@SHU,W 3-1,9.0,90,1
25,Matz Sels,G,1,Apr 28,NOT,MCI,L 0-2,7.0,90,1
26,Matz Sels,G,1,Apr 21,NOT,@EVE,L 0-2,7.5,90,1
27,Matz Sels,G,1,Apr 13,NOT,WOL,T 2-2,4.0,90,1
28,Matz Sels,G,1,Apr 7,NOT,@TOT,L 1-3,11.0,90,1
29,Matz Sels,G,1,Apr 2,NOT,FUL,W 3-1,7.0,90,1
30,Matz Sels,G,1,Mar 30,NOT,CRY,T 1-1,6.5,90,1
31,Matz Sels,G,1,Mar 16,NOT,@LUT,T 1-1,7.0,90,1
32,Matz Sels,G,1,Mar 10,NOT,@BHA,L 0-1,8.5,90,1
33,Matz Sels,G,1,Mar 2,NOT,LIV,L 0-1,5.5,90,1
34,Matz Sels,G,1,Feb 24,NOT,@AVL,L 2-4,5.5,90,1
35,Matz Sels,G,1,Feb 17,NOT,WHU,W 2-0,16.5,90,1
36,Matz Sels,G,1,Feb 10,NOT,NEW,L 2-3,5.5,90,1
37,Matz Sels,G,1,Feb 4,NOT,@BOU,T 1-1,4.0,90,1
38,Neco Williams,D,2,Apr 28,NOT,MCI,L 0-2,3.35,34,1
39,Neco Williams,D,2,Apr 21,NOT,@EVE,L 0-2,10.3,90,1
40,Neco Williams,D,2,Apr 13,NOT,WOL,T 2-2,8.25,90,1
41,Neco Williams,D,2,Apr 7,NOT,@TOT,L 1-3,8.95,86,1
42,Neco Williams,D,2,Apr 2,NOT,FUL,W 3-1,6.5,90,1
43,Neco Williams,D,2,Mar 30,NOT,CRY,T 1-1,7.55,90,1
44,Neco Williams,D,2,Mar 16,NOT,@LUT,T 1-1,9.6,90,1
45,Neco Williams,D,2,Mar 10,NOT,@BHA,L 0-1,8.75,90,1
46,Neco Williams,D,2,Mar 2,NOT,LIV,L 0-1,9.9,90,1
47,Neco Williams,D,2,Feb 24,NOT,@AVL,L 2-4,6.25,90,1
48,Neco Williams,D,2,Feb 17,NOT,WHU,W 2-0,15.1,90,1
49,Neco Williams,D,2,Feb 10,NOT,NEW,L 2-3,5.1,90,1
50,Neco Williams,D,2,Feb 4,NOT,@BOU,T 1-1,7.6,77,1
51,Neco Williams,D,2,Jan 30,NOT,ARS,L 1-2,5.95,77,1
52,Neco Williams,D,2,Jan 20,NOT,@BRF,L 2-3,5.0,27,0
53,Neco Williams,D,2,Dec 30,NOT,MUN,W 2-1,2.6,15,0
54,Neco Williams,D,2,Dec 26,NOT,@NEW,W 3-1,1.45,19,0
55,Neco Williams,D,2,Dec 23,NOT,BOU,L 2-3,15.25,90,1
56,Neco Williams,D,2,Dec 15,NOT,TOT,L 0-2,12.3,90,1
57,Neco Williams,D,2,Dec 9,NOT,@WOL,T 1-1,20.45,90,1
58,Neco Williams,D,2,Nov 25,NOT,BHA,L 2-3,3.0,1,0
59,Neco Williams,D,2,Nov 5,NOT,AVL,W 2-0,3.5,3,0
60,Neco Williams,D,2,Oct 29,NOT,@LIV,L 0-3,1.0,6,0
61,Neco Williams,D,2,Oct 21,NOT,LUT,T 2-2,1.25,1,0
62,Neco Williams,D,2,Aug 18,NOT,SHU,W 2-1,12.35,90,1
63,Neco Williams,D,2,Aug 12,NOT,@ARS,L 1-2,3.75,17,0
64,Serge Aurier,D,2,Dec 2,NOT,EVE,L 0-1,13.15,90,1
65,Serge Aurier,D,2,Nov 12,NOT,@WHU,L 2-3,2.45,13,0
66,Serge Aurier,D,2,Nov 5,NOT,AVL,W 2-0,1.85,18,0
67,Serge Aurier,D,2,Oct 29,NOT,@LIV,L 0-3,9.35,90,1
68,Serge Aurier,D,2,Oct 21,NOT,LUT,T 2-2,8.25,87,1
69,Serge Aurier,D,2,Oct 7,NOT,@CRY,T 0-0,5.55,45,1
70,Serge Aurier,D,2,Oct 1,NOT,BRF,T 1-1,7.1,90,1
71,Serge Aurier,D,2,Sep 23,NOT,@MCI,L 0-2,2.6,55,1
72,Serge Aurier,D,2,Sep 2,NOT,@CHE,W 1-0,12.95,71,1
73,Serge Aurier,D,2,Aug 26,NOT,@MUN,L 2-3,8.35,90,1
74,Serge Aurier,D,2,Aug 18,NOT,SHU,W 2-1,20.0,90,1
