,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Wes Foderingham,G,1,May 19,SHU,TOT,L 0-3,14.0,90,1
1,Wes Foderingham,G,1,May 11,SHU,@EVE,L 0-1,13.5,90,1
2,Wes Foderingham,G,1,May 4,SHU,NOT,L 1-3,4.0,90,1
3,Wes Foderingham,G,1,Apr 27,SHU,@NEW,L 1-5,6.0,90,1
4,Wes Foderingham,G,1,Apr 24,SHU,@MUN,L 2-4,16.0,90,1
5,Wes Foderingham,G,1,Feb 18,SHU,BHA,L 0-5,11.5,90,1
6,Wes Foderingham,G,1,Feb 10,SHU,@LUT,W 3-1,9.0,90,1
7,Wes Foderingham,G,1,Feb 3,SHU,AVL,L 0-5,8.0,90,1
8,Wes Foderingham,G,1,Jan 30,SHU,@CRY,L 2-3,2.5,37,0
9,Wes Foderingham,G,1,Jan 21,SHU,WHU,T 2-2,7.0,90,1
10,Wes Foderingham,G,1,Dec 30,SHU,@MCI,L 0-2,6.0,90,1
11,Wes Foderingham,G,1,Dec 26,SHU,LUT,L 2-3,7.0,90,1
12,Wes Foderingham,G,1,Dec 22,SHU,@AVL,T 1-1,8.0,90,1
13,Wes Foderingham,G,1,Dec 16,SHU,@CHE,L 0-2,9.5,90,1
14,Wes Foderingham,G,1,Dec 9,SHU,BRF,W 1-0,16.0,90,1
15,Wes Foderingham,G,1,Dec 6,SHU,LIV,L 0-2,12.0,90,1
16,Wes Foderingham,G,1,Dec 2,SHU,@BUR,L 0-5,4.5,90,1
17,Wes Foderingham,G,1,Nov 25,SHU,BOU,L 1-3,14.0,90,1
18,Wes Foderingham,G,1,Nov 12,SHU,@BHA,T 1-1,11.5,90,1
19,Wes Foderingham,G,1,Nov 4,SHU,WOL,W 2-1,7.5,90,1
20,Wes Foderingham,G,1,Oct 28,SHU,@ARS,L 0-5,7.0,90,1
21,Wes Foderingham,G,1,Oct 21,SHU,MUN,L 1-2,7.5,90,1
22,Wes Foderingham,G,1,Oct 7,SHU,@FUL,L 1-3,8.5,90,1
23,Wes Foderingham,G,1,Sep 30,SHU,@WHU,L 0-2,13.0,90,1
24,Wes Foderingham,G,1,Sep 24,SHU,NEW,L 0-8,10.5,90,1
25,Wes Foderingham,G,1,Sep 16,SHU,@TOT,L 1-2,13.0,90,1
26,Wes Foderingham,G,1,Sep 2,SHU,EVE,T 2-2,8.5,90,1
27,Wes Foderingham,G,1,Aug 27,SHU,MCI,L 1-2,14.0,90,1
28,Wes Foderingham,G,1,Aug 18,SHU,@NOT,L 1-2,6.0,90,1
29,Wes Foderingham,G,1,Aug 12,SHU,CRY,L 0-1,13.5,90,1
30,Ivo Grbic,G,1,Apr 20,SHU,BUR,L 1-4,9.5,90,1
31,Ivo Grbic,G,1,Apr 13,SHU,@BRF,L 0-2,9.0,90,1
32,Ivo Grbic,G,1,Apr 7,SHU,CHE,T 2-2,7.5,90,1
33,Ivo Grbic,G,1,Apr 4,SHU,@LIV,L 1-3,15.5,90,1
34,Ivo Grbic,G,1,Mar 30,SHU,FUL,T 3-3,12.5,90,1
35,Ivo Grbic,G,1,Mar 9,SHU,@BOU,T 2-2,16.0,90,1
36,Ivo Grbic,G,1,Mar 4,SHU,ARS,L 0-6,6.5,90,1
37,Ivo Grbic,G,1,Feb 25,SHU,@WOL,L 0-1,6.0,90,1
38,Ivo Grbic,G,1,Jan 30,SHU,@CRY,L 2-3,3.5,51,1
39,Auston Trusty,D,2,May 19,SHU,TOT,L 0-3,6.45,90,1
40,Auston Trusty,D,2,May 11,SHU,@EVE,L 0-1,7.1,90,1
41,Auston Trusty,D,2,May 4,SHU,NOT,L 1-3,7.05,90,1
42,Auston Trusty,D,2,Apr 27,SHU,@NEW,L 1-5,12.95,90,1
43,Auston Trusty,D,2,Apr 24,SHU,@MUN,L 2-4,7.5,90,1
44,Auston Trusty,D,2,Apr 20,SHU,BUR,L 1-4,5.25,90,1
45,Auston Trusty,D,2,Apr 13,SHU,@BRF,L 0-2,6.7,90,1
46,Auston Trusty,D,2,Apr 7,SHU,CHE,T 2-2,7.6,86,1
47,Auston Trusty,D,2,Apr 4,SHU,@LIV,L 1-3,11.4,77,1
48,Auston Trusty,D,2,Mar 30,SHU,FUL,T 3-3,1.2,4,0
49,Auston Trusty,D,2,Mar 9,SHU,@BOU,T 2-2,7.45,90,1
50,Auston Trusty,D,2,Mar 4,SHU,ARS,L 0-6,4.7,90,1
51,Auston Trusty,D,2,Feb 25,SHU,@WOL,L 0-1,8.85,90,1
52,Auston Trusty,D,2,Feb 18,SHU,BHA,L 0-5,2.35,58,0
53,Auston Trusty,D,2,Feb 3,SHU,AVL,L 0-5,4.9,90,1
54,Auston Trusty,D,2,Jan 30,SHU,@CRY,L 2-3,6.5,90,1
55,Auston Trusty,D,2,Jan 21,SHU,WHU,T 2-2,7.25,79,1
56,Auston Trusty,D,2,Dec 30,SHU,@MCI,L 0-2,6.0,90,1
57,Auston Trusty,D,2,Dec 26,SHU,LUT,L 2-3,3.95,90,1
58,Auston Trusty,D,2,Dec 22,SHU,@AVL,T 1-1,5.8,90,1
59,Auston Trusty,D,2,Dec 16,SHU,@CHE,L 0-2,7.15,90,1
60,Auston Trusty,D,2,Dec 9,SHU,BRF,W 1-0,12.05,90,1
61,Auston Trusty,D,2,Dec 6,SHU,LIV,L 0-2,6.9,87,1
62,Auston Trusty,D,2,Dec 2,SHU,@BUR,L 0-5,7.45,90,1
63,Auston Trusty,D,2,Nov 25,SHU,BOU,L 1-3,8.0,90,1
64,Auston Trusty,D,2,Nov 12,SHU,@BHA,T 1-1,7.85,90,1
65,Auston Trusty,D,2,Nov 4,SHU,WOL,W 2-1,7.3,90,1
66,Auston Trusty,D,2,Oct 28,SHU,@ARS,L 0-5,4.3,90,1
67,Auston Trusty,D,2,Oct 21,SHU,MUN,L 1-2,7.8,90,1
68,Auston Trusty,D,2,Oct 7,SHU,@FUL,L 1-3,8.05,90,1
69,Auston Trusty,D,2,Sep 30,SHU,@WHU,L 0-2,1.35,10,0
70,Auston Trusty,D,2,Sep 16,SHU,@TOT,L 1-2,2.85,3,0
71,Yasser Larouci,D,2,May 11,SHU,@EVE,L 0-1,4.0,54,1
72,Yasser Larouci,D,2,Apr 13,SHU,@BRF,L 0-2,7.45,56,1
73,Yasser Larouci,D,2,Feb 25,SHU,@WOL,L 0-1,5.15,71,1
74,Yasser Larouci,D,2,Feb 18,SHU,BHA,L 0-5,5.2,62,1
75,Yasser Larouci,D,2,Jan 30,SHU,@CRY,L 2-3,5.5,7,0
76,Yasser Larouci,D,2,Dec 22,SHU,@AVL,T 1-1,7.7,57,1
77,Yasser Larouci,D,2,Oct 7,SHU,@FUL,L 1-3,1.35,23,0
78,Yasser Larouci,D,2,Sep 2,SHU,EVE,T 2-2,7.65,67,1
79,Yasser Larouci,D,2,Aug 27,SHU,MCI,L 1-2,4.8,72,0
80,Yasser Larouci,D,2,Aug 18,SHU,@NOT,L 1-2,5.1,45,0
81,Yasser Larouci,D,2,Aug 12,SHU,CRY,L 0-1,3.1,9,0
82,George Baldock,D,2,Mar 9,SHU,@BOU,T 2-2,6.15,90,1
83,George Baldock,D,2,Mar 4,SHU,ARS,L 0-6,3.6,45,0
84,George Baldock,D,2,Dec 30,SHU,@MCI,L 0-2,6.6,90,1
85,George Baldock,D,2,Dec 26,SHU,LUT,L 2-3,8.3,90,1
86,George Baldock,D,2,Dec 22,SHU,@AVL,T 1-1,4.9,90,1
87,George Baldock,D,2,Dec 2,SHU,@BUR,L 0-5,1.25,24,1
88,George Baldock,D,2,Nov 25,SHU,BOU,L 1-3,19.25,90,1
89,George Baldock,D,2,Nov 12,SHU,@BHA,T 1-1,6.25,90,1
90,George Baldock,D,2,Nov 4,SHU,WOL,W 2-1,5.5,90,1
91,George Baldock,D,2,Oct 28,SHU,@ARS,L 0-5,1.0,18,0
92,George Baldock,D,2,Sep 2,SHU,EVE,T 2-2,11.7,90,1
93,George Baldock,D,2,Aug 27,SHU,MCI,L 1-2,3.05,70,1
94,George Baldock,D,2,Aug 12,SHU,CRY,L 0-1,7.2,90,1
95,Sam Curtis,D,2,May 11,SHU,@EVE,L 0-1,0.75,26,0
96,Mason Holgate,D,2,May 19,SHU,TOT,L 0-3,3.35,20,0
97,Mason Holgate,D,2,Apr 27,SHU,@NEW,L 1-5,5.45,66,1
98,Mason Holgate,D,2,Apr 24,SHU,@MUN,L 2-4,3.3,90,1
99,Mason Holgate,D,2,Apr 13,SHU,@BRF,L 0-2,8.6,88,1
100,Mason Holgate,D,2,Apr 7,SHU,CHE,T 2-2,4.6,75,1
101,Mason Holgate,D,2,Apr 4,SHU,@LIV,L 1-3,4.2,86,1
102,Mason Holgate,D,2,Mar 30,SHU,FUL,T 3-3,5.6,90,1
103,Mason Holgate,D,2,Feb 18,SHU,BHA,L 0-5,-4.0,12,1
104,Mason Holgate,D,2,Feb 10,SHU,@LUT,W 3-1,7.1,90,1
105,Mason Holgate,D,2,Feb 3,SHU,AVL,L 0-5,5.7,90,1
106,Chris Basham,D,2,Oct 7,SHU,@FUL,L 1-3,3.2,34,1
107,Chris Basham,D,2,Sep 30,SHU,@WHU,L 0-2,2.1,33,0
108,Chris Basham,D,2,Sep 24,SHU,NEW,L 0-8,4.5,14,0
109,Chris Basham,D,2,Sep 16,SHU,@TOT,L 1-2,4.8,90,1
110,Chris Basham,D,2,Sep 2,SHU,EVE,T 2-2,3.3,21,0
111,Chris Basham,D,2,Aug 27,SHU,MCI,L 1-2,1.1,9,0
112,Chris Basham,D,2,Aug 18,SHU,@NOT,L 1-2,5.25,31,0
113,Chris Basham,D,2,Aug 12,SHU,CRY,L 0-1,6.45,79,1
114,John Egan,D,2,Sep 30,SHU,@WHU,L 0-2,2.8,55,1
115,John Egan,D,2,Sep 24,SHU,NEW,L 0-8,5.2,90,1
116,John Egan,D,2,Sep 2,SHU,EVE,T 2-2,9.0,67,1
117,John Egan,D,2,Aug 27,SHU,MCI,L 1-2,4.1,90,1
118,John Egan,D,2,Aug 18,SHU,@NOT,L 1-2,9.95,90,1
119,John Egan,D,2,Aug 12,SHU,CRY,L 0-1,9.6,90,1
120,Anel Ahmedhodzic,D,2,May 19,SHU,TOT,L 0-3,5.15,90,1
121,Anel Ahmedhodzic,D,2,May 4,SHU,NOT,L 1-3,1.1,88,1
122,Anel Ahmedhodzic,D,2,Apr 27,SHU,@NEW,L 1-5,17.4,90,1
123,Anel Ahmedhodzic,D,2,Apr 24,SHU,@MUN,L 2-4,5.8,90,1
124,Anel Ahmedhodzic,D,2,Apr 20,SHU,BUR,L 1-4,7.7,90,1
125,Anel Ahmedhodzic,D,2,Apr 13,SHU,@BRF,L 0-2,4.9,90,1
126,Anel Ahmedhodzic,D,2,Apr 7,SHU,CHE,T 2-2,7.7,90,1
127,Anel Ahmedhodzic,D,2,Apr 4,SHU,@LIV,L 1-3,8.4,90,1
128,Anel Ahmedhodzic,D,2,Mar 30,SHU,FUL,T 3-3,9.9,90,1
129,Anel Ahmedhodzic,D,2,Mar 9,SHU,@BOU,T 2-2,4.0,20,0
130,Anel Ahmedhodzic,D,2,Mar 4,SHU,ARS,L 0-6,4.5,63,1
131,Anel Ahmedhodzic,D,2,Feb 25,SHU,@WOL,L 0-1,4.05,90,1
132,Anel Ahmedhodzic,D,2,Feb 18,SHU,BHA,L 0-5,5.3,90,1
133,Anel Ahmedhodzic,D,2,Feb 10,SHU,@LUT,W 3-1,5.85,90,1
134,Anel Ahmedhodzic,D,2,Feb 3,SHU,AVL,L 0-5,2.8,90,1
135,Anel Ahmedhodzic,D,2,Jan 30,SHU,@CRY,L 2-3,8.0,90,1
136,Anel Ahmedhodzic,D,2,Jan 21,SHU,WHU,T 2-2,5.35,90,1
137,Anel Ahmedhodzic,D,2,Dec 26,SHU,LUT,L 2-3,19.25,90,1
138,Anel Ahmedhodzic,D,2,Dec 16,SHU,@CHE,L 0-2,6.2,90,1
139,Anel Ahmedhodzic,D,2,Dec 9,SHU,BRF,W 1-0,19.35,90,1
140,Anel Ahmedhodzic,D,2,Dec 6,SHU,LIV,L 0-2,3.65,90,1
141,Anel Ahmedhodzic,D,2,Dec 2,SHU,@BUR,L 0-5,4.6,90,1
142,Anel Ahmedhodzic,D,2,Nov 25,SHU,BOU,L 1-3,3.75,45,0
143,Anel Ahmedhodzic,D,2,Oct 7,SHU,@FUL,L 1-3,9.05,90,1
144,Anel Ahmedhodzic,D,2,Sep 30,SHU,@WHU,L 0-2,6.1,90,1
145,Anel Ahmedhodzic,D,2,Sep 24,SHU,NEW,L 0-8,4.1,90,1
146,Anel Ahmedhodzic,D,2,Sep 16,SHU,@TOT,L 1-2,8.7,90,1
147,Anel Ahmedhodzic,D,2,Sep 2,SHU,EVE,T 2-2,8.35,90,1
148,Anel Ahmedhodzic,D,2,Aug 27,SHU,MCI,L 1-2,6.7,90,1
149,Anel Ahmedhodzic,D,2,Aug 18,SHU,@NOT,L 1-2,10.15,90,1
150,Anel Ahmedhodzic,D,2,Aug 12,SHU,CRY,L 0-1,6.3,90,1
151,Rhys Norrington-Davies,D,2,Feb 10,SHU,@LUT,W 3-1,1.0,4,1
152,Rhys Norrington-Davies,D,2,Feb 3,SHU,AVL,L 0-5,1.0,49,1
153,Rhys Norrington-Davies,D,2,Jan 30,SHU,@CRY,L 2-3,3.2,45,0
154,Rhys Norrington-Davies,D,2,Jan 21,SHU,WHU,T 2-2,1.25,9,0
155,Rhys Norrington-Davies,D,2,Dec 30,SHU,@MCI,L 0-2,0.5,1,0
156,Luke Thomas,D,2,Dec 30,SHU,@MCI,L 0-2,2.95,88,1
157,Luke Thomas,D,2,Dec 2,SHU,@BUR,L 0-5,2.75,45,1
158,Luke Thomas,D,2,Nov 25,SHU,BOU,L 1-3,4.75,65,1
159,Luke Thomas,D,2,Nov 12,SHU,@BHA,T 1-1,5.95,90,1
160,Luke Thomas,D,2,Nov 4,SHU,WOL,W 2-1,7.45,90,1
161,Luke Thomas,D,2,Oct 28,SHU,@ARS,L 0-5,4.7,90,1
162,Luke Thomas,D,2,Oct 21,SHU,MUN,L 1-2,6.55,90,1
163,Luke Thomas,D,2,Oct 7,SHU,@FUL,L 1-3,4.85,65,1
164,Luke Thomas,D,2,Sep 30,SHU,@WHU,L 0-2,10.25,90,1
165,Luke Thomas,D,2,Sep 24,SHU,NEW,L 0-8,8.05,90,1
166,Luke Thomas,D,2,Sep 16,SHU,@TOT,L 1-2,5.1,90,1
167,Luke Thomas,D,2,Sep 2,SHU,EVE,T 2-2,3.85,21,0
168,Max Lowe,D,2,May 19,SHU,TOT,L 0-3,4.0,68,1
169,Max Lowe,D,2,May 11,SHU,@EVE,L 0-1,1.2,34,0
170,Max Lowe,D,2,Feb 10,SHU,@LUT,W 3-1,11.7,84,0
171,Max Lowe,D,2,Dec 26,SHU,LUT,L 2-3,2.25,45,0
172,Max Lowe,D,2,Dec 22,SHU,@AVL,T 1-1,2.35,31,0
173,Max Lowe,D,2,Dec 16,SHU,@CHE,L 0-2,7.15,90,1
174,Max Lowe,D,2,Dec 9,SHU,BRF,W 1-0,3.1,16,0
175,Max Lowe,D,2,Dec 6,SHU,LIV,L 0-2,0.5,1,0
176,Max Lowe,D,2,Aug 18,SHU,@NOT,L 1-2,2.5,45,1
177,Max Lowe,D,2,Aug 12,SHU,CRY,L 0-1,11.15,79,1
178,Jack Robinson,D,2,May 19,SHU,TOT,L 0-3,5.95,90,1
179,Jack Robinson,D,2,May 11,SHU,@EVE,L 0-1,5.0,90,1
180,Jack Robinson,D,2,May 4,SHU,NOT,L 1-3,5.25,90,1
181,Jack Robinson,D,2,Apr 27,SHU,@NEW,L 1-5,2.5,22,0
182,Jack Robinson,D,2,Apr 7,SHU,CHE,T 2-2,5.85,88,1
183,Jack Robinson,D,2,Apr 4,SHU,@LIV,L 1-3,3.8,90,1
184,Jack Robinson,D,2,Mar 30,SHU,FUL,T 3-3,6.0,90,1
185,Jack Robinson,D,2,Mar 9,SHU,@BOU,T 2-2,22.55,90,1
186,Jack Robinson,D,2,Mar 4,SHU,ARS,L 0-6,9.0,90,1
187,Jack Robinson,D,2,Feb 25,SHU,@WOL,L 0-1,9.45,90,1
188,Jack Robinson,D,2,Feb 18,SHU,BHA,L 0-5,1.05,90,1
189,Jack Robinson,D,2,Feb 10,SHU,@LUT,W 3-1,8.65,90,1
190,Jack Robinson,D,2,Feb 3,SHU,AVL,L 0-5,4.75,39,0
191,Jack Robinson,D,2,Jan 30,SHU,@CRY,L 2-3,4.95,81,1
192,Jack Robinson,D,2,Jan 21,SHU,WHU,T 2-2,8.85,90,1
193,Jack Robinson,D,2,Dec 30,SHU,@MCI,L 0-2,5.9,90,1
194,Jack Robinson,D,2,Dec 26,SHU,LUT,L 2-3,-0.55,85,1
195,Jack Robinson,D,2,Dec 22,SHU,@AVL,T 1-1,8.2,90,1
196,Jack Robinson,D,2,Dec 9,SHU,BRF,W 1-0,14.35,90,1
197,Jack Robinson,D,2,Dec 6,SHU,LIV,L 0-2,6.9,90,1
198,Jack Robinson,D,2,Dec 2,SHU,@BUR,L 0-5,6.4,90,1
199,Jack Robinson,D,2,Nov 25,SHU,BOU,L 1-3,4.65,90,1
200,Jack Robinson,D,2,Nov 12,SHU,@BHA,T 1-1,5.85,90,1
201,Jack Robinson,D,2,Nov 4,SHU,WOL,W 2-1,8.15,90,1
202,Jack Robinson,D,2,Oct 28,SHU,@ARS,L 0-5,5.65,90,1
203,Jack Robinson,D,2,Oct 21,SHU,MUN,L 1-2,7.2,90,1
204,Jack Robinson,D,2,Oct 7,SHU,@FUL,L 1-3,6.3,54,0
205,Jack Robinson,D,2,Sep 30,SHU,@WHU,L 0-2,10.05,90,1
206,Jack Robinson,D,2,Sep 24,SHU,NEW,L 0-8,0.55,90,1
