,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jose Sa,G,1,May 19,WOL,@LIV,L 0-2,19.5,90,1
1,Jose Sa,G,1,May 4,WOL,@MCI,L 1-5,12.5,90,1
2,Jose Sa,G,1,Apr 27,WOL,LUT,W 2-1,10.5,90,1
3,Jose Sa,G,1,Apr 24,WOL,BOU,L 0-1,10.5,90,1
4,Jose Sa,G,1,Apr 20,WOL,ARS,L 0-2,13.5,90,1
5,Jose Sa,G,1,Apr 13,WOL,@NOT,T 2-2,17.5,90,1
6,Jose Sa,G,1,Apr 6,WOL,WHU,L 1-2,5.5,90,1
7,Jose Sa,G,1,Apr 2,WOL,@BUR,T 1-1,13.0,90,1
8,Jose Sa,G,1,Mar 30,WOL,@AVL,L 0-2,8.5,90,1
9,Jose Sa,G,1,Mar 9,WOL,FUL,W 2-1,11.0,90,1
10,Jose Sa,G,1,Mar 2,WOL,@NEW,L 0-3,4.5,45,1
11,Jose Sa,G,1,Feb 25,WOL,SHU,W 1-0,19.5,90,1
12,Jose Sa,G,1,Feb 17,WOL,@TOT,W 2-1,9.5,90,1
13,Jose Sa,G,1,Feb 10,WOL,BRF,L 0-2,8.5,90,1
14,Jose Sa,G,1,Feb 4,WOL,@CHE,W 4-2,6.0,90,1
15,Jose Sa,G,1,Feb 1,WOL,MUN,L 3-4,9.5,90,1
16,Jose Sa,G,1,Jan 22,WOL,@BHA,T 0-0,17.0,90,1
17,Jose Sa,G,1,Dec 30,WOL,EVE,W 3-0,12.5,90,1
18,Jose Sa,G,1,Dec 27,WOL,@BRF,W 4-1,9.5,90,1
19,Jose Sa,G,1,Dec 24,WOL,CHE,W 2-1,7.5,90,1
20,Jose Sa,G,1,Dec 9,WOL,NOT,T 1-1,4.5,90,1
21,Jose Sa,G,1,Dec 2,WOL,@ARS,L 1-2,2.0,22,1
22,Jose Sa,G,1,Nov 27,WOL,@FUL,L 2-3,7.0,90,1
23,Jose Sa,G,1,Nov 11,WOL,TOT,W 2-1,4.5,90,1
24,Jose Sa,G,1,Nov 4,WOL,@SHU,L 1-2,2.5,90,1
25,Jose Sa,G,1,Oct 28,WOL,NEW,T 2-2,7.0,90,1
26,Jose Sa,G,1,Oct 21,WOL,@BOU,W 2-1,7.5,90,1
27,Jose Sa,G,1,Oct 8,WOL,AVL,T 1-1,8.5,90,1
28,Jose Sa,G,1,Sep 30,WOL,MCI,W 2-1,12.5,90,1
29,Jose Sa,G,1,Sep 23,WOL,@LUT,T 1-1,9.5,90,1
30,Jose Sa,G,1,Sep 16,WOL,LIV,L 1-3,7.0,90,1
31,Jose Sa,G,1,Sep 3,WOL,@CRY,L 2-3,14.0,90,1
32,Jose Sa,G,1,Aug 26,WOL,@EVE,W 1-0,26.0,90,1
33,Jose Sa,G,1,Aug 19,WOL,BHA,L 1-4,7.5,90,1
34,Jose Sa,G,1,Aug 14,WOL,@MUN,L 0-1,7.5,90,1
35,Daniel Bentley,G,1,May 11,WOL,CRY,L 1-3,2.0,90,1
36,Daniel Bentley,G,1,Mar 2,WOL,@NEW,L 0-3,3.0,45,0
37,Daniel Bentley,G,1,Dec 17,WOL,@WHU,L 0-3,4.0,90,1
