Player,Team,Position,Position ID,Link
Aaron Ramsdale,ARS,G,1,https://www.fantrax.com/player/04amh/3jq8g06rlkl1x3ci/aaron-ramsdale/jo65as6clkl1x3co
David Raya,ARS,G,1,https://www.fantrax.com/player/05tqx/3jq8g06rlkl1x3ci/david-raya/jo65as6clkl1x3co
Takehiro Tomiyasu,ARS,D,2,https://www.fantrax.com/player/05w9r/3jq8g06rlkl1x3ci/takehiro-tomiyasu/jo65as6clkl1x3co
Ben White,ARS,D,2,https://www.fantrax.com/player/04e1e/3jq8g06rlkl1x3ci/ben-white/jo65as6clkl1x3co
Cedric Soares,ARS,D,2,https://www.fantrax.com/player/03r9c/3jq8g06rlkl1x3ci/cedric-ricardo-alves-soares/jo65as6clkl1x3co
William Saliba,ARS,D,2,https://www.fantrax.com/player/0558w/3jq8g06rlkl1x3ci/william-saliba/jo65as6clkl1x3co
Gabriel Magalhaes,ARS,D,2,https://www.fantrax.com/player/05nzu/3jq8g06rlkl1x3ci/gabriel-dos-santos-magalhaes/jo65as6clkl1x3co
Jakub Kiwior,ARS,D,2,https://www.fantrax.com/player/068sd/3jq8g06rlkl1x3ci/jakub-kiwior/jo65as6clkl1x3co
Jurrien Timber,ARS,D,2,https://www.fantrax.com/player/06dmj/3jq8g06rlkl1x3ci/jurrien-timber/jo65as6clkl1x3co
Oleksandr Zinchenko,ARS,"D,M",3,https://www.fantrax.com/player/043c1/3jq8g06rlkl1x3ci/oleksandr-zinchenko/jo65as6clkl1x3co
Mohamed Elneny,ARS,M,4,https://www.fantrax.com/player/03yrr/3jq8g06rlkl1x3ci/mohamed-naser-el-sayed-elneny/jo65as6clkl1x3co
Thomas Partey,ARS,M,4,https://www.fantrax.com/player/05os9/3jq8g06rlkl1x3ci/thomas-partey/jo65as6clkl1x3co
Declan Rice,ARS,M,4,https://www.fantrax.com/player/04agz/3jq8g06rlkl1x3ci/declan-rice/jo65as6clkl1x3co
Jorginho,ARS,M,4,https://www.fantrax.com/player/04s8k/3jq8g06rlkl1x3ci/jorge-luiz-frello-filho/jo65as6clkl1x3co
Fabio Vieira,ARS,M,4,https://www.fantrax.com/player/061z3/3jq8g06rlkl1x3ci/fabio-daniel-vieira/jo65as6clkl1x3co
Ethan Nwaneri,ARS,M,4,https://www.fantrax.com/player/065ao/3jq8g06rlkl1x3ci/ethan-nwaneri/jo65as6clkl1x3co
Martin Odegaard,ARS,M,4,https://www.fantrax.com/player/05r9b/3jq8g06rlkl1x3ci/martin-odegaard/jo65as6clkl1x3co
Kai Havertz,ARS,"M,F",5,https://www.fantrax.com/player/05o6h/3jq8g06rlkl1x3ci/kai-havertz/jo65as6clkl1x3co
Emile Smith Rowe,ARS,M,4,https://www.fantrax.com/player/04sat/3jq8g06rlkl1x3ci/emile-smith-rowe/jo65as6clkl1x3co
Bukayo Saka,ARS,"M,F",5,https://www.fantrax.com/player/04y92/3jq8g06rlkl1x3ci/bukayo-saka/jo65as6clkl1x3co
Gabriel Martinelli,ARS,"M,F",5,https://www.fantrax.com/player/052h5/3jq8g06rlkl1x3ci/gabriel-teodoro-martinelli-silva/jo65as6clkl1x3co
Leandro Trossard,ARS,F,6,https://www.fantrax.com/player/0520r/3jq8g06rlkl1x3ci/leandro-trossard/jo65as6clkl1x3co
Gabriel Jesus,ARS,F,6,https://www.fantrax.com/player/045c8/3jq8g06rlkl1x3ci/gabriel-fernando-de-jesus/jo65as6clkl1x3co
Eddie Nketiah,ARS,F,6,https://www.fantrax.com/player/04ge9/3jq8g06rlkl1x3ci/eddie-nketiah/jo65as6clkl1x3co
Reiss Nelson,ARS,F,6,https://www.fantrax.com/player/04ge8/3jq8g06rlkl1x3ci/reiss-nelson/jo65as6clkl1x3co
