Player,Team,Position,Position ID,Link
Emiliano Martinez,AVL,G,1,https://www.fantrax.com/player/02lz0/3jq8g06rlkl1x3ci/emiliano-martinez/jo65as6clkl1x3co
Robin Olsen,AVL,G,1,https://www.fantrax.com/player/05osa/3jq8g06rlkl1x3ci/robin-olsen/jo65as6clkl1x3co
Matty Cash,AVL,D,2,https://www.fantrax.com/player/05o4b/3jq8g06rlkl1x3ci/matty-cash/jo65as6clkl1x3co
Calum Chambers,AVL,D,2,https://www.fantrax.com/player/02t1j/3jq8g06rlkl1x3ci/calum-chambers/jo65as6clkl1x3co
Tyrone Mings,AVL,D,2,https://www.fantrax.com/player/03rec/3jq8g06rlkl1x3ci/tyrone-mings/jo65as6clkl1x3co
Ezri Konsa,AVL,D,2,https://www.fantrax.com/player/052ca/3jq8g06rlkl1x3ci/ezri-konsa/jo65as6clkl1x3co
Pau Torres,AVL,D,2,https://www.fantrax.com/player/06crm/3jq8g06rlkl1x3ci/pau-torres/jo65as6clkl1x3co
Clement Lenglet,AVL,D,2,https://www.fantrax.com/player/062ir/3jq8g06rlkl1x3ci/clement-lenglet/jo65as6clkl1x3co
Diego Carlos,AVL,D,2,https://www.fantrax.com/player/061v9/3jq8g06rlkl1x3ci/diego-carlos-santos-silva/jo65as6clkl1x3co
Lucas Digne,AVL,D,2,https://www.fantrax.com/player/04tm0/3jq8g06rlkl1x3ci/lucas-digne/jo65as6clkl1x3co
Alex Moreno,AVL,D,2,https://www.fantrax.com/player/0687b/3jq8g06rlkl1x3ci/alexandre-moreno-lopera/jo65as6clkl1x3co
Kaine Hayden,AVL,D,2,https://www.fantrax.com/player/05rey/3jq8g06rlkl1x3ci/kaine-hayden/jo65as6clkl1x3co
Finley Munroe,AVL,D,2,https://www.fantrax.com/player/06jfg/3jq8g06rlkl1x3ci/finley-munroe/jo65as6clkl1x3co
Douglas Luiz,AVL,M,4,https://www.fantrax.com/player/04spp/3jq8g06rlkl1x3ci/douglas-luiz-soares-de-paulo/jo65as6clkl1x3co
Tim Iroegbunam,AVL,M,4,https://www.fantrax.com/player/05t6z/3jq8g06rlkl1x3ci/tim-iroegbunam/jo65as6clkl1x3co
Omari Kellyman,AVL,M,4,https://www.fantrax.com/player/06dpv/3jq8g06rlkl1x3ci/omari-kellyman/jo65as6clkl1x3co
Boubacar Kamara,AVL,M,4,https://www.fantrax.com/player/061va/3jq8g06rlkl1x3ci/boubacar-kamara/jo65as6clkl1x3co
Jaden Philogene-Bidace,AVL,M,4,https://www.fantrax.com/player/05rff/3jq8g06rlkl1x3ci/jaden-philogene-bidace/jo65as6clkl1x3co
Leander Dendoncker,AVL,M,4,https://www.fantrax.com/player/04u6i/3jq8g06rlkl1x3ci/leander-dendoncker/jo65as6clkl1x3co
Youri Tielemans,AVL,M,4,https://www.fantrax.com/player/04yo7/3jq8g06rlkl1x3ci/youri-tielemans/jo65as6clkl1x3co
John McGinn,AVL,M,4,https://www.fantrax.com/player/051k0/3jq8g06rlkl1x3ci/john-mcginn/jo65as6clkl1x3co
Jacob Ramsey,AVL,M,4,https://www.fantrax.com/player/051k3/3jq8g06rlkl1x3ci/jacob-ramsey/jo65as6clkl1x3co
Nicolo Zaniolo,AVL,M,4,https://www.fantrax.com/player/06ftl/3jq8g06rlkl1x3ci/nicolo-zaniolo/jo65as6clkl1x3co
Philippe Coutinho,AVL,M,4,https://www.fantrax.com/player/02yhi/3jq8g06rlkl1x3ci/philippe-coutinho/jo65as6clkl1x3co
Bertrand Traore,AVL,"M,F",5,https://www.fantrax.com/player/035n1/3jq8g06rlkl1x3ci/bertrand-traore/jo65as6clkl1x3co
Leon Bailey,AVL,"M,F",5,https://www.fantrax.com/player/05uns/3jq8g06rlkl1x3ci/leon-bailey/jo65as6clkl1x3co
Moussa Diaby,AVL,"M,F",5,https://www.fantrax.com/player/06dq8/3jq8g06rlkl1x3ci/moussa-diaby/jo65as6clkl1x3co
Morgan Rogers,AVL,"M,F",5,https://www.fantrax.com/player/05uht/3jq8g06rlkl1x3ci/morgan-rogers/jo65as6clkl1x3co
Ollie Watkins,AVL,F,6,https://www.fantrax.com/player/05ocl/3jq8g06rlkl1x3ci/ollie-watkins/jo65as6clkl1x3co
Jhon Duran,AVL,F,6,https://www.fantrax.com/player/068se/3jq8g06rlkl1x3ci/jhon-duran/jo65as6clkl1x3co
