Player,Team,Position,Position ID,Link
Bart Verbruggen,BHA,G,1,https://www.fantrax.com/player/06cmu/3jq8g06rlkl1x3ci/bart-verbruggen/jo65as6clkl1x3co
Jason Steele,BHA,G,1,https://www.fantrax.com/player/04rha/3jq8g06rlkl1x3ci/jason-steele/jo65as6clkl1x3co
Tariq Lamptey,BHA,D,2,https://www.fantrax.com/player/05a6d/3jq8g06rlkl1x3ci/tariq-lamptey/jo65as6clkl1x3co
Joel Veltman,BHA,D,2,https://www.fantrax.com/player/05mxa/3jq8g06rlkl1x3ci/joel-veltman/jo65as6clkl1x3co
Adam Webster,BHA,D,2,https://www.fantrax.com/player/056ir/3jq8g06rlkl1x3ci/adam-webster/jo65as6clkl1x3co
Lewis Dunk,BHA,D,2,https://www.fantrax.com/player/04e1c/3jq8g06rlkl1x3ci/lewis-dunk/jo65as6clkl1x3co
Igor Julio,BHA,D,2,https://www.fantrax.com/player/06eka/3jq8g06rlkl1x3ci/igor-julio-dos-santos-de-paulo/jo65as6clkl1x3co
Odeluga Offiah,BHA,D,2,https://www.fantrax.com/player/05vyg/3jq8g06rlkl1x3ci/odeluga-offiah/jo65as6clkl1x3co
Jan-Paul van Hecke,BHA,D,2,https://www.fantrax.com/player/05oh0/3jq8g06rlkl1x3ci/jan-paul-van-hecke/jo65as6clkl1x3co
Pervis Estupinan,BHA,D,2,https://www.fantrax.com/player/063zg/3jq8g06rlkl1x3ci/pervis-estupinan/jo65as6clkl1x3co
Valentin Barco,BHA,D,2,https://www.fantrax.com/player/06j20/3jq8g06rlkl1x3ci/valentin-barco/jo65as6clkl1x3co
Jack Hinshelwood,BHA,M,4,https://www.fantrax.com/player/067ys/3jq8g06rlkl1x3ci/jack-hinshelwood/jo65as6clkl1x3co
Carlos Baleba,BHA,M,4,https://www.fantrax.com/player/06fwi/3jq8g06rlkl1x3ci/carlos-baleba/jo65as6clkl1x3co
Billy Gilmour,BHA,M,4,https://www.fantrax.com/player/052cc/3jq8g06rlkl1x3ci/billy-gilmour/jo65as6clkl1x3co
Mahmoud Dahoud,BHA,M,4,https://www.fantrax.com/player/06clv/3jq8g06rlkl1x3ci/mahmoud-dahoud/jo65as6clkl1x3co
Jakub Moder,BHA,M,4,https://www.fantrax.com/player/05r37/3jq8g06rlkl1x3ci/jakub-moder/jo65as6clkl1x3co
Pascal Gross,BHA,M,4,https://www.fantrax.com/player/04fk1/3jq8g06rlkl1x3ci/pascal-gross/jo65as6clkl1x3co
James Milner,BHA,M,4,https://www.fantrax.com/player/02lv9/3jq8g06rlkl1x3ci/james-milner/jo65as6clkl1x3co
Adam Lallana,BHA,M,4,https://www.fantrax.com/player/02opy/3jq8g06rlkl1x3ci/adam-lallana/jo65as6clkl1x3co
Solly March,BHA,M,4,https://www.fantrax.com/player/04e1k/3jq8g06rlkl1x3ci/solly-march/jo65as6clkl1x3co
Kaoru Mitoma,BHA,M,4,https://www.fantrax.com/player/062ci/3jq8g06rlkl1x3ci/kaoru-mitoma/jo65as6clkl1x3co
Facundo Buonanotte,BHA,M,4,https://www.fantrax.com/player/067yu/3jq8g06rlkl1x3ci/facundo-buonanotte/jo65as6clkl1x3co
Joao Pedro,BHA,"M,F",5,https://www.fantrax.com/player/05g2o/3jq8g06rlkl1x3ci/joao-pedro-junqueira-de-jesus/jo65as6clkl1x3co
Simon Adingra,BHA,"M,F",5,https://www.fantrax.com/player/0626q/3jq8g06rlkl1x3ci/simon-adingra/jo65as6clkl1x3co
Julio Enciso,BHA,F,6,https://www.fantrax.com/player/061xs/3jq8g06rlkl1x3ci/julio-enciso/jo65as6clkl1x3co
Evan Ferguson,BHA,F,6,https://www.fantrax.com/player/05vyj/3jq8g06rlkl1x3ci/evan-ferguson/jo65as6clkl1x3co
Ansu Fati,BHA,F,6,https://www.fantrax.com/player/06fx1/3jq8g06rlkl1x3ci/anssumane-fati-vieira/jo65as6clkl1x3co
Danny Welbeck,BHA,F,6,https://www.fantrax.com/player/02lnx/3jq8g06rlkl1x3ci/danny-welbeck/jo65as6clkl1x3co
Benicio Baker-Boaitey,BHA,F,6,https://www.fantrax.com/player/06dpr/3jq8g06rlkl1x3ci/benicio-baker-boaitey/jo65as6clkl1x3co
Mark O'Mahony,BHA,F,6,https://www.fantrax.com/player/06hzf/3jq8g06rlkl1x3ci/mark-omahony/jo65as6clkl1x3co
