Player,Team,Position,Position ID,Link
Neto,BOU,G,1,https://www.fantrax.com/player/063e3/3jq8g06rlkl1x3ci/norberto-murara-neto/jo65as6clkl1x3co
Mark Travers,BOU,G,1,https://www.fantrax.com/player/04vy4/3jq8g06rlkl1x3ci/mark-travers/jo65as6clkl1x3co
Ionut Radu,BOU,G,1,https://www.fantrax.com/player/06dwl/3jq8g06rlkl1x3ci/ionut-radu/jo65as6clkl1x3co
Max Aarons,BOU,D,2,https://www.fantrax.com/player/051kg/3jq8g06rlkl1x3ci/max-aarons/jo65as6clkl1x3co
Adam Smith,BOU,D,2,https://www.fantrax.com/player/02lp5/3jq8g06rlkl1x3ci/adam-smith/jo65as6clkl1x3co
Chris Mepham,BOU,D,2,https://www.fantrax.com/player/04ylt/3jq8g06rlkl1x3ci/chris-mepham/jo65as6clkl1x3co
Lloyd Kelly,BOU,D,2,https://www.fantrax.com/player/051k5/3jq8g06rlkl1x3ci/lloyd-kelly/jo65as6clkl1x3co
Illia Zabarnyi,BOU,D,2,https://www.fantrax.com/player/068yi/3jq8g06rlkl1x3ci/illia-zabarnyi/jo65as6clkl1x3co
James Hill,BOU,D,2,https://www.fantrax.com/player/061vb/3jq8g06rlkl1x3ci/james-hill/jo65as6clkl1x3co
Marcos Senesi,BOU,D,2,https://www.fantrax.com/player/063e7/3jq8g06rlkl1x3ci/marcos-senesi/jo65as6clkl1x3co
Milos Kerkez,BOU,D,2,https://www.fantrax.com/player/06do9/3jq8g06rlkl1x3ci/milos-kerkez/jo65as6clkl1x3co
Lewis Cook,BOU,M,4,https://www.fantrax.com/player/043qy/3jq8g06rlkl1x3ci/lewis-cook/jo65as6clkl1x3co
Joe Rothwell,BOU,M,4,https://www.fantrax.com/player/03z3w/3jq8g06rlkl1x3ci/joe-rothwell/jo65as6clkl1x3co
Alex Scott,BOU,M,4,https://www.fantrax.com/player/06f8y/3jq8g06rlkl1x3ci/alex-scott/jo65as6clkl1x3co
David Brooks,BOU,M,4,https://www.fantrax.com/player/04rh9/3jq8g06rlkl1x3ci/david-brooks/jo65as6clkl1x3co
Romain Faivre,BOU,M,4,https://www.fantrax.com/player/06jgk/3jq8g06rlkl1x3ci/romain-faivre/jo65as6clkl1x3co
Tyler Adams,BOU,M,4,https://www.fantrax.com/player/062h7/3jq8g06rlkl1x3ci/tyler-adams/jo65as6clkl1x3co
Marcus Tavernier,BOU,M,4,https://www.fantrax.com/player/0639x/3jq8g06rlkl1x3ci/marcus-tavernier/jo65as6clkl1x3co
Ryan Christie,BOU,M,4,https://www.fantrax.com/player/061ve/3jq8g06rlkl1x3ci/ryan-christie/jo65as6clkl1x3co
Hamed Traore,BOU,M,4,https://www.fantrax.com/player/068yr/3jq8g06rlkl1x3ci/hamed-traore/jo65as6clkl1x3co
Philip Billing,BOU,"M,F",5,https://www.fantrax.com/player/04f67/3jq8g06rlkl1x3ci/philip-billing/jo65as6clkl1x3co
Antoine Semenyo,BOU,"M,F",5,https://www.fantrax.com/player/068y0/3jq8g06rlkl1x3ci/antoine-semenyo/jo65as6clkl1x3co
Dango Ouattara,BOU,"M,F",5,https://www.fantrax.com/player/068lx/3jq8g06rlkl1x3ci/dango-ouattara/jo65as6clkl1x3co
Justin Kluivert,BOU,"M,F",5,https://www.fantrax.com/player/06clt/3jq8g06rlkl1x3ci/justin-kluivert/jo65as6clkl1x3co
Dominic Sadi,BOU,"M,F",5,https://www.fantrax.com/player/0643v/3jq8g06rlkl1x3ci/dominic-sadi/jo65as6clkl1x3co
Jaidon Anthony,BOU,F,6,https://www.fantrax.com/player/061vk/3jq8g06rlkl1x3ci/jaidon-anthony/jo65as6clkl1x3co
Kiefer Moore,BOU,F,6,https://www.fantrax.com/player/061vj/3jq8g06rlkl1x3ci/kieffer-moore/jo65as6clkl1x3co
Dominic Solanke,BOU,F,6,https://www.fantrax.com/player/03fgo/3jq8g06rlkl1x3ci/dominic-solanke/jo65as6clkl1x3co
Enes Unal,BOU,F,6,https://www.fantrax.com/player/03sbh/3jq8g06rlkl1x3ci/enes-unal/jo65as6clkl1x3co
Luis Sinisterra,BOU,F,6,https://www.fantrax.com/player/062h9/3jq8g06rlkl1x3ci/luis-sinisterra/jo65as6clkl1x3co
