Player,Team,Position,Position ID,Link
Mark Flekken,BRF,G,1,https://www.fantrax.com/player/06clu/3jq8g06rlkl1x3ci/mark-flekken/jo65as6clkl1x3co
Thomas Strakosha,BRF,G,1,https://www.fantrax.com/player/062p4/3jq8g06rlkl1x3ci/thomas-strakosha/jo65as6clkl1x3co
Aaron Hickey,BRF,D,2,https://www.fantrax.com/player/062og/3jq8g06rlkl1x3ci/aaron-hickey/jo65as6clkl1x3co
Kristoffer Ajer,BRF,D,2,https://www.fantrax.com/player/05uel/3jq8g06rlkl1x3ci/kristoffer-ajer/jo65as6clkl1x3co
Ben Mee,BRF,D,2,https://www.fantrax.com/player/03dx7/3jq8g06rlkl1x3ci/ben-mee/jo65as6clkl1x3co
Nathan Collins,BRF,D,2,https://www.fantrax.com/player/05u1m/3jq8g06rlkl1x3ci/nathan-collins/jo65as6clkl1x3co
Zanka,BRF,D,2,https://www.fantrax.com/player/04fyg/3jq8g06rlkl1x3ci/mathias-jorgensen/jo65as6clkl1x3co
Ethan Pinnock,BRF,D,2,https://www.fantrax.com/player/05tr1/3jq8g06rlkl1x3ci/ethan-pinnock/jo65as6clkl1x3co
Rico Henry,BRF,D,2,https://www.fantrax.com/player/05tqz/3jq8g06rlkl1x3ci/rico-henry/jo65as6clkl1x3co
Sergio Reguilon,BRF,D,2,https://www.fantrax.com/player/05ohc/3jq8g06rlkl1x3ci/sergio-reguilon/jo65as6clkl1x3co
Mads Roerslev,BRF,"D,M",3,https://www.fantrax.com/player/05tr5/3jq8g06rlkl1x3ci/mads-roerslev/jo65as6clkl1x3co
Frank Onyeka,BRF,M,4,https://www.fantrax.com/player/05ue7/3jq8g06rlkl1x3ci/frank-onyeka/jo65as6clkl1x3co
Shandon Baptiste,BRF,M,4,https://www.fantrax.com/player/05trd/3jq8g06rlkl1x3ci/shandon-baptiste/jo65as6clkl1x3co
Mathias Jensen,BRF,M,4,https://www.fantrax.com/player/05tr9/3jq8g06rlkl1x3ci/mathias-jensen/jo65as6clkl1x3co
Christian Norgaard,BRF,M,4,https://www.fantrax.com/player/05tr8/3jq8g06rlkl1x3ci/christian-norgaard/jo65as6clkl1x3co
Vitaly Janelt,BRF,M,4,https://www.fantrax.com/player/05tre/3jq8g06rlkl1x3ci/vitaly-janelt/jo65as6clkl1x3co
Josh Dasilva,BRF,M,4,https://www.fantrax.com/player/048xg/3jq8g06rlkl1x3ci/josh-dasilva/jo65as6clkl1x3co
Mikkel Damsgaard,BRF,M,4,https://www.fantrax.com/player/063q8/3jq8g06rlkl1x3ci/mikkel-damsgaard/jo65as6clkl1x3co
Myles Peart-Harris,BRF,M,4,https://www.fantrax.com/player/05nuf/3jq8g06rlkl1x3ci/myles-peart-harris/jo65as6clkl1x3co
Ehor Yarmolyuk,BRF,M,4,https://www.fantrax.com/player/066r9/3jq8g06rlkl1x3ci/ehor-yarmolyuk/jo65as6clkl1x3co
Kevin Schade,BRF,M,4,https://www.fantrax.com/player/067zv/3jq8g06rlkl1x3ci/kevin-schade/jo65as6clkl1x3co
Saman Ghoddos,BRF,"M,F",5,https://www.fantrax.com/player/05trk/3jq8g06rlkl1x3ci/saman-ghoddos/jo65as6clkl1x3co
Yoane Wissa,BRF,"M,F",5,https://www.fantrax.com/player/05uor/3jq8g06rlkl1x3ci/yoane-wissa/jo65as6clkl1x3co
Michael Olakigbe,BRF,"M,F",5,https://www.fantrax.com/player/06avl/3jq8g06rlkl1x3ci/michael-olakigbe/jo65as6clkl1x3co
Ivan Toney,BRF,F,6,https://www.fantrax.com/player/03v6w/3jq8g06rlkl1x3ci/ivan-toney/jo65as6clkl1x3co
Bryan Mbeumo,BRF,F,6,https://www.fantrax.com/player/05trb/3jq8g06rlkl1x3ci/bryan-mbeumo/jo65as6clkl1x3co
Keane Lewis-Potter,BRF,F,6,https://www.fantrax.com/player/062p3/3jq8g06rlkl1x3ci/keane-lewis-potter/jo65as6clkl1x3co
Neal Maupay,BRF,F,6,https://www.fantrax.com/player/056mf/3jq8g06rlkl1x3ci/neal-maupay/jo65as6clkl1x3co
