Player,Team,Position,Position ID,Link
James Trafford,BUR,G,1,https://www.fantrax.com/player/05oz3/3jq8g06rlkl1x3ci/james-trafford/jo65as6clkl1x3co
Arijanet Muric,BUR,G,1,https://www.fantrax.com/player/04gw6/3jq8g06rlkl1x3ci/arijanet-muric/jo65as6clkl1x3co
Connor Roberts,BUR,D,2,https://www.fantrax.com/player/04azm/3jq8g06rlkl1x3ci/connor-roberts/jo65as6clkl1x3co
Hjalmar Ekdal,BUR,D,2,https://www.fantrax.com/player/06c4h/3jq8g06rlkl1x3ci/hjalmar-ekdal/jo65as6clkl1x3co
Maxime Esteve,BUR,D,2,https://www.fantrax.com/player/06jgr/3jq8g06rlkl1x3ci/maxime-esteve/jo65as6clkl1x3co
Jordan Beyer,BUR,D,2,https://www.fantrax.com/player/06clx/3jq8g06rlkl1x3ci/jordan-beyer/jo65as6clkl1x3co
Ameen Al Dakhil,BUR,D,2,https://www.fantrax.com/player/06c4j/3jq8g06rlkl1x3ci/ameen-al-dakhil/jo65as6clkl1x3co
Dara O'Shea,BUR,D,2,https://www.fantrax.com/player/04gpx/3jq8g06rlkl1x3ci/dara-oshea/jo65as6clkl1x3co
Lorenz Assignon,BUR,D,2,https://www.fantrax.com/player/06jgv/3jq8g06rlkl1x3ci/lorenz-assignon/jo65as6clkl1x3co
Vitinho,BUR,D,2,https://www.fantrax.com/player/06c4i/3jq8g06rlkl1x3ci/victor-alexander-da-silva/jo65as6clkl1x3co
Hannes Delcroix,BUR,D,2,https://www.fantrax.com/player/06fuh/3jq8g06rlkl1x3ci/hannes-delcroix/jo65as6clkl1x3co
Charlie Taylor,BUR,D,2,https://www.fantrax.com/player/04fyc/3jq8g06rlkl1x3ci/charlie-taylor/jo65as6clkl1x3co
Sander Berge,BUR,M,4,https://www.fantrax.com/player/05gcs/3jq8g06rlkl1x3ci/sander-berge/jo65as6clkl1x3co
Josh Brownhill,BUR,M,4,https://www.fantrax.com/player/05gcx/3jq8g06rlkl1x3ci/josh-brownhill/jo65as6clkl1x3co
Josh Cullen,BUR,M,4,https://www.fantrax.com/player/03hff/3jq8g06rlkl1x3ci/josh-cullen/jo65as6clkl1x3co
Aaron Ramsey,BUR,M,4,https://www.fantrax.com/player/05vyc/3jq8g06rlkl1x3ci/aaron-ramsey/jo65as6clkl1x3co
Han-Noah Massengo,BUR,M,4,https://www.fantrax.com/player/06fwy/3jq8g06rlkl1x3ci/han-noah-massengo/jo65as6clkl1x3co
Jack Cork,BUR,M,4,https://www.fantrax.com/player/02opl/3jq8g06rlkl1x3ci/jack-cork/jo65as6clkl1x3co
Nathan Redmond,BUR,M,4,https://www.fantrax.com/player/02rll/3jq8g06rlkl1x3ci/nathan-redmond/jo65as6clkl1x3co
Johann Gudmundsson,BUR,M,4,https://www.fantrax.com/player/044ej/3jq8g06rlkl1x3ci/johann-gudmundsson/jo65as6clkl1x3co
Wilson Odobert,BUR,"M,F",5,https://www.fantrax.com/player/06fhy/3jq8g06rlkl1x3ci/wilson-odobert/jo65as6clkl1x3co
Jacob Bruun Larsen,BUR,"M,F",5,https://www.fantrax.com/player/06dwm/3jq8g06rlkl1x3ci/jacob-bruun-larsen/jo65as6clkl1x3co
Luca Koleosho,BUR,"M,F",5,https://www.fantrax.com/player/06dqv/3jq8g06rlkl1x3ci/luca-koleosho/jo65as6clkl1x3co
Lyle Foster,BUR,F,6,https://www.fantrax.com/player/06c4o/3jq8g06rlkl1x3ci/lyle-foster/jo65as6clkl1x3co
David Datro Fofana,BUR,F,6,https://www.fantrax.com/player/067z4/3jq8g06rlkl1x3ci/david-datro-fofana/jo65as6clkl1x3co
Zeki Amdouni,BUR,F,6,https://www.fantrax.com/player/06dn2/3jq8g06rlkl1x3ci/zeki-amdouni/jo65as6clkl1x3co
Mike Tresor,BUR,F,6,https://www.fantrax.com/player/06fy5/3jq8g06rlkl1x3ci/mike-tresor/jo65as6clkl1x3co
Anass Zarouri,BUR,F,6,https://www.fantrax.com/player/06c4q/3jq8g06rlkl1x3ci/anass-zaroury/jo65as6clkl1x3co
Benson Manuel,BUR,F,6,https://www.fantrax.com/player/06c4p/3jq8g06rlkl1x3ci/benson-manuel/jo65as6clkl1x3co
Michael Obafemi,BUR,F,6,https://www.fantrax.com/player/04mmx/3jq8g06rlkl1x3ci/michael-obafemi/jo65as6clkl1x3co
Jay Rodriguez,BUR,F,6,https://www.fantrax.com/player/02oq3/3jq8g06rlkl1x3ci/jay-rodriguez/jo65as6clkl1x3co
