Player,Team,Position,Position ID,Link
Robert Sanchez,CHE,G,1,https://www.fantrax.com/player/04yme/3jq8g06rlkl1x3ci/robert-sanchez/jo65as6clkl1x3co
Djordje Petrovic,CHE,G,1,https://www.fantrax.com/player/06fuw/3jq8g06rlkl1x3ci/djordje-petrovic/jo65as6clkl1x3co
Reece James,CHE,D,2,https://www.fantrax.com/player/051k7/3jq8g06rlkl1x3ci/reece-james/jo65as6clkl1x3co
Malo Gusto,CHE,D,2,https://www.fantrax.com/player/06clz/3jq8g06rlkl1x3ci/malo-gusto/jo65as6clkl1x3co
Alfie Gilchrist,CHE,D,2,https://www.fantrax.com/player/066si/3jq8g06rlkl1x3ci/alfie-gilchrist/jo65as6clkl1x3co
Axel Disasi,CHE,D,2,https://www.fantrax.com/player/06ew2/3jq8g06rlkl1x3ci/axel-disasi/jo65as6clkl1x3co
Thiago Silva,CHE,D,2,https://www.fantrax.com/player/05nt7/3jq8g06rlkl1x3ci/thiago-emiliano-da-silva/jo65as6clkl1x3co
Benoit Badiashile,CHE,D,2,https://www.fantrax.com/player/06804/3jq8g06rlkl1x3ci/benoit-badiashile/jo65as6clkl1x3co
Josh Acheampong,CHE,D,2,https://www.fantrax.com/player/06kwp/3jq8g06rlkl1x3ci/josh-acheampong/jo65as6clkl1x3co
Trevoh Chalobah,CHE,D,2,https://www.fantrax.com/player/04mup/3jq8g06rlkl1x3ci/trevoh-chalobah/jo65as6clkl1x3co
Levi Colwill,CHE,D,2,https://www.fantrax.com/player/062p5/3jq8g06rlkl1x3ci/levi-colwill/jo65as6clkl1x3co
Ben Chilwell,CHE,D,2,https://www.fantrax.com/player/03v6t/3jq8g06rlkl1x3ci/ben-chilwell/jo65as6clkl1x3co
Ian Maatsen,CHE,D,2,https://www.fantrax.com/player/052cb/3jq8g06rlkl1x3ci/ian-maatsen/jo65as6clkl1x3co
Marc Cucurella,CHE,D,2,https://www.fantrax.com/player/05w9i/3jq8g06rlkl1x3ci/marc-cucurella/jo65as6clkl1x3co
Moises Caicedo,CHE,M,4,https://www.fantrax.com/player/05rb8/3jq8g06rlkl1x3ci/moises-caicedo/jo65as6clkl1x3co
Romeo Lavia,CHE,M,4,https://www.fantrax.com/player/05unu/3jq8g06rlkl1x3ci/romeo-lavia/jo65as6clkl1x3co
Jimi Tauriainen,CHE,M,4,https://www.fantrax.com/player/06ksi/3jq8g06rlkl1x3ci/jimi-tauriainen/jo65as6clkl1x3co
Carney Chukwuemeka,CHE,M,4,https://www.fantrax.com/player/05re5/3jq8g06rlkl1x3ci/carney-chukwuemeka/jo65as6clkl1x3co
Lesley Ugochukwu,CHE,M,4,https://www.fantrax.com/player/06eo0/3jq8g06rlkl1x3ci/lesley-ugochukwu/jo65as6clkl1x3co
Conor Gallagher,CHE,M,4,https://www.fantrax.com/player/051k8/3jq8g06rlkl1x3ci/conor-gallagher/jo65as6clkl1x3co
Enzo Fernandez,CHE,M,4,https://www.fantrax.com/player/068ym/3jq8g06rlkl1x3ci/enzo-fernandez/jo65as6clkl1x3co
Cesare Casadei,CHE,M,4,https://www.fantrax.com/player/0641g/3jq8g06rlkl1x3ci/cesare-casadei/jo65as6clkl1x3co
Mykhailo Mudryk,CHE,M,4,https://www.fantrax.com/player/068a1/3jq8g06rlkl1x3ci/mykhailo-mudryk/jo65as6clkl1x3co
Cole Palmer,CHE,M,4,https://www.fantrax.com/player/05l8q/3jq8g06rlkl1x3ci/cole-palmer/jo65as6clkl1x3co
Noni Madueke,CHE,"M,F",5,https://www.fantrax.com/player/068n8/3jq8g06rlkl1x3ci/noni-madueke/jo65as6clkl1x3co
Raheem Sterling,CHE,"M,F",5,https://www.fantrax.com/player/02lkp/3jq8g06rlkl1x3ci/raheem-sterling/jo65as6clkl1x3co
Christopher Nkunku,CHE,F,6,https://www.fantrax.com/player/06cm0/3jq8g06rlkl1x3ci/christopher-nkunku/jo65as6clkl1x3co
Alex Matos,CHE,F,6,https://www.fantrax.com/player/06gxa/3jq8g06rlkl1x3ci/alex-matos/jo65as6clkl1x3co
Nicolas Jackson,CHE,F,6,https://www.fantrax.com/player/06cm1/3jq8g06rlkl1x3ci/nicolas-jackson/jo65as6clkl1x3co
Deivid Washington,CHE,F,6,https://www.fantrax.com/player/06fum/3jq8g06rlkl1x3ci/deivid-washington-de-souza-eugenio/jo65as6clkl1x3co
Mason Burstow,CHE,F,6,https://www.fantrax.com/player/066sm/3jq8g06rlkl1x3ci/mason-burstow/jo65as6clkl1x3co
