Player,Team,Position,Position ID,Link
Dean Henderson,CRY,G,1,https://www.fantrax.com/player/03yww/3jq8g06rlkl1x3ci/dean-henderson/jo65as6clkl1x3co
Sam Johnstone,CRY,G,1,https://www.fantrax.com/player/03yww/3jq8g06rlkl1x3ci/dean-henderson/jo65as6clkl1x3co
Remi Matthews,CRY,G,1,https://www.fantrax.com/player/05ubh/3jq8g06rlkl1x3ci/remi-matthews/jo65as6clkl1x3co
Nathaniel Clyne,CRY,D,2,https://www.fantrax.com/player/02t1k/3jq8g06rlkl1x3ci/nathaniel-clyne/jo65as6clkl1x3co
Joel Ward,CRY,D,2,https://www.fantrax.com/player/0329y/3jq8g06rlkl1x3ci/joel-ward/jo65as6clkl1x3co
James Tomkins,CRY,D,2,https://www.fantrax.com/player/02rn6/3jq8g06rlkl1x3ci/james-tomkins/jo65as6clkl1x3co
Marc Guehi,CRY,D,2,https://www.fantrax.com/player/050jq/3jq8g06rlkl1x3ci/marc-guehi/jo65as6clkl1x3co
Joachim Andersen,CRY,D,2,https://www.fantrax.com/player/05os8/3jq8g06rlkl1x3ci/joachim-andersen/jo65as6clkl1x3co
Daniel Munoz,CRY,"D,M",3,https://www.fantrax.com/player/06jgi/3jq8g06rlkl1x3ci/daniel-munoz/jo65as6clkl1x3co
Chris Richards,CRY,"D,M",3,https://www.fantrax.com/player/0635j/3jq8g06rlkl1x3ci/chris-richards/jo65as6clkl1x3co
Tyrick Mitchell,CRY,"D,M",3,https://www.fantrax.com/player/05akv/3jq8g06rlkl1x3ci/tyrick-mitchell/jo65as6clkl1x3co
Jefferson Lerma,CRY,M,4,https://www.fantrax.com/player/04tzt/3jq8g06rlkl1x3ci/jefferson-lerma/jo65as6clkl1x3co
Cheick Doucoure,CRY,M,4,https://www.fantrax.com/player/062ot/3jq8g06rlkl1x3ci/cheick-doucoure/jo65as6clkl1x3co
Adam Wharton,CRY,M,4,https://www.fantrax.com/player/06jgs/3jq8g06rlkl1x3ci/adam-wharton/jo65as6clkl1x3co
Will Hughes,CRY,M,4,https://www.fantrax.com/player/04f6o/3jq8g06rlkl1x3ci/will-hughes/jo65as6clkl1x3co
Naouirou Ahamada,CRY,M,4,https://www.fantrax.com/player/068ys/3jq8g06rlkl1x3ci/naouirou-ahamada/jo65as6clkl1x3co
Jeffrey Schlupp,CRY,M,4,https://www.fantrax.com/player/03dyl/3jq8g06rlkl1x3ci/jeffrey-schlupp/jo65as6clkl1x3co
Jairo Riedewald,CRY,M,4,https://www.fantrax.com/player/04gyz/3jq8g06rlkl1x3ci/jairo-riedewald/jo65as6clkl1x3co
Jesurun Rak-Sakyi,CRY,M,4,https://www.fantrax.com/player/05rjn/3jq8g06rlkl1x3ci/jesurun-rak-sakyi/jo65as6clkl1x3co
David Ozoh,CRY,M,4,https://www.fantrax.com/player/062ow/3jq8g06rlkl1x3ci/david-ozoh/jo65as6clkl1x3co
Eberechi Eze,CRY,"M,F",5,https://www.fantrax.com/player/05nt6/3jq8g06rlkl1x3ci/eberechi-eze/jo65as6clkl1x3co
Michael Olise,CRY,"M,F",5,https://www.fantrax.com/player/05u94/3jq8g06rlkl1x3ci/michael-olise/jo65as6clkl1x3co
Jordan Ayew,CRY,"M,F",5,https://www.fantrax.com/player/03sgc/3jq8g06rlkl1x3ci/jordan-ayew/jo65as6clkl1x3co
Odsonne Edouard,CRY,F,6,https://www.fantrax.com/player/05w9q/3jq8g06rlkl1x3ci/odsonne-edouard/jo65as6clkl1x3co
Jean-Philippe Mateta,CRY,F,6,https://www.fantrax.com/player/05r8o/3jq8g06rlkl1x3ci/jean-philippe-mateta/jo65as6clkl1x3co
Matheus Franca,CRY,F,6,https://www.fantrax.com/player/06exa/3jq8g06rlkl1x3ci/matheus-franca-de-oliveira/jo65as6clkl1x3co
