Player,Team,Position,Position ID,Link
Jordan Pickford,EVE,G,1,https://www.fantrax.com/player/032f9/3jq8g06rlkl1x3ci/jordan-pickford/jo65as6clkl1x3co
Seamus Coleman,EVE,D,2,https://www.fantrax.com/player/02lpl/3jq8g06rlkl1x3ci/seamus-coleman/jo65as6clkl1x3co
Nathan Patterson,EVE,D,2,https://www.fantrax.com/player/05yct/3jq8g06rlkl1x3ci/nathan-patterson/jo65as6clkl1x3co
Ben Godfrey,EVE,D,2,https://www.fantrax.com/player/051ki/3jq8g06rlkl1x3ci/ben-godfrey/jo65as6clkl1x3co
James Tarkowski,EVE,D,2,https://www.fantrax.com/player/0427d/3jq8g06rlkl1x3ci/james-tarkowski/jo65as6clkl1x3co
Michael Keane,EVE,D,2,https://www.fantrax.com/player/0327r/3jq8g06rlkl1x3ci/michael-keane/jo65as6clkl1x3co
Jarrad Branthwaite,EVE,D,2,https://www.fantrax.com/player/05l27/3jq8g06rlkl1x3ci/jarrad-branthwaite/jo65as6clkl1x3co
Vitalii Mykolenko,EVE,D,2,https://www.fantrax.com/player/05ybq/3jq8g06rlkl1x3ci/vitalii-mykolenko/jo65as6clkl1x3co
Ashley Young,EVE,"D,M",3,https://www.fantrax.com/player/02lny/3jq8g06rlkl1x3ci/ashley-young/jo65as6clkl1x3co
Amadou Onana,EVE,M,4,https://www.fantrax.com/player/063hu/3jq8g06rlkl1x3ci/amadou-onana/jo65as6clkl1x3co
Idrissa Gueye,EVE,M,4,https://www.fantrax.com/player/03rxa/3jq8g06rlkl1x3ci/idrissa-gueye/jo65as6clkl1x3co
James Garner,EVE,M,4,https://www.fantrax.com/player/04spw/3jq8g06rlkl1x3ci/james-garner/jo65as6clkl1x3co
Tyler Onyango,EVE,M,4,https://www.fantrax.com/player/05r93/3jq8g06rlkl1x3ci/tyler-onyango/jo65as6clkl1x3co
Lewis Warrington,EVE,M,4,https://www.fantrax.com/player/062p7/3jq8g06rlkl1x3ci/lewis-warrington/jo65as6clkl1x3co
Andre Gomes,EVE,M,4,https://www.fantrax.com/player/04u6l/3jq8g06rlkl1x3ci/andre-filipe-tavares-gomes/jo65as6clkl1x3co
Dwight McNeil,EVE,M,4,https://www.fantrax.com/player/04p0d/3jq8g06rlkl1x3ci/dwight-mcneil/jo65as6clkl1x3co
Abdoulaye Doucoure,EVE,"M,F",5,https://www.fantrax.com/player/03yu2/3jq8g06rlkl1x3ci/abdoulaye-doucoure/jo65as6clkl1x3co
Jack Harrison,EVE,"M,F",5,https://www.fantrax.com/player/04spq/3jq8g06rlkl1x3ci/jack-harrison/jo65as6clkl1x3co
Dominic Calvert-Lewin,EVE,F,6,https://www.fantrax.com/player/049tq/3jq8g06rlkl1x3ci/dominic-calvert-lewin/jo65as6clkl1x3co
Beto,EVE,F,6,https://www.fantrax.com/player/06fvn/3jq8g06rlkl1x3ci/norberto-bercique-gomes-betuncal/jo65as6clkl1x3co
Thomas Cannon,EVE,F,6,https://www.fantrax.com/player/066ni/3jq8g06rlkl1x3ci/thomas-cannon/jo65as6clkl1x3co
Youssef Chermiti,EVE,F,6,https://www.fantrax.com/player/06few/3jq8g06rlkl1x3ci/youssef-ramalho-chermiti/jo65as6clkl1x3co
Arnaut Danjuma Groeneveld,EVE,F,6,https://www.fantrax.com/player/055sf/3jq8g06rlkl1x3ci/arnaut-danjuma-groeneveld/jo65as6clkl1x3co
Lewis Dobbin,EVE,F,6,https://www.fantrax.com/player/05uog/3jq8g06rlkl1x3ci/lewis-dobbin/jo65as6clkl1x3co
