Player,Team,Position,Position ID,Link
Bernd Leno,FUL,G,1,https://www.fantrax.com/player/04qor/3jq8g06rlkl1x3ci/bernd-leno/jo65as6clkl1x3co
Kenny Tete,FUL,D,2,https://www.fantrax.com/player/05oeh/3jq8g06rlkl1x3ci/kenny-tete/jo65as6clkl1x3co
Tim Ream,FUL,D,2,https://www.fantrax.com/player/02m6x/3jq8g06rlkl1x3ci/tim-ream/jo65as6clkl1x3co
Tosin Adarabioyo,FUL,D,2,https://www.fantrax.com/player/03yeg/3jq8g06rlkl1x3ci/tosin-adarabioyo/jo65as6clkl1x3co
Issa Diop,FUL,D,2,https://www.fantrax.com/player/04qos/3jq8g06rlkl1x3ci/issa-diop/jo65as6clkl1x3co
Calvin Bassey,FUL,D,2,https://www.fantrax.com/player/0554g/3jq8g06rlkl1x3ci/calvin-bassey/jo65as6clkl1x3co
Fode Ballo-Toure,FUL,D,2,https://www.fantrax.com/player/06fy6/3jq8g06rlkl1x3ci/fode-ballo-toure/jo65as6clkl1x3co
Timothy Castagne,FUL,D,2,https://www.fantrax.com/player/05o4c/3jq8g06rlkl1x3ci/timothy-castagne/jo65as6clkl1x3co
Antonee Robinson,FUL,D,2,https://www.fantrax.com/player/03rzp/3jq8g06rlkl1x3ci/antonee-robinson/jo65as6clkl1x3co
Joao Palhinha,FUL,M,4,https://www.fantrax.com/player/062dt/3jq8g06rlkl1x3ci/joao-maria-lobo-alves-palhinha-goncalves/jo65as6clkl1x3co
Andreas Pereira,FUL,M,4,https://www.fantrax.com/player/03jly/3jq8g06rlkl1x3ci/andreas-hugo-hoelgebaum-pereira/jo65as6clkl1x3co
Harrison Reed,FUL,M,4,https://www.fantrax.com/player/037mt/3jq8g06rlkl1x3ci/harrison-reed/jo65as6clkl1x3co
Sasa Lukic,FUL,M,4,https://www.fantrax.com/player/068yt/3jq8g06rlkl1x3ci/sasa-lukic/jo65as6clkl1x3co
Tom Cairney,FUL,M,4,https://www.fantrax.com/player/0328q/3jq8g06rlkl1x3ci/tom-cairney/jo65as6clkl1x3co
Luke Harris,FUL,M,4,https://www.fantrax.com/player/063dz/3jq8g06rlkl1x3ci/luke-harris/jo65as6clkl1x3co
Alex Iwobi,FUL,M,4,https://www.fantrax.com/player/038ze/3jq8g06rlkl1x3ci/alex-iwobi/jo65as6clkl1x3co
Bobby De Cordova-Reid,FUL,"M,F",5,https://www.fantrax.com/player/04rd0/3jq8g06rlkl1x3ci/bobby-de-cordova-reid/jo65as6clkl1x3co
Willian,FUL,"M,F",5,https://www.fantrax.com/player/037mo/3jq8g06rlkl1x3ci/willian-borges-da-silva/jo65as6clkl1x3co
Harry Wilson,FUL,F,6,https://www.fantrax.com/player/03rxs/3jq8g06rlkl1x3ci/harry-wilson/jo65as6clkl1x3co
Armando Broja,FUL,F,6,https://www.fantrax.com/player/05gvx/3jq8g06rlkl1x3ci/armando-broja/jo65as6clkl1x3co
Aleksandar Mitrovic,FUL,F,6,https://www.fantrax.com/player/03scr/3jq8g06rlkl1x3ci/aleksandar-mitrovic/jo65as6clkl1x3co
Rodrigo Muniz,FUL,F,6,https://www.fantrax.com/player/061vn/3jq8g06rlkl1x3ci/rodrigo-muniz-carvalho/jo65as6clkl1x3co
Adama Traore,FUL,F,6,https://www.fantrax.com/player/03u2b/3jq8g06rlkl1x3ci/adama-traore/jo65as6clkl1x3co
Raul Jimenez,FUL,F,6,https://www.fantrax.com/player/04qrc/3jq8g06rlkl1x3ci/raul-jimenez/jo65as6clkl1x3co
Carlos Vinicius,FUL,F,6,https://www.fantrax.com/player/05opn/3jq8g06rlkl1x3ci/carlos-vinicius-alves-morais/jo65as6clkl1x3co
