Player,Team,Position,Position ID,Link
Alisson,LIV,G,1,https://www.fantrax.com/player/04sjt/3jq8g06rlkl1x3ci/alisson-ramses-becker/jo65as6clkl1x3co
Caoimhin Kelleher,LIV,G,1,https://www.fantrax.com/player/045ob/3jq8g06rlkl1x3ci/caoimhin-kelleher/jo65as6clkl1x3co
Trent Alexander-Arnold,LIV,D,2,https://www.fantrax.com/player/03srg/3jq8g06rlkl1x3ci/trent-alexander-arnold/jo65as6clkl1x3co
Conor Bradley,LIV,D,2,https://www.fantrax.com/player/05uhj/3jq8g06rlkl1x3ci/conor-bradley/jo65as6clkl1x3co
Joseph Gomez,LIV,D,2,https://www.fantrax.com/player/03r93/3jq8g06rlkl1x3ci/joseph-gomez/jo65as6clkl1x3co
Joel Matip,LIV,D,2,https://www.fantrax.com/player/0435s/3jq8g06rlkl1x3ci/joel-matip/jo65as6clkl1x3co
Jarell Quansah,LIV,D,2,https://www.fantrax.com/player/05y7i/3jq8g06rlkl1x3ci/jarell-quansah/jo65as6clkl1x3co
Ibrahima Konate,LIV,D,2,https://www.fantrax.com/player/05u7f/3jq8g06rlkl1x3ci/ibrahima-konate/jo65as6clkl1x3co
Virgil van Dijk,LIV,D,2,https://www.fantrax.com/player/03vlj/3jq8g06rlkl1x3ci/virgil-van-dijk/jo65as6clkl1x3co
Andrew Robertson,LIV,D,2,https://www.fantrax.com/player/03gu5/3jq8g06rlkl1x3ci/andrew-robertson/jo65as6clkl1x3co
Konstantinos Tsimikas,LIV,D,2,https://www.fantrax.com/player/05n3v/3jq8g06rlkl1x3ci/konstantinos-tsimikas/jo65as6clkl1x3co
Owen Beck,LIV,D,2,https://www.fantrax.com/player/05uhi/3jq8g06rlkl1x3ci/owen-beck/jo65as6clkl1x3co
Wataru Endo,LIV,M,4,https://www.fantrax.com/player/06fso/3jq8g06rlkl1x3ci/wataru-endo/jo65as6clkl1x3co
Stefan Bajcetic,LIV,M,4,https://www.fantrax.com/player/062p0/3jq8g06rlkl1x3ci/stefan-bajcetic/jo65as6clkl1x3co
Thiago,LIV,M,4,https://www.fantrax.com/player/05oh2/3jq8g06rlkl1x3ci/thiago-alcantara-do-nascimento/jo65as6clkl1x3co
Dominik Szoboszlai,LIV,M,4,https://www.fantrax.com/player/06cmm/3jq8g06rlkl1x3ci/dominik-szoboszlai/jo65as6clkl1x3co
Ryan Gravenberch,LIV,M,4,https://www.fantrax.com/player/06fxe/3jq8g06rlkl1x3ci/ryan-gravenberch/jo65as6clkl1x3co
Curtis Jones,LIV,M,4,https://www.fantrax.com/player/04o82/3jq8g06rlkl1x3ci/curtis-jones/jo65as6clkl1x3co
Bobby Clark,LIV,M,4,https://www.fantrax.com/player/062p2/3jq8g06rlkl1x3ci/bobby-clark/jo65as6clkl1x3co
Harvey Elliott,LIV,M,4,https://www.fantrax.com/player/04xjr/3jq8g06rlkl1x3ci/harvey-elliott/jo65as6clkl1x3co
James McConnell,LIV,M,4,https://www.fantrax.com/player/06do3/3jq8g06rlkl1x3ci/james-mcconnell/jo65as6clkl1x3co
Alexis Mac Allister,LIV,M,4,https://www.fantrax.com/player/0522h/3jq8g06rlkl1x3ci/alexis-mac-allister/jo65as6clkl1x3co
Mohamed Salah,LIV,F,6,https://www.fantrax.com/player/03aqp/3jq8g06rlkl1x3ci/mohamed-salah-ghaly/jo65as6clkl1x3co
Cody Gakpo,LIV,F,6,https://www.fantrax.com/player/067yv/3jq8g06rlkl1x3ci/cody-gakpo/jo65as6clkl1x3co
Darwin Nunez,LIV,F,6,https://www.fantrax.com/player/061x2/3jq8g06rlkl1x3ci/darwin-nunez/jo65as6clkl1x3co
Luis Diaz,LIV,F,6,https://www.fantrax.com/player/05yld/3jq8g06rlkl1x3ci/luis-diaz/jo65as6clkl1x3co
Diogo Jota,LIV,F,6,https://www.fantrax.com/player/04qr8/3jq8g06rlkl1x3ci/diogo-jose-teixeira-da-silva/jo65as6clkl1x3co
Ben Doak,LIV,F,6,https://www.fantrax.com/player/066nn/3jq8g06rlkl1x3ci/ben-doak/jo65as6clkl1x3co
Kaide Gordon,LIV,F,6,https://www.fantrax.com/player/05uhl/3jq8g06rlkl1x3ci/kaide-gordon/jo65as6clkl1x3co
Jayden Danns,LIV,F,6,https://www.fantrax.com/player/06klv/3jq8g06rlkl1x3ci/jayden-danns/jo65as6clkl1x3co
