Player,Team,Position,Position ID,Link
Thomas Kaminski,LUT,G,1,https://www.fantrax.com/player/06ewr/3jq8g06rlkl1x3ci/thomas-kaminski/jo65as6clkl1x3co
James Shea,LUT,G,1,https://www.fantrax.com/player/02oph/3jq8g06rlkl1x3ci/james-shea/jo65as6clkl1x3co
Daiki Hashioka,LUT,D,2,https://www.fantrax.com/player/06jgl/3jq8g06rlkl1x3ci/daiki-hashioka/jo65as6clkl1x3co
Teden Mengi,LUT,D,2,https://www.fantrax.com/player/05afe/3jq8g06rlkl1x3ci/teden-mengi/jo65as6clkl1x3co
Gabriel Osho,LUT,D,2,https://www.fantrax.com/player/06c5z/3jq8g06rlkl1x3ci/gabriel-osho/jo65as6clkl1x3co
Tom Lockyer,LUT,D,2,https://www.fantrax.com/player/06c5x/3jq8g06rlkl1x3ci/tom-lockyer/jo65as6clkl1x3co
Reece Burke,LUT,D,2,https://www.fantrax.com/player/03amm/3jq8g06rlkl1x3ci/reece-burke/jo65as6clkl1x3co
Mads Andersen,LUT,D,2,https://www.fantrax.com/player/06cmv/3jq8g06rlkl1x3ci/mads-andersen/jo65as6clkl1x3co
Amari'i Bell,LUT,D,2,https://www.fantrax.com/player/06c5y/3jq8g06rlkl1x3ci/amarii-bell/jo65as6clkl1x3co
Joseph Johnson,LUT,D,2,https://www.fantrax.com/player/06c61/3jq8g06rlkl1x3ci/joseph-johnson/jo65as6clkl1x3co
Issa Kabore,LUT,"D,M",3,https://www.fantrax.com/player/062cl/3jq8g06rlkl1x3ci/issa-kabore/jo65as6clkl1x3co
Marvelous Nakamba,LUT,M,4,https://www.fantrax.com/player/055se/3jq8g06rlkl1x3ci/marvelous-nakamba/jo65as6clkl1x3co
Pelly Ruddock,LUT,M,4,https://www.fantrax.com/player/037mv/3jq8g06rlkl1x3ci/pelly-ruddock/jo65as6clkl1x3co
Albert Sambi Lokonga,LUT,M,4,https://www.fantrax.com/player/05ue3/3jq8g06rlkl1x3ci/albert-sambi-lokonga/jo65as6clkl1x3co
Fred Onyedinma,LUT,M,4,https://www.fantrax.com/player/06c66/3jq8g06rlkl1x3ci/fred-onyedinma/jo65as6clkl1x3co
Alfie Doughty,LUT,M,4,https://www.fantrax.com/player/06c6a/3jq8g06rlkl1x3ci/alfie-doughty/jo65as6clkl1x3co
Luke Berry,LUT,M,4,https://www.fantrax.com/player/06c62/3jq8g06rlkl1x3ci/luke-berry/jo65as6clkl1x3co
Zack Nelson,LUT,M,4,https://www.fantrax.com/player/06c69/3jq8g06rlkl1x3ci/zack-nelson/jo65as6clkl1x3co
Ross Barkley,LUT,M,4,https://www.fantrax.com/player/02lpf/3jq8g06rlkl1x3ci/ross-barkley/jo65as6clkl1x3co
Tahith Chong,LUT,"M,F",5,https://www.fantrax.com/player/04spx/3jq8g06rlkl1x3ci/tahith-chong/jo65as6clkl1x3co
Jordan Clark,LUT,"M,F",5,https://www.fantrax.com/player/06c63/3jq8g06rlkl1x3ci/jordan-clark/jo65as6clkl1x3co
Ryan Giles,LUT,"M,F",5,https://www.fantrax.com/player/04sjv/3jq8g06rlkl1x3ci/ryan-giles/jo65as6clkl1x3co
Chiedozie Ogbene,LUT,"M,F",5,https://www.fantrax.com/player/06cm4/3jq8g06rlkl1x3ci/chiedozie-ogbene/jo65as6clkl1x3co
Andros Townsend,LUT,"M,F",5,https://www.fantrax.com/player/02lp7/3jq8g06rlkl1x3ci/andros-townsend/jo65as6clkl1x3co
Carlton Morris,LUT,F,6,https://www.fantrax.com/player/0414p/3jq8g06rlkl1x3ci/carlton-morris/jo65as6clkl1x3co
Elijah Adebayo,LUT,F,6,https://www.fantrax.com/player/06c6c/3jq8g06rlkl1x3ci/elijah-adebayo/jo65as6clkl1x3co
Jacob Brown,LUT,F,6,https://www.fantrax.com/player/06f80/3jq8g06rlkl1x3ci/jacob-brown/jo65as6clkl1x3co
Cauley Woodrow,LUT,F,6,https://www.fantrax.com/player/03bmf/3jq8g06rlkl1x3ci/cauley-woodrow/jo65as6clkl1x3co
