Player,Team,Position,Position ID,Link
Ederson,MCI,G,1,https://www.fantrax.com/player/04fk5/3jq8g06rlkl1x3ci/ederson-santana-de-moraes/jo65as6clkl1x3co
Stefan Ortega Moreno,MCI,G,1,https://www.fantrax.com/player/062cw/3jq8g06rlkl1x3ci/stefan-ortega-moreno/jo65as6clkl1x3co
Kyle Walker,MCI,D,2,https://www.fantrax.com/player/02lp9/3jq8g06rlkl1x3ci/kyle-walker/jo65as6clkl1x3co
Rico Lewis,MCI,D,2,https://www.fantrax.com/player/062x7/3jq8g06rlkl1x3ci/rico-lewis/jo65as6clkl1x3co
Ruben Dias,MCI,D,2,https://www.fantrax.com/player/05omu/3jq8g06rlkl1x3ci/ruben-santos-gato-alves-dias/jo65as6clkl1x3co
John Stones,MCI,D,2,https://www.fantrax.com/player/02yl5/3jq8g06rlkl1x3ci/john-stones/jo65as6clkl1x3co
Manuel Akanji,MCI,D,2,https://www.fantrax.com/player/0649j/3jq8g06rlkl1x3ci/manuel-akanji/jo65as6clkl1x3co
Aymeric Laporte,MCI,D,2,https://www.fantrax.com/player/04mqu/3jq8g06rlkl1x3ci/aymeric-laporte/jo65as6clkl1x3co
Nathan Ake,MCI,D,2,https://www.fantrax.com/player/02y6o/3jq8g06rlkl1x3ci/nathan-ake/jo65as6clkl1x3co
Josko Gvardiol,MCI,D,2,https://www.fantrax.com/player/06ex4/3jq8g06rlkl1x3ci/josko-gvardiol/jo65as6clkl1x3co
Sergio Gomez,MCI,D,2,https://www.fantrax.com/player/063w0/3jq8g06rlkl1x3ci/sergio-gomez/jo65as6clkl1x3co
Mateo Kovacic,MCI,M,4,https://www.fantrax.com/player/04u41/3jq8g06rlkl1x3ci/mateo-kovacic/jo65as6clkl1x3co
Rodri,MCI,M,4,https://www.fantrax.com/player/0524k/3jq8g06rlkl1x3ci/rodrigo-hernandez-cascante/jo65as6clkl1x3co
Oscar Bobb,MCI,M,4,https://www.fantrax.com/player/05ye7/3jq8g06rlkl1x3ci/oscar-bobb/jo65as6clkl1x3co
Bernardo Silva,MCI,M,4,https://www.fantrax.com/player/04fk6/3jq8g06rlkl1x3ci/bernardo-mota-veiga-de-carvalho-e-silva/jo65as6clkl1x3co
Matheus Nunes,MCI,M,4,https://www.fantrax.com/player/063zi/3jq8g06rlkl1x3ci/matheus-luiz-nunes/jo65as6clkl1x3co
Kevin De Bruyne,MCI,M,4,https://www.fantrax.com/player/02oox/3jq8g06rlkl1x3ci/kevin-de-bruyne/jo65as6clkl1x3co
Jack Grealish,MCI,"M,F",5,https://www.fantrax.com/player/02lm7/3jq8g06rlkl1x3ci/jack-grealish/jo65as6clkl1x3co
Phil Foden,MCI,"M,F",5,https://www.fantrax.com/player/04abb/3jq8g06rlkl1x3ci/phil-foden/jo65as6clkl1x3co
Julian Alvarez,MCI,"M,F",5,https://www.fantrax.com/player/062cn/3jq8g06rlkl1x3ci/julian-alvarez/jo65as6clkl1x3co
Jeremu Doku,MCI,"M,F",5,https://www.fantrax.com/player/06fup/3jq8g06rlkl1x3ci/jeremy-doku/jo65as6clkl1x3co
Erling Haaland,MCI,F,6,https://www.fantrax.com/player/061vq/3jq8g06rlkl1x3ci/erling-haaland/jo65as6clkl1x3co
