Player,Team,Position,Position ID,Link
Andre Onana,MUN,G,1,https://www.fantrax.com/player/06dps/3jq8g06rlkl1x3ci/andre-onana/jo65as6clkl1x3co
Diogo Dalot,MUN,D,2,https://www.fantrax.com/player/04qfz/3jq8g06rlkl1x3ci/jose-diogo-dalot-teixeira/jo65as6clkl1x3co
Aaron Wan-Bissaka,MUN,D,2,https://www.fantrax.com/player/04adp/3jq8g06rlkl1x3ci/aaron-wan-bissaka/jo65as6clkl1x3co
Lisandro Martinez,MUN,D,2,https://www.fantrax.com/player/062pl/3jq8g06rlkl1x3ci/lisandro-martinez/jo65as6clkl1x3co
Raphael Varane,MUN,D,2,https://www.fantrax.com/player/05up6/3jq8g06rlkl1x3ci/raphael-varane/jo65as6clkl1x3co
Jonny Evans,MUN,D,2,https://www.fantrax.com/player/02ln2/3jq8g06rlkl1x3ci/jonny-evans/jo65as6clkl1x3co
Victor Lindelof,MUN,D,2,https://www.fantrax.com/player/04fk8/3jq8g06rlkl1x3ci/victor-lindelof/jo65as6clkl1x3co
Willy Kambwala,MUN,D,2,https://www.fantrax.com/player/06ewu/3jq8g06rlkl1x3ci/willy-kambwala/jo65as6clkl1x3co
Harry Maguire,MUN,D,2,https://www.fantrax.com/player/03gu4/3jq8g06rlkl1x3ci/harry-maguire/jo65as6clkl1x3co
Luke Shaw,MUN,D,2,https://www.fantrax.com/player/02oq6/3jq8g06rlkl1x3ci/luke-shaw/jo65as6clkl1x3co
Casemiro,MUN,M,4,https://www.fantrax.com/player/0642l/3jq8g06rlkl1x3ci/carlos-henrique-casimiro/jo65as6clkl1x3co
Kobbie Mainoo,MUN,M,4,https://www.fantrax.com/player/0666p/3jq8g06rlkl1x3ci/kobbie-mainoo/jo65as6clkl1x3co
Scott McTominay,MUN,M,4,https://www.fantrax.com/player/04civ/3jq8g06rlkl1x3ci/scott-mctominay/jo65as6clkl1x3co
Sofyan Amrabat,MUN,M,4,https://www.fantrax.com/player/06fxf/3jq8g06rlkl1x3ci/sofyan-amrabat/jo65as6clkl1x3co
Donny van de Beek,MUN,M,4,https://www.fantrax.com/player/05o2l/3jq8g06rlkl1x3ci/donny-van-de-beek/jo65as6clkl1x3co
Bruno Fernandes,MUN,M,4,https://www.fantrax.com/player/05gcr/3jq8g06rlkl1x3ci/bruno-miguel-borges-fernandes/jo65as6clkl1x3co
Mason Mount,MUN,M,4,https://www.fantrax.com/player/052cd/3jq8g06rlkl1x3ci/mason-mount/jo65as6clkl1x3co
Hannibal Mejbri,MUN,M,4,https://www.fantrax.com/player/05t6y/3jq8g06rlkl1x3ci/hannibal-mejbri/jo65as6clkl1x3co
Daniel Gore,MUN,M,4,https://www.fantrax.com/player/066rn/3jq8g06rlkl1x3ci/daniel-gore/jo65as6clkl1x3co
Christian Eriksen,MUN,M,4,https://www.fantrax.com/player/037wp/3jq8g06rlkl1x3ci/christian-eriksen/jo65as6clkl1x3co
Alejandro Garnacho Ferreyra,MUN,M,4,https://www.fantrax.com/player/060wh/3jq8g06rlkl1x3ci/alejandro-garnacho-ferreyra/jo65as6clkl1x3co
Facundo Pellistri,MUN,M,4,https://www.fantrax.com/player/05ou8/3jq8g06rlkl1x3ci/facundo-pellistri/jo65as6clkl1x3co
Jadon Sancho,MUN,M,4,https://www.fantrax.com/player/04gw7/3jq8g06rlkl1x3ci/jadon-sancho/jo65as6clkl1x3co
Marcus Rashford,MUN,"M,F",5,https://www.fantrax.com/player/03ybi/3jq8g06rlkl1x3ci/marcus-rashford/jo65as6clkl1x3co
Antony,MUN,"M,F",5,https://www.fantrax.com/player/0649i/3jq8g06rlkl1x3ci/antony-matheus-dos-santos/jo65as6clkl1x3co
Rasmus Hojlund,MUN,F,6,https://www.fantrax.com/player/06exb/3jq8g06rlkl1x3ci/rasmus-hojlund/jo65as6clkl1x3co
Amad Diallo,MUN,F,6,https://www.fantrax.com/player/05r34/3jq8g06rlkl1x3ci/amad-diallo/jo65as6clkl1x3co
Anthony Martial,MUN,F,6,https://www.fantrax.com/player/03vlm/3jq8g06rlkl1x3ci/anthony-martial/jo65as6clkl1x3co
Ethan Wheatley,MUN,F,6,https://www.fantrax.com/player/06l4c/3jq8g06rlkl1x3ci/ethan-wheatley/jo65as6clkl1x3co
Omari Forson,MUN,F,6,https://www.fantrax.com/player/06cro/3jq8g06rlkl1x3ci/omari-forson/jo65as6clkl1x3co
