Player,Team,Position,Position ID,Link
Nick Pope,NEW,G,1,https://www.fantrax.com/player/044ei/3jq8g06rlkl1x3ci/nick-pope/jo65as6clkl1x3co
Martin Dubravka,NEW,G,1,https://www.fantrax.com/player/04mr4/3jq8g06rlkl1x3ci/martin-dubravka/jo65as6clkl1x3co
Loris Karius,NEW,G,1,https://www.fantrax.com/player/0435r/3jq8g06rlkl1x3ci/loris-karius/jo65as6clkl1x3co
Kieran Trippier,NEW,D,2,https://www.fantrax.com/player/03dx3/3jq8g06rlkl1x3ci/kieran-trippier/jo65as6clkl1x3co
Tino Livramento,NEW,D,2,https://www.fantrax.com/player/05s08/3jq8g06rlkl1x3ci/valentino-livramento/jo65as6clkl1x3co
Emil Krafth,NEW,D,2,https://www.fantrax.com/player/05746/3jq8g06rlkl1x3ci/emil-krafth/jo65as6clkl1x3co
Fabian Schar,NEW,D,2,https://www.fantrax.com/player/04tig/3jq8g06rlkl1x3ci/fabian-schar/jo65as6clkl1x3co
Jamaal Lascelles,NEW,D,2,https://www.fantrax.com/player/03pig/3jq8g06rlkl1x3ci/jamaal-lascelles/jo65as6clkl1x3co
Sven Botman,NEW,D,2,https://www.fantrax.com/player/062a9/3jq8g06rlkl1x3ci/sven-botman/jo65as6clkl1x3co
Dan Burn,NEW,D,2,https://www.fantrax.com/player/02lsa/3jq8g06rlkl1x3ci/dan-burn/jo65as6clkl1x3co
Matt Targett,NEW,D,2,https://www.fantrax.com/player/0372y/3jq8g06rlkl1x3ci/matt-targett/jo65as6clkl1x3co
Lewis Hall,NEW,D,2,https://www.fantrax.com/player/05y9n/3jq8g06rlkl1x3ci/lewis-hall/jo65as6clkl1x3co
Paul Dummett,NEW,D,2,https://www.fantrax.com/player/032f5/3jq8g06rlkl1x3ci/paul-dummett/jo65as6clkl1x3co
Alex Murphy,NEW,D,2,https://www.fantrax.com/player/06ewy/3jq8g06rlkl1x3ci/alex-murphy/jo65as6clkl1x3co
Matt Ritchie,NEW,"D,M",3,https://www.fantrax.com/player/03r8t/3jq8g06rlkl1x3ci/matt-ritchie/jo65as6clkl1x3co
Sean Longstaff,NEW,M,4,https://www.fantrax.com/player/04ug0/3jq8g06rlkl1x3ci/sean-longstaff/jo65as6clkl1x3co
Sandro Tonali,NEW,M,4,https://www.fantrax.com/player/06cms/3jq8g06rlkl1x3ci/sandro-tonali/jo65as6clkl1x3co
Joe Willock,NEW,M,4,https://www.fantrax.com/player/04ge6/3jq8g06rlkl1x3ci/joe-willock/jo65as6clkl1x3co
Lewis Miley,NEW,M,4,https://www.fantrax.com/player/06ab3/3jq8g06rlkl1x3ci/lewis-miley/jo65as6clkl1x3co
Elliot Anderson,NEW,M,4,https://www.fantrax.com/player/05opj/3jq8g06rlkl1x3ci/elliot-anderson/jo65as6clkl1x3co
Bruno Guimaraes,NEW,M,4,https://www.fantrax.com/player/05ylj/3jq8g06rlkl1x3ci/bruno-guimaraes-rodriguez-moura/jo65as6clkl1x3co
Joe White,NEW,M,4,https://www.fantrax.com/player/05wqy/3jq8g06rlkl1x3ci/joe-white/jo65as6clkl1x3co
Harvey Barnes,NEW,M,4,https://www.fantrax.com/player/04abn/3jq8g06rlkl1x3ci/harvey-barnes/jo65as6clkl1x3co
Jacob Murphy,NEW,"M,F",5,https://www.fantrax.com/player/03am7/3jq8g06rlkl1x3ci/jacob-murphy/jo65as6clkl1x3co
Miguel Almiron,NEW,"M,F",5,https://www.fantrax.com/player/04yo6/3jq8g06rlkl1x3ci/miguel-almiron/jo65as6clkl1x3co
Anthony Gordon,NEW,"M,F",5,https://www.fantrax.com/player/04mdn/3jq8g06rlkl1x3ci/anthony-gordon/jo65as6clkl1x3co
Joelinton,NEW,"M,F",5,https://www.fantrax.com/player/0554i/3jq8g06rlkl1x3ci/joelinton-cassio-apolinario-de-lira/jo65as6clkl1x3co
Alexander Isak,NEW,F,6,https://www.fantrax.com/player/0646f/3jq8g06rlkl1x3ci/alexander-isak/jo65as6clkl1x3co
Callum Wilson,NEW,F,6,https://www.fantrax.com/player/03r8x/3jq8g06rlkl1x3ci/callum-wilson/jo65as6clkl1x3co
Amadou Diallo,NEW,F,6,https://www.fantrax.com/player/06exh/3jq8g06rlkl1x3ci/amadou-diallo/jo65as6clkl1x3co
Ben Parkinson,NEW,F,6,https://www.fantrax.com/player/06ex1/3jq8g06rlkl1x3ci/ben-parkinson/jo65as6clkl1x3co
Michael Ndiweni,NEW,F,6,https://www.fantrax.com/player/06exi/3jq8g06rlkl1x3ci/michael-ndiweni/jo65as6clkl1x3co
