Player,Team,Position,Position ID,Link
Matt Turner,NOT,G,1,https://www.fantrax.com/player/062ds/3jq8g06rlkl1x3ci/matt-turner/jo65as6clkl1x3co
Odysseas Vlachodimos,NOT,G,1,https://www.fantrax.com/player/06fxg/3jq8g06rlkl1x3ci/odysseas-vlachodimos/jo65as6clkl1x3co
Matz Sels,NOT,G,1,https://www.fantrax.com/player/04f6h/3jq8g06rlkl1x3ci/matz-sels/jo65as6clkl1x3co
Neco Williams,NOT,D,2,https://www.fantrax.com/player/05a6e/3jq8g06rlkl1x3ci/neco-williams/jo65as6clkl1x3co
Serge Aurier,NOT,D,2,https://www.fantrax.com/player/04kj7/3jq8g06rlkl1x3ci/serge-aurier/jo65as6clkl1x3co
Gonzalo Montiel,NOT,D,2,https://www.fantrax.com/player/06fun/3jq8g06rlkl1x3ci/gonzalo-montiel/jo65as6clkl1x3co
Joe Worrall,NOT,D,2,https://www.fantrax.com/player/061xw/3jq8g06rlkl1x3ci/joe-worrall/jo65as6clkl1x3co
Moussa Niakhate,NOT,D,2,https://www.fantrax.com/player/062h8/3jq8g06rlkl1x3ci/moussa-niakhate/jo65as6clkl1x3co
Willy Boly,NOT,D,2,https://www.fantrax.com/player/04qr0/3jq8g06rlkl1x3ci/willy-boly/jo65as6clkl1x3co
Felipe,NOT,D,2,https://www.fantrax.com/player/068yj/3jq8g06rlkl1x3ci/felipe-augusto-de-almeida-monteiro/jo65as6clkl1x3co
Scott McKenna,NOT,D,2,https://www.fantrax.com/player/061y0/3jq8g06rlkl1x3ci/scott-mckenna/jo65as6clkl1x3co
Andrew Omobamidele,NOT,D,2,https://www.fantrax.com/player/05trt/3jq8g06rlkl1x3ci/andrew-omobamidele/jo65as6clkl1x3co
Harry Toffolo,NOT,D,2,https://www.fantrax.com/player/03rvw/3jq8g06rlkl1x3ci/harry-toffolo/jo65as6clkl1x3co
Nuno Tavares,NOT,D,2,https://www.fantrax.com/player/05u99/3jq8g06rlkl1x3ci/nuno-tavares/jo65as6clkl1x3co
Ola Aina,NOT,D,2,https://www.fantrax.com/player/03frx/3jq8g06rlkl1x3ci/ola-aina/jo65as6clkl1x3co
Murillo,NOT,"D,M",3,https://www.fantrax.com/player/06fwz/3jq8g06rlkl1x3ci/murillo-santiago-costa-dos-santos/jo65as6clkl1x3co
Cheikhou Kouyate,NOT,M,4,https://www.fantrax.com/player/03eki/3jq8g06rlkl1x3ci/cheikhou-kouyate/jo65as6clkl1x3co
Orel Mangala,NOT,M,4,https://www.fantrax.com/player/0637b/3jq8g06rlkl1x3ci/orel-mangala/jo65as6clkl1x3co
Ryan Yates,NOT,M,4,https://www.fantrax.com/player/061y6/3jq8g06rlkl1x3ci/ryan-yates/jo65as6clkl1x3co
Ibrahim Sangare,NOT,M,4,https://www.fantrax.com/player/06fxu/3jq8g06rlkl1x3ci/ibrahim-sangare/jo65as6clkl1x3co
Brandon Aguilera,NOT,M,4,https://www.fantrax.com/player/06cm8/3jq8g06rlkl1x3ci/brandon-aguilera/jo65as6clkl1x3co
Danilo,NOT,M,4,https://www.fantrax.com/player/068a3/3jq8g06rlkl1x3ci/danilo-dos-santos-de-oliveira/jo65as6clkl1x3co
Nicolas Dominguez,NOT,M,4,https://www.fantrax.com/player/06fy7/3jq8g06rlkl1x3ci/nicolas-dominguez/jo65as6clkl1x3co
Giovanni Reyna,NOT,M,4,https://www.fantrax.com/player/06jgn/3jq8g06rlkl1x3ci/giovanni-reyna/jo65as6clkl1x3co
Andrey Santos,NOT,M,4,https://www.fantrax.com/player/068a0/3jq8g06rlkl1x3ci/andrey-nascimento-dos-santos/jo65as6clkl1x3co
Morgan Gibbs-White,NOT,"M,F",5,https://www.fantrax.com/player/04qr9/3jq8g06rlkl1x3ci/morgan-gibbs-white/jo65as6clkl1x3co
Anthony Elanga,NOT,"M,F",5,https://www.fantrax.com/player/05ogb/3jq8g06rlkl1x3ci/anthony-elanga/jo65as6clkl1x3co
Callum Hudson-Odoi,NOT,"M,F",5,https://www.fantrax.com/player/04mi4/3jq8g06rlkl1x3ci/callum-hudson-odoi/jo65as6clkl1x3co
Taiwo Awoniyi,NOT,F,6,https://www.fantrax.com/player/04rzl/3jq8g06rlkl1x3ci/taiwo-awoniyi/jo65as6clkl1x3co
Chris Wood,NOT,F,6,https://www.fantrax.com/player/02m5b/3jq8g06rlkl1x3ci/chris-wood/jo65as6clkl1x3co
Divock Origi,NOT,F,6,https://www.fantrax.com/player/03pie/3jq8g06rlkl1x3ci/divock-origi/jo65as6clkl1x3co
Rodrigo Duarte Ribeiro,NOT,F,6,https://www.fantrax.com/player/06jgp/3jq8g06rlkl1x3ci/rodrigo-duarte-ribeiro/jo65as6clkl1x3co
