Player,Team,Position,Position ID,Link
Wes Foderingham,SHU,G,1,https://www.fantrax.com/player/05n0a/3jq8g06rlkl1x3ci/wes-foderingham/jo65as6clkl1x3co
Ivo Grbic,SHU,G,1,https://www.fantrax.com/player/06jfd/3jq8g06rlkl1x3ci/ivo-grbic/jo65as6clkl1x3co
Auston Trusty,SHU,D,2,https://www.fantrax.com/player/062ce/3jq8g06rlkl1x3ci/auston-trusty/jo65as6clkl1x3co
Yasser Larouci,SHU,D,2,https://www.fantrax.com/player/052cg/3jq8g06rlkl1x3ci/yasser-larouci/jo65as6clkl1x3co
George Baldock,SHU,D,2,https://www.fantrax.com/player/051kz/3jq8g06rlkl1x3ci/george-baldock/jo65as6clkl1x3co
Sam Curtis,SHU,D,2,https://www.fantrax.com/player/06ksd/3jq8g06rlkl1x3ci/sam-curtis/jo65as6clkl1x3co
Mason Holgate,SHU,D,2,https://www.fantrax.com/player/03v6s/3jq8g06rlkl1x3ci/mason-holgate/jo65as6clkl1x3co
Chris Basham,SHU,D,2,https://www.fantrax.com/player/02rlq/3jq8g06rlkl1x3ci/chris-basham/jo65as6clkl1x3co
John Egan,SHU,D,2,https://www.fantrax.com/player/02m5l/3jq8g06rlkl1x3ci/john-egan/jo65as6clkl1x3co
Anel Ahmedhodzic,SHU,D,2,https://www.fantrax.com/player/06c6i/3jq8g06rlkl1x3ci/anel-ahmedhodzic/jo65as6clkl1x3co
Rhys Norrington-Davies,SHU,D,2,https://www.fantrax.com/player/051l4/3jq8g06rlkl1x3ci/rhys-norrington-davies/jo65as6clkl1x3co
Luke Thomas,SHU,D,2,https://www.fantrax.com/player/05m46/3jq8g06rlkl1x3ci/luke-thomas/jo65as6clkl1x3co
Max Lowe,SHU,D,2,https://www.fantrax.com/player/05o8n/3jq8g06rlkl1x3ci/max-lowe/jo65as6clkl1x3co
Jack Robinson,SHU,D,2,https://www.fantrax.com/player/02lkj/3jq8g06rlkl1x3ci/jack-robinson/jo65as6clkl1x3co
Jayden Bogle,SHU,"D,M",3,https://www.fantrax.com/player/05o8o/3jq8g06rlkl1x3ci/jayden-bogle/jo65as6clkl1x3co
Vinicius de Souza Costa,SHU,M,4,https://www.fantrax.com/player/06f7b/3jq8g06rlkl1x3ci/vinicius-de-souza-costa/jo65as6clkl1x3co
Gustavo Hamer,SHU,M,4,https://www.fantrax.com/player/06fg0/3jq8g06rlkl1x3ci/gustavo-hamer/jo65as6clkl1x3co
John Fleck,SHU,M,4,https://www.fantrax.com/player/051l5/3jq8g06rlkl1x3ci/john-fleck/jo65as6clkl1x3co
Tom Davies,SHU,M,4,https://www.fantrax.com/player/040ah/3jq8g06rlkl1x3ci/tom-davies/jo65as6clkl1x3co
James McAtee,SHU,M,4,https://www.fantrax.com/player/05uhs/3jq8g06rlkl1x3ci/james-mcatee/jo65as6clkl1x3co
Andre Brooks,SHU,M,4,https://www.fantrax.com/player/06c6n/3jq8g06rlkl1x3ci/andre-brooks/jo65as6clkl1x3co
Anis Ben Slimane,SHU,M,4,https://www.fantrax.com/player/06dml/3jq8g06rlkl1x3ci/anis-ben-slimane/jo65as6clkl1x3co
Ryan One,SHU,M,4,https://www.fantrax.com/player/06hrw/3jq8g06rlkl1x3ci/ryan-one/jo65as6clkl1x3co
Oliver Norwood,SHU,M,4,https://www.fantrax.com/player/02lnn/3jq8g06rlkl1x3ci/oliver-norwood/jo65as6clkl1x3co
Ben Osborn,SHU,M,4,https://www.fantrax.com/player/055c0/3jq8g06rlkl1x3ci/ben-osborn/jo65as6clkl1x3co
Oliver Arblaster,SHU,M,4,https://www.fantrax.com/player/06c6m/3jq8g06rlkl1x3ci/oliver-arblaster/jo65as6clkl1x3co
Sydie Peck,SHU,M,4,https://www.fantrax.com/player/06icy/3jq8g06rlkl1x3ci/sydie-peck/jo65as6clkl1x3co
Cameron Archer,SHU,F,6,https://www.fantrax.com/player/058vb/3jq8g06rlkl1x3ci/cameron-archer/jo65as6clkl1x3co
Ben Brereton,SHU,F,6,https://www.fantrax.com/player/06igk/3jq8g06rlkl1x3ci/ben-brereton/jo65as6clkl1x3co
Oliver McBurnie,SHU,F,6,https://www.fantrax.com/player/0477b/3jq8g06rlkl1x3ci/oliver-mcburnie/jo65as6clkl1x3co
Benie Traore,SHU,F,6,https://www.fantrax.com/player/06dn3/3jq8g06rlkl1x3ci/benie-traore/jo65as6clkl1x3co
William Osula,SHU,F,6,https://www.fantrax.com/player/05t6x/3jq8g06rlkl1x3ci/william-osula/jo65as6clkl1x3co
Daniel Jebbison,SHU,F,6,https://www.fantrax.com/player/05s00/3jq8g06rlkl1x3ci/daniel-jebbison/jo65as6clkl1x3co
Antwoine Hackford,SHU,F,6,https://www.fantrax.com/player/05o2r/3jq8g06rlkl1x3ci/antwoine-hackford/jo65as6clkl1x3co
Rhian Brewster,SHU,F,6,https://www.fantrax.com/player/04c3c/3jq8g06rlkl1x3ci/rhian-brewster/jo65as6clkl1x3co
