Player,Team,Position,Position ID,Link
Guglielmo Vicario,TOT,G,1,https://www.fantrax.com/player/06cmb/3jq8g06rlkl1x3ci/guglielmo-vicario/jo65as6clkl1x3co
Pedro Porro,TOT,D,2,https://www.fantrax.com/player/05n07/3jq8g06rlkl1x3ci/pedro-porro/jo65as6clkl1x3co
Cristian Romero,TOT,D,2,https://www.fantrax.com/player/05uoc/3jq8g06rlkl1x3ci/cristian-romero/jo65as6clkl1x3co
Davinson Sanchez,TOT,D,2,https://www.fantrax.com/player/04jyc/3jq8g06rlkl1x3ci/davinson-sanchez/jo65as6clkl1x3co
Erid Dier,TOT,D,2,https://www.fantrax.com/player/02lpn/3jq8g06rlkl1x3ci/eric-dier/jo65as6clkl1x3co
Micky van de Ven,TOT,D,2,https://www.fantrax.com/player/06ezb/3jq8g06rlkl1x3ci/micky-van-de-ven/jo65as6clkl1x3co
Radu Dragusin,TOT,D,2,https://www.fantrax.com/player/06ime/3jq8g06rlkl1x3ci/radu-dragusin/jo65as6clkl1x3co
Ben Davies,TOT,D,2,https://www.fantrax.com/player/02oo1/3jq8g06rlkl1x3ci/ben-davies/jo65as6clkl1x3co
Destiny Udogie,TOT,D,2,https://www.fantrax.com/player/063y7/3jq8g06rlkl1x3ci/iyenoma-destiny-udogie/jo65as6clkl1x3co
Emerson Royal,TOT,"D,M",3,https://www.fantrax.com/player/05w9m/3jq8g06rlkl1x3ci/emerson-aparecido-leite-de-souza-junior/jo65as6clkl1x3co
Pape Sarr,TOT,M,4,https://www.fantrax.com/player/05w7t/3jq8g06rlkl1x3ci/pape-sarr/jo65as6clkl1x3co
Yves Bissouma,TOT,M,4,https://www.fantrax.com/player/04sft/3jq8g06rlkl1x3ci/yves-bissouma/jo65as6clkl1x3co
Rodrigo Bentancur,TOT,M,4,https://www.fantrax.com/player/05ylw/3jq8g06rlkl1x3ci/rodrigo-bentancur/jo65as6clkl1x3co
Pierre-Emile Hojbjerg,TOT,M,4,https://www.fantrax.com/player/043qz/3jq8g06rlkl1x3ci/pierre-emile-hojbjerg/jo65as6clkl1x3co
Giovani Lo Celso,TOT,M,4,https://www.fantrax.com/player/0574a/3jq8g06rlkl1x3ci/giovani-lo-celso/jo65as6clkl1x3co
Oliver Skipp,TOT,M,4,https://www.fantrax.com/player/04t95/3jq8g06rlkl1x3ci/oliver-skipp/jo65as6clkl1x3co
James Maddison,TOT,M,4,https://www.fantrax.com/player/0414o/3jq8g06rlkl1x3ci/james-maddison/jo65as6clkl1x3co
Ivan Perisic,TOT,M,4,https://www.fantrax.com/player/061yd/3jq8g06rlkl1x3ci/ivan-perisic/jo65as6clkl1x3co
Mikey Moore,TOT,M,4,https://www.fantrax.com/player/06lox/3jq8g06rlkl1x3ci/mikey-moore/jo65as6clkl1x3co
Dejan Kulusevski,TOT,"M,F",5,https://www.fantrax.com/player/05ylx/3jq8g06rlkl1x3ci/dejan-kulusevski/jo65as6clkl1x3co
Brennan Johnson,TOT,"M,F",5,https://www.fantrax.com/player/061ya/3jq8g06rlkl1x3ci/brennan-johnson/jo65as6clkl1x3co
Son Heung-Min,TOT,"M,F",5,https://www.fantrax.com/player/03v9d/3jq8g06rlkl1x3ci/heung-min-son/jo65as6clkl1x3co
Timo Werner,TOT,"M,F",5,https://www.fantrax.com/player/05mxc/3jq8g06rlkl1x3ci/timo-werner/jo65as6clkl1x3co
Richarlison,TOT,F,6,https://www.fantrax.com/player/04io4/3jq8g06rlkl1x3ci/richarlison-de-andrade/jo65as6clkl1x3co
Bryan Gil,TOT,F,6,https://www.fantrax.com/player/05uh9/3jq8g06rlkl1x3ci/bryan-gil/jo65as6clkl1x3co
Manor Solomon,TOT,F,6,https://www.fantrax.com/player/06329/3jq8g06rlkl1x3ci/manor-solomon/jo65as6clkl1x3co
Alejo Veliz,TOT,F,6,https://www.fantrax.com/player/06ezc/3jq8g06rlkl1x3ci/alejo-veliz/jo65as6clkl1x3co
Dane Scarlett,TOT,F,6,https://www.fantrax.com/player/05nip/3jq8g06rlkl1x3ci/dane-scarlett/jo65as6clkl1x3co
Jamie Donley,TOT,F,6,https://www.fantrax.com/player/066t3/3jq8g06rlkl1x3ci/jamie-donley/jo65as6clkl1x3co
