Player,Team,Position,Position ID,Link
Alphonse Areola,WHU,G,1,https://www.fantrax.com/player/05oef/3jq8g06rlkl1x3ci/alphonse-areola/jo65as6clkl1x3co
Lukasz Fabianski,WHU,G,1,https://www.fantrax.com/player/02lym/3jq8g06rlkl1x3ci/lukasz-fabianski/jo65as6clkl1x3co
Vladimir Coufal,WHU,D,2,https://www.fantrax.com/player/05opk/3jq8g06rlkl1x3ci/vladimir-coufal/jo65as6clkl1x3co
Ben Johnson,WHU,D,2,https://www.fantrax.com/player/04mcg/3jq8g06rlkl1x3ci/ben-johnson/jo65as6clkl1x3co
Thilo Kehrer,WHU,D,2,https://www.fantrax.com/player/063zh/3jq8g06rlkl1x3ci/thilo-kehrer/jo65as6clkl1x3co
Nayef Aguerd,WHU,D,2,https://www.fantrax.com/player/0620k/3jq8g06rlkl1x3ci/nayef-aguerd/jo65as6clkl1x3co
Kurt Zouma,WHU,D,2,https://www.fantrax.com/player/03arh/3jq8g06rlkl1x3ci/kurt-zouma/jo65as6clkl1x3co
Angelo Ogbonna,WHU,D,2,https://www.fantrax.com/player/03rxb/3jq8g06rlkl1x3ci/angelo-ogbonna/jo65as6clkl1x3co
Kaelan Casey,WHU,D,2,https://www.fantrax.com/player/066iy/3jq8g06rlkl1x3ci/kaelan-casey/jo65as6clkl1x3co
Konstantinos Mavropanos,WHU,D,2,https://www.fantrax.com/player/04ml6/3jq8g06rlkl1x3ci/konstantinos-mavropanos/jo65as6clkl1x3co
Aaron Cresswell,WHU,D,2,https://www.fantrax.com/player/03ena/3jq8g06rlkl1x3ci/aaron-cresswell/jo65as6clkl1x3co
Emerson,WHU,D,2,https://www.fantrax.com/player/04mqv/3jq8g06rlkl1x3ci/emerson-palmieri-dos-santos/jo65as6clkl1x3co
Edson Alvarez,WHU,M,4,https://www.fantrax.com/player/06f81/3jq8g06rlkl1x3ci/edson-alvarez/jo65as6clkl1x3co
Kalvin Phillips,WHU,M,4,https://www.fantrax.com/player/05n03/3jq8g06rlkl1x3ci/kalvin-phillips/jo65as6clkl1x3co
Tomas Soucek,WHU,M,4,https://www.fantrax.com/player/05gcp/3jq8g06rlkl1x3ci/tomas-soucek/jo65as6clkl1x3co
Lucas Paqueta,WHU,M,4,https://www.fantrax.com/player/0647t/3jq8g06rlkl1x3ci/lucas-tolentino-coelho-de-lima/jo65as6clkl1x3co
James Ward-Prowse,WHU,M,4,https://www.fantrax.com/player/02oq8/3jq8g06rlkl1x3ci/james-ward-prowse/jo65as6clkl1x3co
Pablo Fornals,WHU,M,4,https://www.fantrax.com/player/051lc/3jq8g06rlkl1x3ci/pablo-fornals/jo65as6clkl1x3co
George Earthy,WHU,M,4,https://www.fantrax.com/player/06dmn/3jq8g06rlkl1x3ci/george-earthy/jo65as6clkl1x3co
Mohammed Kudus,WHU,M,4,https://www.fantrax.com/player/06fv8/3jq8g06rlkl1x3ci/mohammed-kudus/jo65as6clkl1x3co
Maxwel Cornet,WHU,M,4,https://www.fantrax.com/player/05w90/3jq8g06rlkl1x3ci/maxwel-cornet/jo65as6clkl1x3co
Jarrod Bowen,WHU,"M,F",5,https://www.fantrax.com/player/046c5/3jq8g06rlkl1x3ci/jarrod-bowen/jo65as6clkl1x3co
Said Benrahma,WHU,"M,F",5,https://www.fantrax.com/player/05oyq/3jq8g06rlkl1x3ci/said-benrahma/jo65as6clkl1x3co
Danny Ings,WHU,F,6,https://www.fantrax.com/player/03dxq/3jq8g06rlkl1x3ci/danny-ings/jo65as6clkl1x3co
Michail Antonio,WHU,F,6,https://www.fantrax.com/player/03vll/3jq8g06rlkl1x3ci/michail-antonio/jo65as6clkl1x3co
Divin Mubama,WHU,F,6,https://www.fantrax.com/player/0645x/3jq8g06rlkl1x3ci/divin-mubama/jo65as6clkl1x3co
