Player,Team,Position,Position ID,Link
Jose Sa,WOL,G,1,https://www.fantrax.com/player/05udg/3jq8g06rlkl1x3ci/jose-pedro-malheiro-de-sa/jo65as6clkl1x3co
Daniel Bentley,WOL,G,1,https://www.fantrax.com/player/02lo6/3jq8g06rlkl1x3ci/daniel-bentley/jo65as6clkl1x3co
Jonny,WOL,D,2,https://www.fantrax.com/player/04tcc/3jq8g06rlkl1x3ci/jonathan-castro-otto/jo65as6clkl1x3co
Craig Dawson,WOL,D,2,https://www.fantrax.com/player/02m4d/3jq8g06rlkl1x3ci/craig-dawson/jo65as6clkl1x3co
Max Kilman,WOL,D,2,https://www.fantrax.com/player/04yey/3jq8g06rlkl1x3ci/max-kilman/jo65as6clkl1x3co
Toti,WOL,D,2,https://www.fantrax.com/player/05yg5/3jq8g06rlkl1x3ci/toti-antonio-gomes/jo65as6clkl1x3co
Hugo Bueno,WOL,D,2,https://www.fantrax.com/player/05raa/3jq8g06rlkl1x3ci/hugo-bueno/jo65as6clkl1x3co
Santiago Bueno,WOL,D,2,https://www.fantrax.com/player/06fwx/3jq8g06rlkl1x3ci/santiago-bueno/jo65as6clkl1x3co
Nelson Semedo,WOL,"D,M",3,https://www.fantrax.com/player/05ojg/3jq8g06rlkl1x3ci/nelson-cabral-semedo/jo65as6clkl1x3co
Matt Doherty,WOL,"D,M",3,https://www.fantrax.com/player/02m11/3jq8g06rlkl1x3ci/matt-doherty/jo65as6clkl1x3co
Rayan Ait-Nouri,WOL,"D,M",3,https://www.fantrax.com/player/05os4/3jq8g06rlkl1x3ci/rayan-ait-nouri/jo65as6clkl1x3co
Boubacar Traore,WOL,M,4,https://www.fantrax.com/player/064a1/3jq8g06rlkl1x3ci/boubacar-traore/jo65as6clkl1x3co
Jean-Ricner Bellegarde,WOL,M,4,https://www.fantrax.com/player/06fxv/3jq8g06rlkl1x3ci/jean-ricner-bellegarde/jo65as6clkl1x3co
Mario Lemina,WOL,M,4,https://www.fantrax.com/player/04io3/3jq8g06rlkl1x3ci/mario-lemina/jo65as6clkl1x3co
Joao Gomes,WOL,M,4,https://www.fantrax.com/player/068yd/3jq8g06rlkl1x3ci/joao-victor-gomes-da-silva/jo65as6clkl1x3co
Tommy Doyle,WOL,M,4,https://www.fantrax.com/player/052k8/3jq8g06rlkl1x3ci/tommy-doyle/jo65as6clkl1x3co
Tawanda Chirewa,WOL,M,4,https://www.fantrax.com/player/06ib6/3jq8g06rlkl1x3ci/tawanda-chirewa/jo65as6clkl1x3co
Pablo Sarabia,WOL,"M,F",5,https://www.fantrax.com/player/068a7/3jq8g06rlkl1x3ci/pablo-sarabia/jo65as6clkl1x3co
Pedro Neto,WOL,"M,F",5,https://www.fantrax.com/player/056iy/3jq8g06rlkl1x3ci/pedro-lomba-neto/jo65as6clkl1x3co
Hwang Hee-Chan,WOL,F,6,https://www.fantrax.com/player/05w91/3jq8g06rlkl1x3ci/hee-chan-hwang/jo65as6clkl1x3co
Sasa Kalajdzic,WOL,F,6,https://www.fantrax.com/player/06492/3jq8g06rlkl1x3ci/sasa-kalajdzic/jo65as6clkl1x3co
Matheus Cunha,WOL,F,6,https://www.fantrax.com/player/067yz/3jq8g06rlkl1x3ci/matheus-santos-carneiro-da-cunha/jo65as6clkl1x3co
Leon Chiwome,WOL,F,6,https://www.fantrax.com/player/06kwf/3jq8g06rlkl1x3ci/leon-chiwome/jo65as6clkl1x3co
Fabio Silva,WOL,F,6,https://www.fantrax.com/player/05o8k/3jq8g06rlkl1x3ci/fabio-daniel-soares-silva/jo65as6clkl1x3co
Enso Gonzales,WOL,F,6,https://www.fantrax.com/player/06fwo/3jq8g06rlkl1x3ci/enso-gonzalez/jo65as6clkl1x3co
Nathan Fraser,WOL,F,6,https://www.fantrax.com/player/066j7/3jq8g06rlkl1x3ci/nathan-fraser/jo65as6clkl1x3co
